Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2014,Sami Aittokallio\aittosa01,21,COL,1,1,0,1,0,3,18,15,0.833,4.5,0,-0.1,40,0,0,1,,,0,0,0,0
2,2014,Frederik Andersen\anderfr01,24,ANA,28,24,20,5,0,60,783,723,0.923,2.29,0,5.6,1569,12,0.5,0,89,7.47,0,1,1,0
3,2014,Craig Anderson\andercr01,32,OTT,53,52,25,16,8,150,1680,1530,0.911,3,4,9.5,3000,26,0.5,10,104,-5.24,0,1,1,2
4,2014,Richard Bachman\bachmri01,26,EDM,3,3,0,2,1,7,83,76,0.916,3.03,0,0.5,139,1,0.333,2,,,0,0,0,0
5,2014,Niklas Backstrom\backsni01,35,MIN,21,19,5,11,2,55,546,491,0.899,3.02,0,2.3,1094,9,0.474,3,117,-7.95,0,0,0,0
6,2014,Jonathan Bernier\bernijo01,25,TOR,55,49,26,19,7,139,1788,1649,0.922,2.7,1,12.6,3084,30,0.612,5,90,15.07,0,1,1,4
7,2014,Reto Berra\berrare01,27,TOT,31,29,9,18,3,88,820,732,0.893,3.07,0,2.9,1720,14,0.483,7,125,-17.34,0,0,0,2
7,2014,Reto Berra\berrare01,27,CGY,29,27,9,17,2,81,788,707,0.897,2.95,0,3.2,1648,14,0.519,5,119,-13.1,0,0,0,2
7,2014,Reto Berra\berrare01,27,COL,2,2,0,1,1,7,32,25,0.781,5.85,0,-0.3,72,0,0,2,,,0,0,0,0
8,2014,Martin Biron\bironma01,36,NYR,2,1,0,1,0,9,38,29,0.763,7.65,0,-0.5,71,0,0,1,,,0,0,0,0
9,2014,Ben Bishop\bishobe01,27,TBL,63,63,37,14,7,133,1758,1625,0.924,2.23,5,12.9,3586,38,0.603,8,88,18.48,0,2,2,4
10,2014,Sergei Bobrovsky\bobrose01,25,CBJ,58,57,32,20,5,131,1699,1568,0.923,2.38,5,12.1,3299,35,0.614,5,89,15.4,0,1,1,2
