Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
831,James Wisniewski\wisnija01,23,CHI,D,68,749,723,50.9,-1.6,580,568,50.5,-3.0,10.7,91.6,102.4,50.0,50.0,16:45,13:40,11,22,165,49.7
832,Brendan Witt\wittbr01,32,NYI,D,59,924,1006,47.9,-6.6,679,749,47.5,-7.0,6.1,92.0,98.1,44.7,55.3,21:46,17:19,15,28,118,49.2
833,Wojtek Wolski\wolskwo01,21,COL,LW,77,883,853,50.9,1.8,681,625,52.1,1.8,10.4,91.1,101.5,53.9,46.1,15:56,13:12,40,37,270,58.5
834,Jeff Woywitka\woywije01,24,STL,D,27,334,342,49.4,-2.6,265,267,49.8,-4.0,8.6,92.8,101.3,48.6,51.4,16:04,14:26,4,15,49,51.0
835,Andy Wozniewski\woznian01,27,TOR,D,48,494,525,48.5,-3.9,381,406,48.4,-4.1,10.2,91.6,101.8,52.2,47.8,14:09,11:09,7,33,70,48.6
836,Keith Yandle\yandlke01,21,PHX,D,43,516,464,52.7,1.3,399,358,52.7,1.5,5.1,89.5,94.6,56.2,43.8,14:04,12:05,14,16,127,55.9
837,Stephane Yelle\yellest01,33,CGY,C,74,487,499,49.4,-6.3,380,402,48.6,-5.1,5.4,93.4,98.8,48.9,51.1,11:56,9:16,27,13,104,59.6
838,Mike York\yorkmi01,30,PHX,LW,63,574,571,50.1,-0.3,407,442,47.9,-2.6,5.4,93.1,98.5,48.3,51.7,11:59,9:59,14,8,133,63.9
839,Bryan Young\youngbr02,21,EDM,D,2,2,9,18.2,,2,7,22.2,,0.0,75.0,75.0,0.0,100.0,2:08,2:07,0,0,0,
840,Travis Zajac\zajactr01,22,NJD,C,82,1009,794,56.0,2.9,756,617,55.1,2.4,6.1,91.1,97.2,55.3,44.7,16:43,12:52,44,21,287,54.0
841,Greg Zanon\zanongr01,27,NSH,D,78,838,1015,45.2,-8.2,629,774,44.8,-7.9,8.4,91.8,100.1,41.9,58.1,18:27,14:00,36,25,95,40.0
842,Richard Zednik\zedniri01,32,FLA,LW,54,713,711,50.1,-2.5,537,568,48.6,-3.5,7.5,92.0,99.4,50.8,49.2,17:35,14:30,22,15,232,60.3
