Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
67,Rene Bourque\bourqre01,26,CHI,LW,62,538,601,47.2,-6.9,414,478,46.4,-8.0,9.2,92.2,101.4,50.6,49.4,15:02,11:30,23,6,169,60.4
68,Jay Bouwmeester\bouwmja01,24,FLA,D,82,1445,1532,48.5,-2.9,1142,1231,48.1,-3.1,7.9,92.4,100.3,48.0,52.0,27:27,19:47,19,65,332,54.8
69,Darryl Boyce\boyceda01,23,TOR,C,1,0,5,0.0,,0,5,0.0,,,100.0,,50.0,50.0,3:20,3:20,0,1,0,
70,Johnny Boychuk\boychjo01,24,COL,D,4,19,22,46.3,-8.3,15,14,51.7,-4.0,8.3,100.0,108.3,61.5,38.5,8:57,7:55,1,1,7,42.9
71,Dustin Boyd\boyddu01,21,CGY,C,48,350,360,49.3,-6.1,266,303,46.7,-6.0,7.5,89.0,96.5,56.1,43.9,9:49,8:38,20,11,79,58.2
72,Brad Boyes\boyesbr01,25,STL,RW,82,958,985,49.3,2.5,767,789,49.3,1.0,11.2,91.0,102.1,51.6,48.4,17:56,13:55,33,33,379,54.6
73,Brian Boyle\boylebr01,23,LAK,C,8,62,103,37.6,13.4,49,80,38.0,14.0,19.0,92.5,111.5,53.1,46.9,13:38,11:17,1,0,22,86.4
74,Dan Boyle\boyleda01,31,TBL,D,37,703,640,52.3,3.0,529,476,52.6,1.2,6.9,85.4,92.3,60.5,39.5,27:24,20:07,18,23,159,46.5
75,Nick Boynton\boyntni01,29,PHX,D,79,1003,1082,48.1,-4.4,765,844,47.5,-5.4,5.8,91.9,97.7,47.8,52.2,17:01,14:16,16,20,201,46.8
76,Matt Bradley\bradlma01,29,WSH,RW,77,637,531,54.5,-0.6,474,398,54.4,-1.1,6.4,92.3,98.7,49.3,50.7,9:60,9:09,21,20,173,64.2
77,Donald Brashear\brashdo01,36,WSH,LW,80,504,483,51.1,-6.0,383,353,52.0,-5.2,5.4,91.5,96.9,53.1,46.9,7:52,7:39,14,24,103,57.3
78,Derick Brassard\brassde01,20,CBJ,C,17,108,89,54.8,4.6,77,76,50.3,0.4,4.8,88.9,93.7,72.2,27.8,9:03,7:20,4,3,29,44.8
79,Kip Brennan\brennki01,27,NYI,LW,3,7,11,38.9,-9.4,7,8,46.7,3.4,0.0,100.0,100.0,83.3,16.7,4:21,4:21,0,1,0,
80,Tim Brent\brentti01,23,PIT,C,1,0,2,0.0,-27.6,0,1,0.0,-31.8,,0.0,,0.0,100.0,4:34,4:34,0,0,0,
81,Eric Brewer\breweer01,28,STL,D,77,1010,1206,45.6,-3.7,789,929,45.9,-4.4,9.1,89.4,98.5,44.9,55.1,24:38,17:59,27,47,230,43.9
82,Daniel Briere\brierda01,30,PHI,C,79,936,1131,45.3,-4.7,690,869,44.3,-6.5,7.7,91.2,99.0,57.4,42.6,18:51,13:51,28,43,299,60.9
83,Rod Brind'Amour\brindro01,37,CAR,C,59,892,797,52.8,-0.7,655,595,52.4,-2.0,9.0,91.2,100.2,43.3,56.7,22:27,15:21,31,26,234,64.5
84,David Brine\brineda01,23,FLA,C,9,35,54,39.3,-5.8,24,43,35.8,-8.4,6.3,93.3,99.6,63.0,37.0,6:02,5:48,2,1,8,37.5
85,Patrice Brisebois\brisepa01,37,MTL,D,43,545,574,48.7,0.7,408,443,47.9,1.1,6.1,94.0,100.2,47.1,52.9,16:50,13:38,15,37,112,37.5
86,Kyle Brodziak\brodzky01,23,EDM,C,80,667,763,46.6,-0.9,509,583,46.6,-1.3,10.2,88.4,98.5,47.2,52.8,12:55,10:08,30,31,218,56.9
87,Sheldon Brookbank\brooksh01,27,NJD,D,44,540,493,52.3,-2.8,402,378,51.5,-4.0,7.9,91.8,99.7,57.4,42.6,15:08,12:28,5,15,110,39.1
88,Wade Brookbank\brookwa01,30,CAR,LW,32,82,102,44.6,-11.7,68,75,47.6,-8.8,13.0,93.6,106.6,67.3,32.7,3:48,3:33,1,3,15,80.0
89,Troy Brouwer\brouwtr01,22,CHI,RW,2,8,12,40.0,-12.3,5,9,35.7,-13.7,40.0,87.5,127.5,46.7,53.3,11:56,10:29,0,0,3,0.0
90,Curtis Brown\browncu01,31,SJS,C,33,230,216,51.6,-2.4,185,152,54.9,0.2,10.8,91.5,102.3,53.5,46.5,10:49,8:15,7,8,60,63.3
91,Dustin Brown\browndu01,23,LAK,RW,78,1017,1098,48.1,-0.3,785,870,47.4,0.0,8.6,89.6,98.2,51.1,48.9,20:18,14:40,26,62,380,57.6
92,Mike Brown\brownmi02,22,VAN,RW,19,63,120,34.4,-10.2,53,91,36.8,-9.6,5.4,94.0,99.4,38.6,61.4,6:19,5:50,1,1,17,52.9
93,Gilbert Brule\brulegi01,21,CBJ,C,61,442,397,52.7,0.2,354,319,52.6,-0.4,5.2,92.6,97.8,60.6,39.4,9:54,9:07,14,10,116,63.8
94,Andrew Brunette\brunean01,34,COL,LW,82,824,920,47.2,-3.1,648,696,48.2,-3.3,11.9,90.1,101.9,53.8,46.2,15:33,12:20,24,27,197,63.5
95,Sergei Brylin\brylise01,34,NJD,C,82,664,685,49.2,-6.4,501,518,49.2,-6.1,6.4,91.9,98.3,51.5,48.5,13:32,10:58,25,13,119,54.6
96,Adam Burish\burisad01,25,CHI,RW,81,434,566,43.4,-10.2,342,434,44.1,-9.7,5.9,90.3,96.2,52.6,47.4,11:35,8:28,11,7,91,75.8
97,Brent Burns\burnsbr01,22,MIN,D,82,1223,1202,50.4,1.7,925,942,49.5,1.3,10.6,92.4,103.0,43.0,57.0,22:49,16:46,61,65,341,46.3
98,Alexandre Burrows\burroal01,26,VAN,LW,82,805,826,49.4,-1.5,610,621,49.6,-1.4,8.5,93.3,101.8,39.1,60.9,15:06,11:40,50,31,217,58.1
99,Dane Byers\byersda01,21,NYR,LW,1,2,9,18.2,-52.2,2,7,22.2,-46.5,0.0,83.3,83.3,33.3,66.7,5:05,5:02,0,0,0,
100,Dustin Byfuglien\byfugdu01,22,CHI,D,67,706,596,54.2,2.6,562,473,54.3,1.2,7.4,90.5,97.9,54.4,45.6,17:02,12:60,30,28,279,58.4
101,Kyle Calder\caldeky01,29,LAK,LW,65,507,585,46.4,-2.5,373,447,45.5,-3.2,7.8,90.8,98.6,50.5,49.5,12:60,9:47,11,38,119,58.8
102,Ryan Caldwell\caldwry01,26,PHX,D,2,13,6,68.4,12.0,11,4,73.3,14.7,0.0,100.0,100.0,33.3,66.7,6:08,5:48,0,0,1,100.0
103,Ryan Callahan\callary01,22,NYR,RW,52,471,456,50.8,-4.9,387,355,52.2,-3.7,7.3,94.2,101.5,56.6,43.4,12:22,10:53,18,12,139,66.2
104,Mike Cammalleri\cammami01,25,LAK,LW,63,867,838,50.9,4.4,665,671,49.8,3.4,8.3,88.7,97.1,54.3,45.7,18:35,14:20,15,54,390,53.8
105,Brian Campbell\campbbr02,28,TOT,D,83,1369,1232,52.6,2.7,1064,962,52.5,0.1,9.8,89.7,99.6,57.2,42.8,25:06,18:15,22,62,302,47.0
106,Gregory Campbell\campbgr01,24,FLA,C,81,660,717,47.9,-2.8,506,579,46.6,-3.6,5.5,91.6,97.1,44.8,55.2,12:26,9:36,12,18,183,61.7
107,Chris Campoli\campoch01,23,NYI,D,46,586,547,51.7,0.2,435,412,51.4,-0.7,8.5,92.0,100.5,44.3,55.7,19:07,14:05,19,21,130,52.3
108,Daniel Carcillo\carcida01,23,PHX,LW,57,518,576,47.3,-3.8,413,462,47.2,-5.0,5.8,95.4,101.1,48.5,51.5,12:42,10:50,13,15,178,59.6
109,Matt Carle\carlema01,23,SJS,D,62,731,552,57.0,4.0,568,398,58.8,5.1,7.1,87.6,94.7,61.6,38.4,16:33,12:41,17,43,120,52.5
110,Keith Carney\carneke01,37,MIN,D,61,671,603,52.7,4.0,500,478,51.1,3.1,8.6,93.6,102.2,45.6,54.4,13:13,12:08,6,17,61,44.3
111,Jeff Carter\carteje01,23,PHI,C,82,1096,1120,49.5,2.7,851,842,50.3,3.6,9.0,91.9,100.8,40.2,59.8,18:49,13:53,56,60,464,56.0
112,Ryan Carter\cartery01,24,ANA,C,34,242,249,49.3,-5.6,204,190,51.8,-1.9,6.5,90.8,97.2,41.4,58.6,10:29,9:17,8,8,94,59.6
113,Tom Cavanagh\cavanto01,25,SJS,C,1,11,10,52.4,,10,9,52.6,,14.3,100.0,114.3,66.7,33.3,13:54,13:54,0,0,2,0.0
114,Zdeno Chara\charazd01,30,BOS,D,77,1329,1139,53.8,2.9,1006,917,52.3,2.4,9.5,92.0,101.5,48.9,51.1,26:30,18:29,30,50,387,53.0
115,Jonathan Cheechoo\cheecjo01,27,SJS,RW,69,835,610,57.8,4.3,634,466,57.6,2.3,8.4,93.2,101.6,58.2,41.8,16:34,12:50,24,44,343,64.1
116,Chris Chelios*\chelich01,46,DET,D,69,795,572,58.2,-3.4,634,447,58.6,-3.1,7.0,93.2,100.1,62.6,37.4,16:58,12:39,15,44,157,38.2
117,Jason Chimera\chimeja01,28,CBJ,LW,81,921,900,50.6,-2.3,717,711,50.2,-2.5,6.1,93.2,99.3,44.8,55.2,17:30,13:09,19,22,306,64.7
118,Kyle Chipchura\chipcky01,21,MTL,C,36,297,349,46.0,-3.9,206,258,44.4,-5.1,7.2,92.4,99.6,36.0,64.0,11:22,9:24,24,13,64,56.3
119,Erik Christensen\chriser01,24,TOT,C,59,461,618,42.7,-2.3,361,468,43.5,-2.8,9.2,90.4,99.6,44.3,55.7,13:21,10:44,20,14,233,56.7
120,Brett Clark\clarkbr01,31,COL,D,57,765,862,47.0,-4.7,605,639,48.6,-4.2,9.8,90.9,100.8,45.9,54.1,23:09,16:38,23,30,165,52.7
121,Chris Clark\clarkch01,31,WSH,RW,18,220,209,51.3,-7.8,164,160,50.6,-8.6,8.8,93.1,102.0,52.3,47.7,16:54,13:13,4,7,59,49.2
122,Noah Clarke\clarkno02,28,NJD,LW,1,4,13,23.5,-32.2,4,8,33.3,-20.5,25.0,87.5,112.5,100.0,0.0,10:39,10:39,1,0,3,100.0
123,David Clarkson\clarkda03,23,NJD,RW,81,702,689,50.5,-5.3,528,523,50.2,-5.3,9.9,90.8,100.7,48.7,51.3,12:01,11:09,13,14,243,62.1
124,Dan Cleary\clearda01,29,DET,RW,63,771,530,59.3,-2.6,618,417,59.7,-2.4,9.9,92.0,101.9,59.0,41.0,17:23,12:19,25,25,275,64.0
125,Ryane Clowe\clowery01,25,SJS,LW,15,162,122,57.0,3.9,116,89,56.6,2.4,8.5,86.9,95.4,49.5,50.5,14:17,11:03,7,11,42,52.4
126,Cal Clutterbuck\cluttca01,20,MIN,RW,2,11,12,47.8,-13.9,7,6,53.8,-2.0,0.0,100.0,100.0,70.0,30.0,7:05,7:05,1,0,3,0.0
127,Braydon Coburn\coburbr01,22,PHI,D,78,1152,1147,50.1,3.7,902,900,50.1,3.5,9.4,92.8,102.2,42.4,57.6,21:14,16:14,36,53,240,47.1
128,Andrew Cogliano\coglian01,20,EDM,C,82,678,906,42.8,-6.1,522,707,42.5,-6.9,11.8,91.3,103.2,51.5,48.5,13:40,10:48,35,49,156,62.8
129,Carlo Colaiacovo\colaica01,25,TOR,D,28,408,346,54.1,-0.8,307,254,54.7,-0.8,7.0,89.5,96.5,48.3,51.7,17:26,14:40,7,25,56,53.6
130,Erik Cole\coleer01,29,CAR,RW,73,1046,927,53.0,-0.4,790,701,53.0,-1.2,10.0,90.8,100.8,53.7,46.3,19:21,14:09,35,32,373,58.2
131,Jeremy Colliton\collije01,23,NYI,C,16,89,79,53.0,3.0,70,57,55.1,8.2,1.9,88.4,90.2,48.1,51.9,8:46,6:41,6,1,24,66.7
132,Blake Comeau\comeabl01,21,NYI,LW,51,501,484,50.9,-3.1,369,356,50.9,-2.3,7.4,92.5,99.9,46.9,53.1,11:40,10:54,28,16,120,55.8
133,Mike Commodore\commomi01,28,TOT,D,67,970,865,52.9,-0.4,725,662,52.3,-0.7,7.8,89.3,97.1,50.6,49.4,18:12,14:48,23,28,211,46.0
134,Mike Comrie\comrimi01,27,NYI,C,76,1021,1077,48.7,-6.6,761,812,48.4,-7.1,7.7,90.1,97.8,51.1,48.9,19:11,14:60,47,62,302,64.2
135,Tim Conboy\conboti01,25,CAR,D,19,133,112,54.3,0.3,106,84,55.8,1.5,9.2,88.5,97.7,62.5,37.5,6:58,6:12,3,2,26,61.5
136,Chris Conner\connech01,24,DAL,RW,22,184,208,46.9,-10.3,138,175,44.1,-12.2,8.0,93.3,101.3,54.5,45.5,11:60,10:60,5,5,38,71.1
137,Tim Connolly\connoti01,26,BUF,C,48,569,544,51.1,2.8,445,419,51.5,1.1,9.7,90.1,99.8,54.1,45.9,18:41,12:35,16,33,182,61.0
138,Craig Conroy\conrocr01,36,CGY,C,79,859,809,51.5,-3.5,646,660,49.5,-3.8,10.3,92.2,102.5,50.5,49.5,17:09,12:38,53,55,195,59.5
139,Matt Cooke\cookema01,29,TOT,LW,78,724,735,49.6,-3.0,524,568,48.0,-5.5,8.1,93.0,101.1,46.9,53.1,13:09,11:07,26,23,178,47.8
140,Joe Corvo\corvojo01,30,TOT,D,74,1088,862,55.8,4.7,804,701,53.4,1.6,9.8,92.1,101.9,58.5,41.5,18:37,13:57,24,33,343,48.7
141,Riley Cote\coteri01,25,PHI,LW,70,182,265,40.7,-8.5,133,197,40.3,-9.3,8.1,96.0,104.1,44.8,55.2,4:17,4:10,5,2,28,60.7
142,Jeff Cowan\cowanje01,31,VAN,LW,46,226,358,38.7,-11.1,178,282,38.7,-11.9,3.9,95.0,99.0,35.6,64.4,8:44,8:11,13,8,56,62.5
143,Ryan Craig\craigry01,26,TBL,C,7,47,62,43.1,-10.5,38,47,44.7,-12.4,11.5,87.5,99.0,26.5,73.5,13:04,9:49,1,1,10,80.0
144,B.J. Crombeen\crombbj01,22,DAL,RW,8,37,43,46.3,-6.3,30,39,43.5,-8.5,21.7,86.2,107.9,73.1,26.9,6:38,6:35,3,1,10,90.0
145,Sidney Crosby\crosbsi01,20,PIT,C,53,782,750,51.0,7.5,623,552,53.0,8.7,12.0,91.9,103.9,50.7,49.3,20:51,14:49,35,37,279,61.6
146,Matt Cullen\cullema01,31,CAR,C,59,648,627,50.8,-5.1,500,474,51.3,-5.1,9.8,91.4,101.2,51.6,48.4,16:52,11:06,27,28,255,53.7
147,Jassen Cullimore\cullija01,35,FLA,D,65,853,908,48.4,-1.9,672,713,48.5,-0.3,8.9,94.9,103.8,47.8,52.2,18:04,15:24,11,31,100,55.0
148,Kyle Cumiskey\cumisky01,21,COL,D,38,337,308,52.2,0.3,268,240,52.8,-0.3,8.2,89.7,97.9,64.2,35.8,12:08,10:32,21,7,39,48.7
149,Matt D'Agostini\dagosma01,21,MTL,RW,1,2,4,33.3,-19.4,2,4,33.3,-19.5,0.0,100.0,100.0,50.0,50.0,8:49,7:50,1,0,0,
150,Trevor Daley\daleytr01,24,DAL,D,82,1047,1002,51.1,-3.4,797,792,50.2,-3.2,7.8,91.4,99.2,51.9,48.1,19:48,15:57,24,34,178,48.9
151,Kevin Dallman\dallmke01,26,LAK,D,34,384,355,52.0,4.8,307,289,51.5,4.2,6.4,96.3,102.7,57.9,42.1,12:53,12:02,6,14,94,43.6
152,Mathieu Dandenault\dandema01,31,MTL,RW,61,486,661,42.4,-7.7,369,491,42.9,-6.3,6.4,91.8,98.2,38.5,61.5,11:08,9:52,17,19,118,58.5
153,Mathieu Darche\darchma01,31,TBL,LW,73,793,707,52.9,1.7,579,530,52.2,0.3,7.0,88.6,95.6,50.8,49.2,14:26,12:16,33,12,203,59.1
154,Pavel Datsyuk\datsypa01,29,DET,C,82,1371,799,63.2,5.2,1084,623,63.5,5.3,10.7,91.6,102.3,55.9,44.1,21:23,15:10,144,68,437,60.2
155,Rob Davison\davisro01,27,TOT,D,34,352,336,51.2,-1.7,258,242,51.6,-0.3,4.9,91.2,96.0,47.7,52.3,13:52,12:01,14,17,58,55.2
156,Nigel Dawes\dawesni01,22,NYR,LW,61,663,533,55.4,-0.5,526,399,56.9,-0.6,8.9,92.5,101.4,61.1,38.9,12:59,11:22,22,16,200,60.5
157,Greg de Vries\devrigr01,35,NSH,D,77,968,1083,47.2,-5.9,755,853,47.0,-5.9,10.6,91.4,102.0,43.2,56.8,18:52,15:49,27,24,121,54.5
158,Pavol Demitra\demitpa01,33,MIN,LW,68,820,931,46.8,-4.2,633,725,46.6,-3.2,12.8,91.9,104.6,47.3,52.7,19:24,14:08,26,42,233,54.1
159,Boyd Devereaux\deverbo01,29,TOR,C,62,619,605,50.6,-0.3,483,461,51.2,0.0,7.7,89.6,97.3,47.3,52.7,13:58,11:15,23,28,142,57.0
160,Joe DiPenta\dipenjo01,28,ANA,D,23,146,125,53.9,-7.6,113,98,53.6,-6.7,15.1,87.3,102.4,45.7,54.3,10:39,9:11,6,2,16,31.3
161,Shane Doan\doansh01,31,PHX,RW,80,1180,1115,51.4,1.5,911,887,50.7,0.1,8.9,91.2,100.1,52.7,47.3,20:45,15:04,64,30,392,61.7
162,Kevin Doell\doellke01,28,ATL,C,8,36,60,37.5,-9.2,31,47,39.7,-6.4,4.3,92.1,96.5,38.9,61.1,9:40,8:48,7,1,6,100.0
163,Shean Donovan\donovsh01,33,OTT,RW,82,634,629,50.2,-2.1,489,492,49.8,-1.3,6.2,92.5,98.6,51.7,48.3,9:35,9:05,24,16,145,62.8
164,Jim Dowd\dowdji01,39,PHI,C,73,281,449,38.5,-11.3,214,337,38.8,-11.3,6.8,94.9,101.8,30.0,70.0,8:26,6:32,14,15,63,65.1
165,Jake Dowell\dowelja01,22,CHI,C,19,117,133,46.8,-11.2,92,101,47.7,-7.9,4.2,97.3,101.6,58.9,41.1,11:56,8:37,4,6,25,76.0
166,Aaron Downey\downeaa01,33,DET,RW,56,195,187,51.0,-9.3,159,149,51.6,-9.1,5.3,94.6,99.9,82.1,17.9,4:35,4:33,3,4,22,68.2
167,Steve Downie\downist01,20,PHI,RW,32,248,257,49.1,-3.0,193,185,51.1,-0.9,10.1,89.8,99.9,39.6,60.4,9:51,9:42,14,9,40,62.5
168,Dallas Drake\drakeda01,38,DET,RW,65,436,404,51.9,-9.5,342,329,51.0,-11.3,3.6,90.9,94.5,63.0,37.0,10:42,8:41,17,11,81,56.8
169,Kris Draper\drapekr01,36,DET,C,65,638,613,51.0,-13.5,506,472,51.7,-13.7,5.9,92.6,98.5,53.4,46.6,15:38,12:39,19,17,161,60.2
170,Chris Drury\drurych01,31,NYR,C,82,934,903,50.8,-6.9,734,667,52.4,-6.3,7.5,92.1,99.6,54.4,45.6,19:48,12:38,64,40,350,62.9
171,Brandon Dubinsky\dubinbr01,21,NYR,C,82,962,689,58.3,2.7,749,537,58.2,1.2,7.9,90.5,98.5,64.1,35.9,14:30,11:49,40,23,248,63.3
172,J.P. Dumont\dumonjp01,29,NSH,RW,80,1090,1024,51.6,0.8,850,808,51.3,0.8,10.8,90.6,101.4,52.9,47.1,18:30,14:16,47,54,336,57.1
173,Micki DuPont\duponmi01,27,STL,D,2,11,12,47.8,5.7,9,6,60.0,12.6,12.5,100.0,112.5,47.1,52.9,12:34,6:53,0,2,5,60.0
174,Pascal Dupuis\dupuipa01,28,TOT,LW,78,732,846,46.4,1.0,557,661,45.7,0.1,8.2,92.0,100.2,34.0,66.0,15:12,12:16,51,20,237,59.9
175,Radek Dvorak\dvorara01,30,FLA,RW,67,689,734,48.4,-4.7,549,586,48.4,-3.9,5.3,94.3,99.6,51.1,48.9,15:07,12:13,36,15,214,67.8
176,Ben Eager\eagerbe01,24,TOT,LW,32,104,157,39.8,-8.9,81,112,42.0,-8.6,5.7,84.6,90.3,52.4,47.6,5:48,5:19,2,4,28,57.1
177,Robbie Earl\earlro01,22,TOR,LW,9,55,79,41.0,-4.3,45,52,46.4,1.9,6.1,89.5,95.5,38.9,61.1,9:14,8:52,2,3,14,64.3
178,Mark Eaton\eatonma01,30,PIT,D,36,419,490,46.1,-1.5,348,346,50.1,3.5,8.5,93.4,101.9,43.0,57.0,19:38,15:06,2,7,48,58.3
179,Patrick Eaves\eavespa01,23,TOT,RW,37,371,347,51.7,0.3,286,261,52.3,0.7,7.0,91.2,98.2,53.8,46.2,12:46,10:35,18,11,137,59.1
180,Andrew Ebbett\ebbetan01,25,ANA,C,3,14,17,45.2,-6.3,13,14,48.1,-6.2,33.3,100.0,133.3,71.4,28.6,13:18,7:38,1,1,6,50.0
181,Alexander Edler\edleral01,21,VAN,D,75,1033,999,50.8,1.9,811,770,51.3,2.0,8.8,92.4,101.1,52.6,47.4,21:19,15:57,23,42,253,49.0
182,Christian Ehrhoff\ehrhoch01,25,SJS,D,77,1143,965,54.2,-0.4,883,698,55.9,-0.2,7.8,92.3,100.1,52.6,47.4,21:44,16:35,22,43,262,36.6
183,Patrik Elias\eliaspa01,31,NJD,LW,74,1009,693,59.3,7.8,785,522,60.1,9.6,7.8,91.4,99.2,58.7,41.3,18:28,12:45,38,40,441,59.6
184,Matt Ellis\ellisma01,26,TOT,LW,54,307,302,50.4,-5.5,239,237,50.2,-5.6,7.2,94.0,101.2,56.1,43.9,7:57,7:03,17,9,102,64.7
185,Steve Eminger\emingst01,24,WSH,D,20,189,171,52.5,-0.2,138,136,50.4,-4.2,4.8,90.0,94.8,58.3,41.7,11:08,10:44,5,6,22,63.6
186,Toby Enstrom\enstrto01,23,ATL,D,82,879,1239,41.5,-4.0,677,943,41.8,-3.8,11.0,91.9,102.9,43.0,57.0,24:28,15:33,30,52,207,50.7
187,Martin Erat\eratma01,26,NSH,RW,76,1032,882,53.9,3.9,799,692,53.6,3.2,8.8,91.0,99.8,49.6,50.4,18:39,13:55,50,52,261,62.5
188,Jonathan Ericsson\ericsjo01,23,DET,D,8,89,65,57.8,5.2,76,53,58.9,4.6,3.3,89.1,92.5,66.0,34.0,15:58,13:16,0,9,29,65.5
189,Anders Eriksson\eriksan01,33,CGY,D,61,949,821,53.6,-1.3,715,650,52.4,-0.4,9.3,89.2,98.5,57.0,43.0,20:47,16:14,28,44,124,40.3
190,Loui Eriksson\erikslo01,22,DAL,LW,69,757,562,57.4,4.3,591,449,56.8,5.5,8.9,89.8,98.7,55.9,44.1,14:02,12:21,58,22,200,60.0
191,John Erskine\erskijo01,27,WSH,D,51,627,594,51.4,-7.7,452,442,50.6,-8.7,7.8,92.0,99.8,57.1,42.9,15:43,13:25,20,35,108,44.4
192,Garnet Exelby\exelbga01,26,ATL,D,79,849,1207,41.3,-4.6,634,924,40.7,-5.2,7.8,91.1,98.9,41.1,58.9,18:53,15:59,30,39,92,40.2
193,Drew Fata\fatadr01,24,NYI,D,5,54,86,38.6,-14.8,38,73,34.2,-17.3,4.2,96.1,100.2,58.5,41.5,17:30,15:03,4,7,10,40.0
194,Sergei Fedorov*\fedorse01,38,TOT,C,68,743,607,55.0,1.1,568,477,54.4,0.3,6.6,91.1,97.7,50.8,49.2,17:40,12:24,37,44,245,52.2
195,Todd Fedoruk\fedorto01,28,TOT,LW,69,463,528,46.7,-3.1,359,425,45.8,-3.5,10.1,92.4,102.5,47.1,52.9,10:19,8:44,5,19,89,64.0
196,Ruslan Fedotenko\fedotru01,29,NYI,LW,67,834,792,51.3,-2.8,624,601,50.9,-3.0,7.0,91.3,98.4,46.4,53.6,16:42,13:29,49,24,223,54.3
197,Eric Fehr\fehrer01,22,WSH,RW,23,230,162,58.7,3.8,185,124,59.9,4.2,6.5,93.9,100.4,61.5,38.5,10:31,9:05,6,6,69,58.0
198,Andrew Ference\ferenan01,28,BOS,D,59,871,921,48.6,-5.0,666,710,48.4,-3.0,6.4,91.2,97.6,49.7,50.3,22:15,17:14,10,29,178,39.9
199,Vernon Fiddler\fiddlve01,27,NSH,LW,79,714,726,49.6,-2.3,550,579,48.7,-3.1,8.1,91.4,99.5,46.2,53.8,13:56,10:51,51,17,167,58.1
200,Jonathan Filewich\filewjo01,23,PIT,RW,5,20,41,32.8,-7.2,13,28,31.7,-11.7,0.0,86.7,86.7,35.3,64.7,8:42,8:35,1,1,6,50.0
201,Valtteri Filppula\filppva01,23,DET,C,78,980,733,57.2,-4.6,782,570,57.8,-4.3,7.7,92.9,100.6,61.4,38.6,16:58,13:50,31,32,182,65.9
202,Jeff Finger\fingeje01,28,COL,D,72,947,1063,47.1,-4.0,731,767,48.8,-3.5,11.2,91.0,102.1,51.1,48.9,19:57,16:31,29,26,192,48.4
203,Mike Fisher\fishemi01,27,OTT,C,79,1032,956,51.9,0.2,775,709,52.2,1.4,7.1,89.8,97.0,52.5,47.5,19:45,13:58,47,45,369,58.3
204,Mark Fistric\fistrma01,21,DAL,D,37,355,298,54.4,-1.5,281,243,53.6,-1.6,7.8,92.1,99.8,59.4,40.6,12:44,11:36,16,13,39,43.6
205,Zack Fitzgerald\fitzgza01,22,VAN,D,1,11,11,50.0,,10,10,50.0,,16.7,87.5,104.2,20.0,80.0,13:20,13:20,1,0,3,33.3
206,Rory Fitzpatrick\fitzpro02,33,PHI,D,19,170,237,41.8,-5.6,130,173,42.9,-6.0,3.3,87.5,90.8,49.1,50.9,12:41,11:30,0,6,20,50.0
207,Tomas Fleischmann\fleisto01,23,WSH,RW,75,808,636,56.0,0.4,601,501,54.5,-1.6,8.0,88.9,96.9,60.8,39.2,12:37,10:56,29,21,190,56.3
208,Nick Foligno\foligni01,20,OTT,LW,45,341,309,52.5,0.9,246,242,50.4,-1.0,8.0,92.0,100.0,55.6,44.4,9:10,8:40,14,12,67,65.7
209,Adam Foote\footead01,36,TOT,D,75,1058,1110,48.8,-4.3,831,859,49.2,-4.0,7.3,92.6,100.0,41.9,58.1,23:23,18:16,18,18,139,47.5
210,Peter Forsberg*\forsbpe01,34,COL,C,9,126,102,55.3,9.4,104,77,57.5,9.7,12.0,94.8,106.9,48.4,51.6,19:15,15:15,10,15,21,71.4
211,Alex Foster\fosteal01,23,TOR,C,3,11,7,61.1,,8,7,53.3,,0.0,100.0,100.0,75.0,25.0,3:32,3:31,1,0,2,50.0
212,Kurtis Foster\fosteku01,26,MIN,D,56,643,600,51.7,-0.8,494,478,50.8,-1.3,9.2,92.0,101.2,55.8,44.2,16:24,12:60,11,21,234,50.4
213,Matt Foy\foyma01,24,MIN,RW,28,170,165,50.7,0.6,129,135,48.9,-0.1,9.2,89.6,98.8,41.7,58.3,7:50,7:10,4,3,55,69.1
214,Johan Franzen\franzjo01,28,DET,C,72,898,615,59.4,-1.1,728,486,60.0,-0.5,6.4,93.6,100.1,62.0,38.0,17:43,13:06,39,28,306,65.0
215,Colin Fraser\fraseco01,23,CHI,C,5,24,30,44.4,-16.2,20,24,45.5,-14.7,6.3,83.3,89.6,33.3,66.7,10:19,7:27,3,0,5,80.0
216,Dan Fritsche\fritsda01,22,CBJ,C,69,664,629,51.4,-0.3,512,474,51.9,0.9,7.7,92.1,99.7,48.6,51.4,12:21,10:53,21,13,153,71.2
217,Alex Frolov\froloal01,25,LAK,LW,71,1038,1043,49.9,5.4,794,810,49.5,4.5,10.2,90.5,100.6,53.8,46.2,18:48,14:55,45,70,285,56.1
218,Michael Funk\funkmi01,21,BUF,D,4,27,50,35.1,-26.1,22,35,38.6,-23.7,0.0,89.3,89.3,31.3,68.8,11:37,11:25,0,2,3,33.3
219,Marian Gaborik\gaborma01,25,MIN,RW,77,953,1103,46.4,-4.4,744,846,46.8,-2.6,13.4,92.2,105.7,45.7,54.3,19:20,14:59,41,55,451,61.6
220,Simon Gagne\gagnesi01,27,PHI,LW,25,253,311,44.9,-3.3,190,246,43.6,-4.1,9.3,88.9,98.2,55.5,44.5,18:09,12:33,10,22,129,58.9
