Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Spencer Abbott\abbotsp01,28,CHI,LW,1,11,7,61.1,-6.7,6,6,50,-17.2,0,100,100,100,0,8:34,8:34,1,0,0.1,2,50
2,Justin Abdelkader\abdelju01,29,DET,LW,64,685,790,46.4,-2.1,523,593,46.9,-1.4,5.3,91.1,96.4,46.3,53.7,16:39,13:07,15,18,-4.2,160,65
3,Pontus Aberg\abergpo01,23,NSH,LW,15,138,159,46.5,-6.2,104,117,47.1,-4.9,6.6,92.1,98.7,48.3,51.7,12:20,12:05,5,2,-1.6,24,50
4,Noel Acciari\acciano01,25,BOS,C,29,230,246,48.3,-6,170,188,47.5,-7.7,7.8,95.8,103.6,40.9,59.1,10:14,10:01,10,4,-0.7,43,55.8
5,Kenny Agostino\agostke01,24,STL,LW,7,86,64,57.3,12.8,69,47,59.5,10.5,5.8,90.9,96.7,60.4,39.6,12:47,11:30,1,4,2.2,26,65.4
6,Sebastian Aho\ahose01,19,CAR,RW,82,1126,990,53.2,2.7,842,774,52.1,2.4,7.6,91.2,98.8,54.7,45.3,16:47,14:15,40,57,6,362,59.1
7,Karl Alzner\alzneka01,28,WSH,D,82,1135,1318,46.3,-7.5,852,982,46.5,-6.7,10.3,93.9,104.2,45.9,54.1,19:48,16:42,17,52,-4.9,162,50
8,Josh Anderson\anderjo05,22,CBJ,RW,78,779,882,46.9,-4.1,590,657,47.3,-3.9,9.5,93.8,103.2,45.8,54.2,12:01,11:44,25,16,-1.7,193,61.7
9,Rasmus Andersson\anderra01,20,CGY,D,1,15,15,50,-2.2,6,9,40,-10,0,80,80,60,40,18:33,16:40,0,0,0.2,1,0
10,Andy Andreoff\andrean01,25,LAK,LW,36,358,304,54.1,-1.1,253,224,53,-2.3,4,93.8,97.8,58.5,41.5,10:36,10:21,5,10,2.5,81,46.9
11,Sven Andrighetto\andrisv01,23,TOT,RW,46,550,513,51.7,-2.1,398,372,51.7,-0.7,8.1,92.1,100.2,53.2,46.8,13:58,12:44,19,9,1.8,130,52.3
12,Artem Anisimov\anisiar01,28,CHI,C,64,856,865,49.7,-0.5,615,662,48.2,-1.6,11.9,92,103.9,65.1,34.9,17:51,14:38,35,16,-3,191,55
13,Josh Archibald\archijo01,24,PIT,RW,10,87,106,45.1,-2.8,66,76,46.5,-0.9,11.1,94.3,105.5,50,50,10:52,10:20,0,2,-0.4,24,45.8
14,Joel Armia\armiajo01,23,WPG,RW,57,602,696,46.4,-4.6,456,532,46.2,-5.4,6.2,92.6,98.8,42.7,57.3,15:08,12:24,42,19,-2,195,56.9
15,Viktor Arvidsson\arvidvi01,23,NSH,LW,80,1275,1042,55,5.5,975,816,54.4,5.2,9.6,91,100.6,55.8,44.2,17:09,14:02,37,26,6.2,411,59.6
16,Andreas Athanasiou\athanan01,22,DET,C,64,640,690,48.1,-1,500,534,48.4,-0.5,9,90.9,99.9,62.1,37.9,13:28,11:43,17,19,-5.1,236,50.8
17,Cam Atkinson\atkinca01,27,CBJ,RW,82,1153,1210,48.8,-2,828,899,47.9,-3.4,8.9,93.3,102.2,45.3,54.7,18:05,13:59,36,21,-5,399,60.2
18,Brady Austin\austibr01,23,BUF,D,5,78,67,53.8,3.6,66,55,54.5,2.8,5.7,93,98.7,62.3,37.7,16:05,15:29,1,2,0.4,10,80
19,Yohann Auvitu\auvityo01,27,NJD,D,25,293,283,50.9,7,227,230,49.7,5.5,6.8,94.1,100.9,66.3,33.7,15:36,13:31,7,13,-1.4,87,62.1
20,David Backes\backeda01,32,BOS,RW,74,1149,888,56.4,2.2,873,647,57.4,2.8,8.7,89.2,97.9,50.3,49.7,17:03,14:18,28,35,7.6,285,61.1
21,Mikael Backlund\backlmi01,27,CGY,C,81,1120,918,55,6.2,834,683,55,6.9,9.2,89.9,99.1,36.3,63.7,17:36,13:14,57,49,4.4,338,58.3
22,Nicklas Backstrom\backsni02,29,WSH,C,82,1144,1118,50.6,-1.1,873,841,50.9,0,10.2,92.4,102.6,53,47,18:16,14:30,61,54,-0.7,268,60.1
23,Sven Baertschi\baertsv01,24,VAN,LW,68,774,898,46.3,-2.7,585,680,46.2,-1.2,10,90.6,100.7,50,50,15:53,13:41,39,23,-3,185,61.6
24,Casey Bailey\baileca01,25,OTT,RW,7,46,48,48.9,1.7,40,28,58.8,10.3,0,94.1,94.1,66.7,33.3,0.333333333,0.333333333,1,0,1.8,12,83.3
25,Josh Bailey\bailejo01,27,NYI,RW,82,1246,1212,50.7,4.4,912,877,51,4.5,10.5,90.1,100.6,62.1,37.9,18:22,15:10,54,61,4.2,304,56.9
26,Justin Bailey\baileju01,21,BUF,RW,32,283,371,43.3,-3.5,213,276,43.6,-3.6,7.2,94.7,101.9,42.5,57.5,10:38,10:38,8,10,-4.5,75,48
27,Nicholas Baptiste\baptini01,21,BUF,RW,14,95,118,44.6,-5.1,71,97,42.3,-6.9,10,94.7,104.7,54.1,45.9,9:14,8:38,1,1,-1,21,81
28,Ivan Barbashev\barbaiv01,21,STL,C,30,271,292,48.1,-0.5,203,213,48.8,-0.9,9.7,94.8,104.5,44,56,11:47,10:52,9,3,2.7,41,48.8
29,Riley Barber\barberi01,22,WSH,RW,3,17,27,38.6,-14.1,13,19,40.6,-8.8,0,100,100,64.7,35.3,8:35,8:35,0,0,0.3,3,66.7
30,Mark Barberio\barbema01,26,TOT,D,60,917,835,52.3,0.9,663,645,50.7,0.3,6.9,92.2,99.1,54.4,45.6,18:16,15:54,16,33,-1.7,198,40.4
31,Aleksander Barkov\barkoal01,21,FLA,C,61,911,728,55.6,5.2,704,594,54.2,4.1,9.5,91.7,101.2,57.2,42.8,19:24,15:12,49,30,6.5,226,62.8
32,Tyson Barrie\barrity01,25,COL,D,74,1330,1328,50,2.1,1003,1050,48.9,1.7,6.6,89.7,96.2,58.2,41.8,23:18,19:28,22,51,-6.3,404,44.6
33,Matt Bartkowski\bartkma01,28,CGY,D,24,285,343,45.4,-5.5,201,266,43,-8.5,8.7,91.7,100.4,49.5,50.5,15:23,14:55,3,13,-4.5,49,32.7
34,Mathew Barzal\barzama01,19,NYI,C,2,11,28,28.2,-21.5,10,18,35.7,-14.3,0,85.7,85.7,66.7,33.3,9:45,9:14,0,0,-1.7,0,
35,Cody Bass\bassco01,30,NSH,C,9,27,63,30,-21.6,21,42,33.3,-16.8,0,96.9,96.9,16.1,83.9,6:46,6:15,2,1,-2.1,3,33.3
36,Jay Beagle\beaglja01,31,WSH,RW,81,684,821,45.4,-7.4,512,619,45.3,-7.2,11,94.7,105.6,31.1,68.9,13:38,10:47,11,26,-3.3,158,63.3
37,Francois Beauchemin\beaucfr01,36,COL,D,81,1273,1383,47.9,-1.7,948,1019,48.2,0,7,91.3,98.3,46.5,53.5,21:31,17:14,28,47,-10.3,279,47.3
38,Nathan Beaulieu\beaulna01,24,MTL,D,74,1221,1185,50.7,-2.6,871,854,50.5,-2.8,9.4,92.4,101.7,50.8,49.2,19:29,16:52,16,71,-0.1,235,50.2
39,Anthony Beauvillier\beauvan01,19,NYI,LW,66,700,882,44.2,-4.2,527,647,44.9,-3.2,9.6,92.1,101.7,52.4,47.6,13:01,12:29,17,30,-10,170,59.4
40,Taylor Beck\beckta01,25,TOT,LW,5,31,44,41.3,-4.5,18,32,36,-12.4,0,87,87,53.8,46.2,8:49,8:31,1,2,-1.5,11,45.5
