Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
41,Matt Beleskey\belesma01,28,BOS,LW,49,522,453,53.5,-1.1,407,331,55.1,0.6,4,89.9,93.9,53.8,46.2,13:10,11:07,7,12,3.6,149,53
42,Pierre-Edouard Bellemare\bellepi01,31,PHI,LW,82,670,768,46.6,-5.6,467,525,47.1,-5.5,6.7,94.1,100.8,46.2,53.8,12:58,10:09,24,14,-4.6,172,52.3
43,Jamie Benn\bennja01,27,DAL,LW,77,1127,1127,50,-0.4,831,824,50.2,-0.5,8.7,90.2,98.9,48.9,51.1,19:22,14:49,55,55,-4.5,359,56
44,Jordie Benn\bennjo01,29,TOT,D,71,1086,1085,50,-1,788,775,50.4,-0.8,7.2,92.3,99.5,46.1,53.9,18:17,14:56,14,49,-3.4,180,37.8
45,Beau Bennett\bennebe01,25,NJD,RW,65,727,635,53.4,7.2,556,493,53,6.5,5.9,93.2,99.1,46.1,53.9,13:43,11:54,19,16,-0.1,185,54.6
46,Sam Bennett\bennesa01,20,CGY,C,81,854,905,48.6,-2.5,631,666,48.7,-1.7,6.6,90.4,97,56.1,43.9,14:59,12:33,43,25,-1.1,215,56.7
47,Matt Benning\bennima01,22,EDM,D,62,893,815,52.3,2,681,612,52.7,1,9.2,91.7,101,56.7,43.3,16:37,15:28,7,49,5.3,152,45.4
48,Patrice Bergeron\bergepa01,31,BOS,C,79,1346,833,61.8,9.7,1025,627,62,9.6,7.8,89.5,97.3,54.7,45.3,19:20,14:11,65,23,22.3,480,62.9
49,Patrik Berglund\berglpa01,28,STL,C,82,983,938,51.2,1.8,736,704,51.1,1.2,8,90.7,98.6,41.5,58.5,15:59,13:19,43,23,1,275,55.6
50,Christoph Bertschy\bertsch02,22,MIN,C,5,25,35,41.7,-10.8,17,25,40.5,-10.3,6.7,95,101.7,69.6,30.4,8:08,8:08,0,0,-0.1,5,100
51,Tyler Bertuzzi\bertuty01,21,DET,LW,7,38,54,41.3,-6,28,45,38.4,-9.3,5,93.1,98.1,55.6,44.4,9:06,9:03,1,3,-0.7,8,37.5
52,Bryan Bickell\bickebr01,30,CAR,LW,11,80,98,44.9,-6.5,59,76,43.7,-6.1,8.1,90.7,98.8,42.2,57.8,10:26,9:05,3,2,-1.7,20,40
53,Alex Biega\biegaal01,28,VAN,D,36,385,408,48.5,2.2,278,318,46.6,1.6,5.9,93.3,99.3,52.5,47.5,13:10,12:18,5,7,-5.1,79,46.8
54,Kevin Bieksa\biekske01,35,ANA,D,81,1080,1310,45.2,-6.2,824,963,46.1,-5.4,8.8,92.4,101.2,49.6,50.4,18:45,16:04,13,54,-12,197,47.7
55,Anthony Bitetto\bitetan01,26,NSH,D,29,285,352,44.7,-6.8,210,267,44,-6.8,9.7,91.8,101.5,57.6,42.4,11:48,11:20,1,8,-3.6,45,37.8
56,Oliver Bjorkstrand\bjorkol01,21,CBJ,RW,26,303,247,55.1,5.6,224,182,55.2,5.3,9.3,91.2,100.5,58.8,41.2,14:05,12:23,8,8,3.1,90,61.1
57,Nick Bjugstad\bjugsni01,24,FLA,C,54,539,627,46.2,-5.7,419,506,45.3,-6.3,5,91.7,96.7,55.5,44.5,13:09,11:43,21,17,-9.6,154,59.1
58,Joseph Blandisi\blandjo01,22,NJD,LW,27,275,286,49,0.4,207,229,47.5,-1.2,5.1,90.5,95.7,45.6,54.4,13:22,11:40,7,4,-0.3,50,48
59,Anton Blidh\blidhan01,21,BOS,LW,19,165,125,56.9,-1.2,125,90,58.1,-0.3,3.4,91.8,95.3,59.6,40.4,8:47,8:19,4,4,5,47,55.3
60,Mike Blunden\blundmi01,30,OTT,RW,2,10,21,32.3,-18.7,8,15,34.8,-14.4,0,100,100,40,60,8:07,8:07,0,0,-0.7,1,100
61,Mikkel Boedker\boedkmi01,27,SJS,LW,81,941,936,50.1,-1.4,692,668,50.9,-1.7,8.4,91.6,100,54.2,45.8,14:16,11:54,31,37,4.3,222,54.5
62,Brock Boeser\boesebr01,19,VAN,RW,9,119,105,53.1,4.4,90,83,52,5.1,8.7,90.3,99,62.4,37.6,16:13,14:27,1,4,0.7,38,65.8
63,Zach Bogosian\bogosza01,26,BUF,D,56,923,966,48.9,3,715,730,49.5,3.3,6.3,90.7,97.1,47.8,52.2,20:05,18:14,11,31,-4.7,135,54.1
64,Jared Boll\bollja01,30,ANA,RW,51,182,281,39.3,-12.4,146,216,40.3,-11.5,6.4,94.5,100.9,56,44,5:49,5:46,2,5,-7,26,50
65,Nick Bonino\boninni01,28,PIT,C,80,873,1009,46.4,-4.9,656,714,47.9,-4.2,7.1,92.3,99.4,43.2,56.8,16:39,12:37,41,24,-3.6,226,62.8
66,Mark Borowiecki\borowma01,27,OTT,D,70,830,882,48.5,0.2,590,630,48.4,-0.9,5.3,93.9,99.3,49.4,50.6,14:01,13:16,6,18,0.9,115,43.5
67,Robert Bortuzzo\borturo01,27,STL,D,38,437,421,50.9,1.4,333,285,53.9,4.1,10.2,93.2,103.4,51,49,14:05,13:11,4,13,6.2,87,51.7
68,Reid Boucher\bouchre01,23,TOT,C/LW,39,350,382,47.8,-2.3,265,310,46.1,-2.5,6.2,92,98.2,50.4,49.6,11:44,10:11,18,8,-4.2,113,61.9
69,Lance Bouma\boumala01,26,CGY,C,61,433,510,45.9,-5.8,314,343,47.8,-3.4,8,91.4,99.4,32.4,67.6,11:21,9:36,17,9,-3.1,94,56.4
70,Michael Bournival\bournmi01,24,TBL,LW,19,173,167,50.9,0.1,135,123,52.3,1.5,3.3,92.9,96.1,30.2,69.8,10:09,10:02,6,3,0.1,46,54.3
71,Gabriel Bourque\bourqga01,26,COL,LW,6,34,53,39.1,-5.6,24,34,41.4,-1.3,5.3,95,100.3,40,60,11:12,0.375,1,0,-1.4,9,44.4
72,Rene Bourque\bourqre01,35,COL,RW,65,708,765,48.1,-0.7,524,580,47.5,-0.5,7.1,89.2,96.3,49.7,50.3,13:57,12:06,24,12,-6.5,194,57.7
73,Jay Bouwmeester\bouwmja01,33,STL,D,81,1288,1404,47.8,-3.2,965,1040,48.1,-3.3,10.4,91.2,101.5,41.3,58.7,22:24,19:17,11,37,-3.8,205,51.7
74,Johnny Boychuk\boychjo01,33,NYI,D,66,1088,1126,49.1,2.4,807,825,49.4,2.1,8.9,93.2,102,51.7,48.3,20:44,16:51,13,45,-1.6,339,45.7
75,Brian Boyle\boylebr01,32,TOT,C,75,752,679,52.6,1.5,586,519,53,3,8.2,92.1,100.4,42.5,57.5,0.541666667,10:45,22,19,2.2,216,60.6
76,Tyler Bozak\bozakty01,30,TOR,C,78,1159,1081,51.7,1.4,866,858,50.2,0.2,9.7,90.7,100.4,52.5,47.5,16:27,13:59,52,48,-0.8,238,60.9
77,Derick Brassard\brassde01,29,OTT,C,81,1244,1064,53.9,7.9,912,766,54.4,8,8.6,91.6,100.2,55.6,44.4,17:23,14:42,37,37,7.2,337,57.9
78,Justin Braun\braunju01,29,SJS,D,81,1170,1344,46.5,-7,854,904,48.6,-5.2,8.1,92.1,100.2,41.3,58.7,19:59,17:44,40,59,-0.7,237,40.1
79,T.J. Brodie\broditj01,26,CGY,D,82,1284,1285,50,-0.8,939,932,50.2,0.2,7.6,90.2,97.8,47.9,52.1,23:35,18:24,57,76,1.2,208,37.5
80,Jonas Brodin\brodijo01,23,MIN,D,68,971,959,50.3,0.4,740,707,51.1,1.2,9,91.6,100.6,47.3,52.7,19:33,16:01,16,29,7.7,186,45.7
81,Kyle Brodziak\brodzky01,32,STL,C,69,461,585,44.1,-7.8,343,424,44.7,-7.1,9.8,91.9,101.6,20.6,79.4,11:12,9:09,33,6,-3.6,92,60.9
82,Jonny Brodzinski\brodzjo01,23,LAK,C,6,80,50,61.5,10.7,63,37,63,12.7,6.7,96.3,103,45.7,54.3,12:17,11:58,2,1,2.2,30,56.7
83,Troy Brouwer\brouwtr01,31,CGY,RW,74,736,922,44.4,-7.6,528,698,43.1,-8.8,7.8,92.2,100,53,47,16:13,12:11,22,30,-8.4,153,56.9
84,Connor Brown\brownco02,23,TOR,RW,82,1069,1067,50,-0.7,777,821,48.6,-1.7,9.2,91.6,100.8,51.8,48.2,16:06,12:52,40,25,-0.7,249,55.8
85,Dustin Brown\browndu01,32,LAK,RW,80,1054,918,53.4,-1.8,786,676,53.8,-1.1,7.7,89.9,97.5,54.2,45.8,16:00,13:13,25,27,8.8,326,53.7
86,J.T. Brown\brownjt01,26,TBL,RW,64,499,544,47.8,-4.6,370,406,47.7,-3.8,4.2,93.4,97.7,33.7,66.3,10:22,9:16,8,11,-3.2,116,57.8
87,Patrick Brown\brownpa02,24,CAR,C,14,97,122,44.3,-5.2,66,84,44,-4.8,2.3,87,89.4,44.1,55.9,9:43,9:36,2,3,-2.9,22,54.5
88,Pavel Buchnevich\buchnpa01,21,NYR,RW,41,427,426,50.1,2.2,339,326,51,2.7,11.2,92.1,103.4,53.4,46.6,13:15,11:16,11,22,-0.4,110,50
89,Andre Burakovsky\burakan01,21,WSH,LW,64,804,653,55.2,5.5,556,512,52.1,1.9,8.9,93.8,102.8,57.6,42.4,13:16,11:48,33,33,1.1,222,50
90,Erik Burgdoerfer\burgder01,28,BUF,D,2,21,21,50,5,19,14,57.6,10.8,0,88.9,88.9,62.5,37.5,11:10,11:10,0,1,0.6,3,66.7
91,Alexander Burmistrov\burmial01,25,TOT,C,49,420,555,43.1,-4.2,293,423,40.9,-5.7,7.3,92.3,99.6,44.1,55.9,13:21,11:20,12,14,-12.1,89,50.6
92,Brent Burns\burnsbr01,31,SJS,D,82,1836,1550,54.2,5.2,1343,1112,54.7,4.5,9.6,91.6,101.2,58.5,41.5,24:56:00,19:33,52,153,12.8,609,52.7
93,Alexandre Burrows\burroal01,35,TOT,LW/RW,75,834,899,48.1,-2,618,674,47.8,-1.3,9.2,91.7,100.9,51.1,48.9,14:38,12:45,35,19,-3.3,237,60.3
94,Chris Butler\butlech01,30,STL,D,1,13,24,35.1,-8.3,8,20,28.6,-17.9,20,92.9,112.9,38.5,61.5,21:28,19:36,0,1,-0.6,3,33.3
95,Dustin Byfuglien\byfugdu01,31,WPG,D,80,1594,1506,51.4,3.3,1222,1138,51.8,3.6,9.9,90.5,100.4,49.1,50.9,27:27:00,21:44,65,85,8.6,452,53.3
96,Paul Byron\byronpa01,27,MTL,LW,81,1004,858,53.9,1.8,701,623,52.9,0.8,10,93,103,49.8,50.2,15:04,12:32,40,22,8.9,158,60.8
97,Drake Caggiula\caggidr01,22,EDM,LW,60,555,610,47.6,-2.6,421,431,49.4,-1.8,7.2,93.3,100.5,48.4,51.6,13:14,10:49,22,25,-0.5,172,54.1
98,Mitch Callahan\callami01,25,DET,RW,4,18,16,52.9,-1.6,13,11,54.2,-0.4,0,100,100,31.6,68.4,6:49,6:46,1,0,0.3,6,33.3
99,Ryan Callahan\callary01,31,TBL,RW,18,186,220,45.8,-4.5,143,169,45.8,-4.6,4.8,91.9,96.6,43.8,56.2,14:09,11:55,7,10,-4.7,42,52.4
100,Matt Calvert\calvema01,27,CBJ,LW,65,608,733,45.3,-5.6,457,558,45,-6.1,7.6,91.3,98.8,44,56,13:21,11:30,23,15,-6.7,154,59.7
101,Mike Cammalleri\cammami01,34,NJD,LW,61,742,799,48.2,1.5,549,612,47.3,-0.1,8.7,91.4,100.1,48.8,51.2,17:21,14:46,24,32,-6.7,244,58.2
102,Brian Campbell\campbbr02,37,CHI,D,80,1187,1239,48.9,-2.1,862,935,48,-3.1,9.3,93.6,102.9,53.6,46.4,18:26,16:38,11,59,2.6,171,43.9
103,Patrick Cannone\cannopa01,30,MIN,C,3,14,27,34.1,-12.8,12,17,41.4,-8.9,10,91.7,101.7,75,25,7:53,6:50,1,2,-0.2,3,66.7
104,Paul Carey\careypa01,28,WSH,C,6,53,54,49.5,-3.8,39,36,52,-0.7,0,91.7,91.7,31.8,68.2,10:29,9:55,5,4,-1,15,53.3
105,Matt Carle\carlema01,32,NSH,D,6,60,61,49.6,2.3,44,44,50,3.9,9.1,87.1,96.2,52.2,47.8,13:09,12:28,0,4,0.2,4,50
106,Brandon Carlo\carlobr01,20,BOS,D,82,1436,1328,52,-4.5,1096,996,52.4,-4.6,8.8,90.7,99.4,43.7,56.3,20:43,17:51,21,42,3.6,179,49.2
107,John Carlson\carlsjo01,27,WSH,D,72,1154,1215,48.7,-4.8,850,917,48.1,-5,9.6,92,101.6,49.5,50.5,22:42,17:06,51,88,-2.7,361,49.9
108,Gabriel Carlsson\carlsga01,20,CBJ,D,2,33,28,54.1,11.7,28,18,60.9,22.2,10,69.2,79.2,55,45,17:08,16:46,0,0,0.4,6,50
109,Ryan Carpenter\carpery01,26,SJS,C,11,107,88,54.9,5.8,83,66,55.7,6.9,10,98,108,50.9,49.1,10:23,9:35,1,3,0.8,23,87
110,Daniel Carr\carrda01,25,MTL,LW,33,281,269,51.1,-4.9,223,190,54,-0.8,8.3,93.6,101.9,42,58,10:15,0.416666667,7,6,0.7,73,60.3
111,Connor Carrick\carrico01,22,TOR,D,67,1100,957,53.5,2.9,799,739,52,2,8.9,91.9,100.8,58.8,41.2,16:21,15:32,14,46,5.1,215,41.4
112,Alexandre Carrier\carrial01,20,NSH,D,2,15,16,48.4,3.5,12,11,52.2,6.6,14.3,100,114.3,42.9,57.1,10:24,10:23,0,0,0.2,1,100
113,William Carrier\carriwi01,22,BUF,LW,41,334,322,50.9,3.5,257,252,50.5,3.3,5.8,93.9,99.7,51.5,48.5,9:00,8:56,8,10,0.9,72,69.4
114,Jeff Carter\carteje01,32,LAK,C,82,1207,1010,54.4,-0.4,892,756,54.1,-0.5,8.8,89.7,98.4,56.9,43.1,18:02,13:38,24,46,3.2,468,53.4
115,Cody Ceci\cecico01,23,OTT,D,79,1285,1568,45,-5,925,1123,45.2,-5.4,7.5,91.7,99.2,45.7,54.3,23:12,19:12,22,74,-8.9,287,49.8
116,Peter Cehlarik\cehlape01,21,BOS,LW,11,132,123,51.8,-0.5,105,89,54.1,0.3,9,89.5,98.4,61.1,38.9,13:55,12:01,8,10,0.8,15,53.3
117,Thomas Chabot\chaboth01,20,OTT,D,1,9,12,42.9,-5.5,8,10,44.4,-10,0,75,75,50,50,7:09,7:05,0,1,0,2,50
118,Michael Chaput\chapumi01,24,VAN,C,68,605,677,47.2,-0.9,446,511,46.6,-0.1,4.8,92.5,97.2,45.2,54.8,11:01,10:27,13,14,-7.6,113,56.6
119,Zdeno Chara\charazd01,39,BOS,D,75,1413,1282,52.4,-3.9,1070,956,52.8,-4.2,9.7,90.7,100.4,41.1,58.9,23:13,18:49,35,62,10.5,278,48.6
120,Ben Chiarot\chiarbe01,25,WPG,D,59,628,757,45.3,-5.3,460,560,45.1,-5.8,9.6,92.4,101.9,47.8,52.2,15:19,13:14,13,46,-4.5,102,48
121,Alex Chiasson\chiasal01,26,CGY,RW,81,850,785,52,2.1,627,578,52,2.8,7.2,90.5,97.7,57.2,42.8,13:23,11:43,32,22,2.3,165,63
122,Jason Chimera\chimeja01,37,NYI,LW,82,865,1058,45,-3.4,651,778,45.6,-3,9.4,91.6,100.9,47.5,52.5,13:03,11:43,20,26,-8,179,67
123,Taylor Chorney\chornta01,29,WSH,D,18,209,246,45.9,-3,162,181,47.2,-1.6,11.7,96.3,108,55.4,44.6,14:16,13:33,3,7,-1.3,34,55.9
124,Jakob Chychrun\chychja01,18,ARI,D,68,888,1059,45.6,0.3,667,822,44.8,0,7.5,91.4,98.9,47.5,52.5,16:40,15:00,12,45,-10.7,197,43.7
125,Casey Cizikas\cizikca01,25,NYI,C,59,611,675,47.5,-0.6,457,473,49.1,0.9,9,92.8,101.8,32.6,67.4,13:54,11:38,36,24,3.1,127,64.6
126,Fredrik Claesson\claesfr01,24,OTT,D,33,412,361,53.3,5.3,295,267,52.5,4.2,6.4,94.1,100.5,57,43,13:08,12:30,4,15,5.2,72,34.7
127,Adam Clendening\clendad01,24,NYR,D,31,451,344,56.7,9.4,325,258,55.7,7.5,9.2,91.1,100.3,68.3,31.7,15:49,14:06,7,20,1.5,89,43.8
128,Kyle Clifford\cliffky01,26,LAK,LW,73,748,567,56.9,2.9,548,408,57.3,3.9,4.2,93.8,98,59,41,10:43,10:37,17,7,2.6,199,61.3
129,Cal Clutterbuck\cluttca01,29,NYI,RW,66,654,730,47.3,0.2,479,538,47.1,-0.5,8.9,91.9,100.8,37.7,62.3,14:00,11:31,30,16,2.7,199,57.8
130,Braydon Coburn\coburbr01,31,TBL,D,80,1050,1024,50.6,-1.1,782,791,49.7,-1.6,7.2,92.5,99.7,39.1,60.9,16:44,14:39,6,35,-1,220,46.4
131,Andrew Cogliano\coglian01,29,ANA,LW,82,1129,965,53.9,6,859,722,54.3,6.1,7.1,92.8,99.8,44.4,55.6,15:08,13:16,19,26,9.3,293,61.1
132,Joe Colborne\colbojo01,27,COL,C,62,470,519,47.5,-2.2,339,393,46.3,-2.9,4.9,89.7,94.6,52.1,47.9,10:42,9:20,10,18,-7.8,76,63.2
133,Ian Cole\coleia01,27,PIT,D,81,1321,1358,49.3,-0.8,993,946,51.2,0.4,10.6,92.4,103,49.8,50.2,19:49,17:19,32,50,4.9,220,40.5
134,Blake Coleman\colembl01,25,NJD,C,23,181,232,43.8,-7.4,146,175,45.5,-4.2,2.9,92.4,95.3,39.7,60.3,12:51,11:44,12,12,-4.2,46,63
135,Blake Comeau\comeabl01,30,COL,LW,77,866,839,50.8,2.7,617,647,48.8,1.2,6.9,89.2,96.1,45.6,54.4,14:58,12:22,35,18,-11.5,197,52.3
136,J.T. Compher\comphj.01,21,COL,LW,21,206,228,47.5,-5,142,166,46.1,-3.9,6.9,93.5,100.4,38.6,61.4,14:56,0.5,6,8,0.2,59,50.8
137,Cory Conacher\conacco01,27,TBL,LW,11,82,92,47.1,-3.7,67,76,46.9,-5.9,5.9,94.3,100.2,59,41,11:34,9:43,6,8,0.7,26,61.5
138,Erik Condra\condrer01,30,TBL,RW,13,109,122,47.2,-6,78,96,44.8,-8.2,3.7,90.9,94.6,46.8,53.2,9:38,9:23,3,2,-0.8,15,53.3
139,Kevin Connauton\connake01,26,ARI,D,24,258,312,45.3,1.5,193,233,45.3,1.4,7.6,93.3,100.8,42.6,57.4,13:08,12:05,4,5,-3.1,51,41.2
140,Brett Connolly\connobr01,24,WSH,RW,66,673,574,54,3.5,486,426,53.3,2.9,9.8,95,104.8,59.5,40.5,10:41,10:13,16,13,5.8,131,61.8
141,Kyle Connor\connoky01,20,WPG,LW,20,165,203,44.8,-4.3,131,148,47,-2,6.5,88.3,94.7,50.9,49.1,12:13,10:49,11,5,-3.3,41,58.5
142,Andrew Copp\coppan01,22,WPG,C,64,580,617,48.5,-1,431,436,49.7,-0.2,8.2,93.8,101.9,45.5,54.5,12:21,10:40,20,16,4.6,126,61.1
143,Frank Corrado\corrafr01,23,TOT,D,4,43,45,48.9,-0.4,27,42,39.1,-9.3,5.9,93.5,99.4,73.1,26.9,10:46,10:10,0,2,-1.9,11,27.3
144,Nick Cousins\cousini01,23,PHI,C,60,666,605,52.4,1.8,474,432,52.3,1.3,5.4,92.6,97.9,52.7,47.3,12:00,10:48,15,14,2.3,163,60.1
145,Logan Couture\coutulo01,27,SJS,C,73,983,996,49.7,-2.2,721,690,51.1,-1.4,9.9,92.8,102.7,52.6,47.4,17:38,13:34,38,76,3.9,330,52.7
146,Sean Couturier\coutuse01,24,PHI,C,66,1013,846,54.5,4,745,608,55.1,4.2,9.3,91.2,100.5,42.8,57.2,18:27,14:48,46,33,7.9,194,61.3
147,Charlie Coyle\coylech01,24,MIN,C,82,1085,1075,50.2,1.1,809,776,51,1.5,10.1,90.8,101,50.1,49.9,16:42,14:05,30,34,10.2,265,60
148,Adam Cracknell\crackad01,31,DAL,RW,69,680,646,51.3,2,497,453,52.3,2.5,8,93.6,101.5,49.7,50.3,10:28,9:51,19,16,-1.3,170,51.2
149,Joseph Cramarossa\cramajo01,24,TOT,LW,59,355,529,40.2,-9.5,272,393,40.9,-8.5,6.9,94.4,101.3,54.5,45.5,9:57,9:07,8,15,-7.1,63,57.1
