Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
806,Chris Tierney\tiernch01,20,SJS,C,43,456,506,47.4,-4.5,335,374,47.2,-5.0,9.5,92.5,101.9,49.6,50.4,12:15,11:17,19,20,0.9,89,53.9
807,Kimmo Timonen\timonki01,39,CHI,D,16,155,187,45.3,-9.3,111,147,43.0,-10.6,2.2,95.8,98.0,65.5,34.5,11:59,11:20,0,6,-1.8,17,58.8
808,Jarred Tinordi\tinorja01,22,MTL,D,13,140,142,49.6,-1.1,99,98,50.3,0.2,2.8,91.1,94.0,41.5,58.5,12:04,11:41,1,4,-0.3,16,31.3
809,Jiri Tlusty\tlustji01,26,TOT,LW,72,970,815,54.3,3.5,686,601,53.3,2.4,6.7,89.2,95.9,55.0,45.0,16:01,13:14,30,21,-4.6,231,53.7
810,Jonathan Toews\toewsjo01,26,CHI,C,81,1335,1017,56.8,4.0,955,778,55.1,3.1,9.3,94.2,103.5,57.4,42.6,19:33,14:47,45,34,14.6,304,63.2
811,Tyler Toffoli\toffoty01,22,LAK,C,76,1006,770,56.6,2.9,749,603,55.4,2.5,10.0,92.0,101.9,54.5,45.5,14:35,12:07,37,32,11.4,345,58.0
812,Jordin Tootoo\tootojo01,31,NJD,RW,68,472,585,44.7,-2.2,361,462,43.9,-2.6,7.6,94.0,101.6,45.2,54.8,10:27,9:33,17,30,-1.9,118,63.6
813,Vincent Trocheck\trochvi01,21,FLA,C,50,628,553,53.2,1.9,482,422,53.3,1.9,9.7,92.3,102.0,55.6,44.4,14:00,12:55,21,8,5.4,147,60.5
814,Corey Tropp\troppco01,25,CBJ,RW,61,333,534,38.4,-10.9,245,388,38.7,-9.8,6.0,92.0,98.0,47.4,52.6,8:45,8:41,12,10,-8.8,46,47.8
815,Zach Trotman\trotmza01,24,BOS,D,27,399,342,53.8,3.7,287,255,53.0,4.4,6.9,91.2,98.1,58.7,41.3,16:24,14:56,2,6,4.1,109,42.2
816,Jacob Trouba\troubja01,20,WPG,D,65,1200,1028,53.9,1.2,838,757,52.5,0.1,6.9,92.1,99.0,51.1,48.9,23:18,17:52,28,76,0.0,320,41.6
817,Kyle Turris\turriky01,25,OTT,C,82,1263,1216,50.9,1.1,919,950,49.2,0.8,9.9,92.0,101.9,50.6,49.4,19:13,15:25,48,46,-3.6,420,51.2
818,Dana Tyrell\tyrelda01,25,CBJ,C,3,13,32,28.9,-29.4,7,25,21.9,-34.2,0.0,94.7,94.7,64.3,35.7,6:56,6:56,0,0,-1.9,1,100.0
819,Fedor Tyutin\tyutife01,31,CBJ,D,67,868,1024,45.9,-3.9,654,778,45.7,-3.3,9.1,93.0,102.1,48.3,51.7,19:55,16:38,10,23,-10.9,131,42.7
820,Dominik Uher\uherdo01,22,PIT,C,2,7,10,41.2,-14.1,4,6,40.0,-12.1,0.0,75.0,75.0,33.3,66.7,6:28,6:14,0,0,-0.5,0,
821,R.J. Umberger\umberrj01,32,PHI,LW,67,646,747,46.4,-4.7,463,560,45.3,-5.8,6.5,93.1,99.6,47.0,53.0,13:49,11:31,9,11,-11.0,177,54.2
822,Scottie Upshall\upshasc01,31,FLA,LW,63,597,581,50.7,-0.4,459,439,51.1,0.3,4.9,92.0,96.9,49.4,50.6,12:41,10:56,19,7,4.6,163,57.1
823,David Van Der Gulik\vandeda01,31,LAK,LW,1,5,3,62.5,1.0,4,3,57.1,-1.9,0.0,100.0,100.0,0.0,100.0,5:15,5:15,0,1,-0.2,1,100.0
824,James van Riemsdyk\vanrija01,25,TOR,LW,82,1140,1397,44.9,-2.2,851,1073,44.2,-2.8,7.2,90.6,97.8,51.0,49.0,19:05,14:54,46,27,-22.3,401,61.6
825,Trevor van Riemsdyk\vanritr01,23,CHI,D,18,253,171,59.7,2.7,180,134,57.3,0.8,4.2,93.8,98.0,64.0,36.0,13:32,13:12,9,4,3.6,42,52.4
826,Chris VandeVelde\vandech01,27,PHI,C,72,585,676,46.4,-4.0,427,478,47.2,-2.4,7.3,91.3,98.6,50.8,49.2,11:44,9:57,13,5,-2.1,121,57.9
827,Thomas Vanek\vanekth01,31,MIN,LW,80,931,993,48.4,-3.6,686,723,48.7,-4.6,8.7,90.7,99.4,61.4,38.6,16:12,13:05,28,52,4.7,292,58.9
828,Phil Varone\varonph01,24,BUF,C,28,248,419,37.2,-2.6,193,305,38.8,-2.9,5.6,90.9,96.4,44.4,55.6,13:27,12:41,8,14,-4.4,45,62.2
829,Sami Vatanen\vatansa01,23,ANA,D,67,1057,984,51.8,1.1,820,729,52.9,2.2,9.6,90.6,100.2,53.9,46.1,21:28,16:23,27,48,12.1,242,50.4
830,Stephane Veilleux\veillst01,33,MIN,LW,12,64,61,51.2,-2.6,45,38,54.2,-0.5,6.1,87.5,93.6,31.9,68.1,7:42,6:24,2,0,0.3,12,75.0
