Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
295,Niklas Hagman\hagmani01,31,CGY,LW,71,813,743,52.2,0.1,599,548,52.2,-0.6,7.3,92.0,99.3,51.0,49.0,13:38,11:50,12,25,255,54.9
296,Ron Hainsey\hainsro01,29,ATL,D,82,1121,1248,47.3,-4.6,862,866,49.9,-3.0,8.2,92.3,100.5,48.0,52.0,17:54,15:40,29,47,183,45.4
297,David Hale\haleda01,29,OTT,D,25,318,329,49.1,0.1,239,259,48.0,-1.4,10.3,94.2,104.5,52.9,47.1,16:19,14:58,8,10,35,57.1
298,Micheal Haley\haleymi01,24,NYI,C,27,134,222,37.6,-12.8,104,148,41.3,-10.2,9.0,90.5,99.4,45.8,54.2,8:02,7:41,7,4,24,54.2
299,Matt Halischuk\halisma01,22,NSH,RW,27,193,253,43.3,-4.5,146,191,43.3,-5.0,12.5,93.8,106.3,58.5,41.5,10:08,9:52,16,4,55,52.7
300,Adam Hall\hallad01,30,TBL,RW,82,795,837,48.7,-5.6,635,576,52.4,-2.2,5.5,90.2,95.7,40.6,59.4,14:51,11:51,22,18,248,67.3
301,Taylor Hall\hallta02,19,EDM,LW,65,960,996,49.1,5.4,674,753,47.2,4.6,9.6,90.0,99.6,52.4,47.6,18:13,15:24,45,45,363,51.2
302,Jeff Halpern\halpeje01,34,MTL,C,72,628,714,46.8,-6.1,458,503,47.7,-6.2,10.1,92.9,103.0,43.1,56.9,12:44,10:16,15,18,111,55.9
303,Dan Hamhuis\hamhuda01,28,VAN,D,64,1178,990,54.3,1.7,888,753,54.1,2.6,9.8,93.1,102.9,50.0,50.0,22:41,17:53,43,33,234,46.6
304,Zach Hamill\hamilza01,22,BOS,C,3,15,21,41.7,-14.6,9,12,42.9,-10.0,12.5,100.0,112.5,46.2,53.8,10:28,10:24,1,2,4,25.0
305,Travis Hamonic\hamontr01,20,NYI,D,62,988,1051,48.5,2.7,728,759,49.0,2.7,9.2,90.6,99.7,46.5,53.5,21:14,17:09,42,48,253,45.5
306,Roman Hamrlik\hamrlro01,36,MTL,D,79,1431,1412,50.3,-1.5,1083,1011,51.7,-0.5,6.7,93.5,100.2,51.1,48.9,22:17,17:46,31,53,276,46.7
307,Michal Handzus\handzmi01,33,LAK,C,82,833,947,46.8,-8.1,603,721,45.5,-8.5,7.7,92.4,100.1,43.6,56.4,17:21,12:13,24,39,175,53.7
308,Scott Hannan\hannasc01,32,TOT,D,78,1221,1209,50.2,1.0,908,877,50.9,2.4,7.3,92.3,99.6,48.2,51.8,19:47,16:56,19,41,109,51.4
309,Jannik Hansen\hanseja01,24,VAN,LW,82,914,913,50.0,-4.3,686,673,50.5,-2.9,8.1,94.2,102.3,33.8,66.2,14:43,12:07,42,16,185,61.1
310,Christian Hanson\hansoch01,24,TOR,RW,6,35,34,50.7,-14.4,24,24,50.0,-13.3,0.0,100.0,100.0,65.4,34.6,8:26,7:43,2,1,11,18.2
311,Martin Hanzal\hanzama01,23,PHX,C,61,876,786,52.7,2.1,675,625,51.9,2.1,7.2,93.6,100.9,46.7,53.3,19:30,14:23,28,23,265,56.2
312,Johan Harju\harjujo01,24,TBL,LW,10,65,60,52.0,-1.8,49,40,55.1,0.9,12.5,73.1,85.6,58.5,41.5,8:28,7:08,0,1,22,63.6
313,Jay Harrison\harrija01,28,CAR,D,72,891,915,49.3,-0.5,638,689,48.1,-0.3,8.9,92.1,101.0,42.2,57.8,15:04,12:49,16,32,137,35.8
314,Peter Harrold\harrope01,27,LAK,D,19,226,164,57.9,4.1,168,119,58.5,6.3,7.8,93.5,101.4,52.5,47.5,12:15,11:33,5,6,30,40.0
315,Teemu Hartikainen\hartite01,20,EDM,LW,12,156,146,51.7,-1.7,107,108,49.8,-3.4,3.9,92.2,96.2,54.3,45.7,17:25,14:49,4,5,36,58.3
316,Scott Hartnell\hartnsc01,28,PHI,RW,82,1105,1132,49.4,-2.5,821,816,50.2,-2.3,10.7,91.2,101.8,53.2,46.8,16:36,13:43,31,33,290,60.7
317,Martin Havlat\havlama01,29,MIN,LW,78,1127,1164,49.2,5.3,854,901,48.7,5.3,9.9,89.7,99.6,51.4,48.6,18:21,15:21,43,47,369,62.1
318,Dany Heatley\heatlda01,30,SJS,RW,80,1234,1140,52.0,-2.3,903,855,51.4,-3.4,9.1,92.0,101.2,51.3,48.7,19:39,15:24,29,68,404,53.7
319,Jochen Hecht\hechtjo01,33,BUF,C,67,984,798,55.2,5.7,750,592,55.9,6.4,8.4,90.5,98.9,58.4,41.6,17:05,13:39,33,26,277,62.1
320,Victor Hedman\hedmavi01,20,TBL,D,79,1358,1167,53.8,2.7,1025,842,54.9,2.1,8.7,89.9,98.6,49.1,50.9,21:01,17:20,48,64,243,41.6
