15Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Justin Abdelkader\abdelju01,27,DET,LW,71,23,21,44,3,72,5.6,15,8,0,5,15,6,0,154,14.9,1272,17:55,28,153,7,8,46.7
2,Will Acton\actonwi01,27,EDM,C,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,2,0.0,32,10:43,3,3,4,4,50.0
3,Luke Adam\adamlu01,24,CBJ,C,3,0,0,0,0,4,0.0,0,0,0,0,0,0,0,0,,19,6:27,0,2,0,0,
4,Craig Adams\adamscr01,37,PIT,RW,70,1,6,7,-1,44,-0.3,1,0,0,1,5,0,1,51,2.0,682,9:45,29,183,17,23,42.5
5,Andrew Agozzino\agozzan01,24,COL,LW,1,0,1,1,1,0,0.1,0,0,0,0,1,0,0,1,0.0,10,9:45,0,1,0,2,0.0
6,Jason Akeson\akesoja01,24,PHI,RW,13,0,0,0,-1,8,-0.2,0,0,0,0,0,0,0,9,0.0,105,8:03,4,11,1,1,50.0
7,Bryan Allen\allenbr01,34,TOT,D,11,0,2,2,-2,6,0.2,0,0,0,0,2,0,0,6,0.0,173,15:43,15,20,0,0,
7,Bryan Allen\allenbr01,34,ANA,D,6,0,1,1,0,4,0.2,0,0,0,0,1,0,0,4,0.0,109,18:13,10,11,0,0,
7,Bryan Allen\allenbr01,34,MTL,D,5,0,1,1,-2,2,0.0,0,0,0,0,1,0,0,2,0.0,64,12:44,5,9,0,0,
8,Conor Allen\allenco01,25,NYR,D,4,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,49,12:12,0,6,0,0,
9,Mark Alt\altma01,23,PHI,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:25,0,1,0,0,
10,Karl Alzner\alzneka01,26,WSH,D,82,5,16,21,14,20,5.4,5,0,0,0,16,0,0,72,6.9,1593,19:26,165,120,0,0,
11,Josh Anderson\anderjo05,20,CBJ,RW,6,0,1,1,-1,2,-0.1,0,0,0,0,1,0,0,10,0.0,81,13:27,2,24,0,0,
12,Joakim Andersson\anderjo03,25,DET,C,68,3,5,8,-4,22,-0.3,3,0,0,1,5,0,0,74,4.1,791,11:38,24,27,192,183,51.2
13,Andy Andreoff\andrean01,23,LAK,C,18,2,1,3,1,18,0.4,2,0,0,1,1,0,0,14,14.3,154,8:34,0,33,32,29,52.5
14,Sven Andrighetto\andrisv01,21,MTL,RW,12,2,1,3,0,0,0.4,2,0,0,0,1,0,0,12,16.7,113,9:25,4,5,3,12,20.0
15,Mike Angelidis\angelmi01,29,TBL,LW,3,0,0,0,0,12,0.0,0,0,0,0,0,0,0,0,,22,7:21,0,5,7,12,36.8
16,Artem Anisimov\anisiar01,26,CBJ,C,52,7,20,27,-6,8,2.0,7,0,0,2,13,4,3,88,8.0,852,16:23,26,33,102,127,44.5
17,Mark Arcobello\arcobma01,26,TOT,C,77,17,14,31,-10,20,3.3,16,1,0,2,10,3,1,129,13.2,1140,14:48,27,111,471,468,50.2
17,Mark Arcobello\arcobma01,26,EDM,C,36,7,5,12,-7,12,1.0,7,0,0,0,3,1,1,54,13.0,554,15:23,13,54,252,274,47.9
17,Mark Arcobello\arcobma01,26,ARI,C,27,9,7,16,-4,6,2.0,8,1,0,2,5,2,0,59,15.3,423,15:41,13,34,215,188,53.3
17,Mark Arcobello\arcobma01,26,PIT,C,10,0,2,2,1,2,0.1,0,0,0,0,2,0,0,13,0.0,121,12:05,1,20,2,5,28.6
17,Mark Arcobello\arcobma01,26,NSH,C,4,1,0,1,0,0,0.2,1,0,0,0,0,0,0,3,33.3,42,10:35,0,3,2,1,66.7
18,Joel Armia\armiajo01,21,BUF,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,15,14:47,0,4,0,0,
19,Viktor Arvidsson\arvidvi01,21,NSH,LW,6,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,9,0.0,62,10:15,5,3,0,0,
20,Carter Ashton\ashtoca01,23,TOR,RW,7,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,44,6:13,3,6,1,4,20.0
21,Cam Atkinson\atkinca01,25,CBJ,RW,78,22,18,40,-2,22,4.5,14,7,1,7,15,3,0,212,10.4,1325,16:59,39,55,4,5,44.4
22,Keith Aulie\aulieke01,25,EDM,D,31,0,1,1,-3,66,0.3,0,0,0,0,1,0,0,25,0.0,443,14:18,37,59,0,0,
23,David Backes\backeda01,30,STL,C,80,26,32,58,7,104,7.2,16,10,0,3,26,6,0,183,14.2,1491,18:38,87,227,615,507,54.8
24,Mikael Backlund\backlmi01,25,CGY,C,52,10,17,27,4,14,2.7,8,0,2,2,16,1,0,103,9.7,923,17:45,33,41,432,456,48.6
25,Nicklas Backstrom\backsni02,27,WSH,C,82,18,60,78,5,40,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32,52,91,862,747,53.6
26,Sven Baertschi\baertsv01,22,TOT,LW,18,2,4,6,-3,10,0.5,2,0,0,0,4,0,0,15,13.3,174,9:41,7,8,0,0,
26,Sven Baertschi\baertsv01,22,CGY,LW,15,0,4,4,-3,6,0.1,0,0,0,0,4,0,0,11,0.0,138,9:13,5,8,0,0,
26,Sven Baertschi\baertsv01,22,VAN,LW,3,2,0,2,0,4,0.4,2,0,0,0,0,0,0,4,50.0,36,12:02,2,0,0,0,
27,Casey Bailey\baileca01,23,TOR,C,6,1,0,1,1,2,0.2,1,0,0,0,0,0,0,9,11.1,54,9:02,4,3,0,0,
28,Josh Bailey\bailejo01,25,NYI,LW,70,15,26,41,3,12,4.3,13,2,0,1,24,2,0,140,10.7,1175,16:47,36,66,30,36,45.5
29,Keith Ballard\ballake01,32,MIN,D,14,0,1,1,-3,26,0.0,0,0,0,0,1,0,0,5,0.0,169,12:03,20,15,0,0,
30,Mark Barberio\barbema01,24,TBL,D,52,1,6,7,-4,16,0.9,1,0,0,0,6,0,0,53,1.9,873,16:47,46,35,0,0,
31,Aleksander Barkov\barkoal01,19,FLA,C,71,16,20,36,-4,16,3.6,13,3,0,3,16,4,0,123,13.0,1242,17:30,35,35,462,540,46.1
32,Tyson Barrie\barrity01,23,COL,D,80,12,41,53,5,26,9.4,10,2,0,0,27,14,0,139,8.6,1709,21:22,90,80,0,0,
33,Matt Bartkowski\bartkma01,26,BOS,D,47,0,4,4,-6,37,0.7,0,0,0,0,4,0,0,67,0.0,796,16:56,24,88,0,0,
34,Victor Bartley\bartlvi01,26,NSH,D,37,0,10,10,1,26,1.6,0,0,0,0,10,0,0,28,0.0,497,13:26,53,77,0,0,
35,Kyle Baun\baunky01,22,CHI,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,38,12:32,0,12,0,0,
36,Jay Beagle\beaglja01,29,WSH,RW,62,10,10,20,6,20,2.2,10,0,0,2,9,0,1,84,11.9,794,12:49,33,73,217,167,56.5
37,Francois Beauchemin\beaucfr01,34,ANA,D,64,11,12,23,17,48,6.1,9,2,0,1,10,1,1,110,10.0,1456,22:45,107,105,1,0,100.0
38,Nathan Beaulieu\beaulna01,22,MTL,D,64,1,8,9,6,45,2.6,1,0,0,0,6,2,0,62,1.6,1005,15:42,69,50,0,0,
39,Taylor Beck\beckta01,23,NSH,LW,62,8,8,16,-4,18,1.2,6,2,0,3,8,0,0,78,10.3,740,11:56,23,61,5,5,50.0
40,Matt Beleskey\belesma01,26,ANA,LW,65,22,10,32,13,41,5.0,18,4,0,8,10,0,0,145,15.2,941,14:29,25,159,8,11,42.1
41,Pierre-Edouard Bellemare\bellepi01,29,PHI,LW,81,6,6,12,-3,18,0.1,6,0,0,1,6,0,0,113,5.3,1039,12:50,61,121,360,395,47.7
42,Brett Bellemore\bellebr01,26,CAR,D,49,2,8,10,1,27,2.9,2,0,0,1,8,0,0,26,7.7,802,16:23,54,148,0,0,
43,Jamie Benn\bennja01,25,DAL,LW,82,35,52,87,1,64,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57,50,120,298,278,51.7
44,Jordie Benn\bennjo01,27,DAL,D,73,2,14,16,-5,34,2.1,2,0,0,0,11,2,1,70,2.9,1319,18:04,121,92,0,1,0.0
45,Beau Bennett\bennebe01,23,PIT,RW,49,4,8,12,-1,16,0.8,4,0,0,1,8,0,0,81,4.9,612,12:29,13,68,0,2,0.0
46,Sam Bennett\bennesa01,18,CGY,C,1,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,1,0.0,16,16:00,0,0,2,10,16.7
47,Andre Benoit\benoian01,31,BUF,D,59,1,8,9,-19,20,1.0,0,0,1,0,7,1,0,45,2.2,1069,18:08,98,38,0,0,
48,Sean Bergenheim\bergese01,30,TOT,LW,56,9,10,19,-2,40,1.8,9,0,0,2,8,2,0,108,8.3,735,13:07,13,72,2,4,33.3
48,Sean Bergenheim\bergese01,30,FLA,LW,39,8,10,18,2,34,2.1,8,0,0,2,8,2,0,84,9.5,552,14:09,7,48,2,3,40.0
48,Sean Bergenheim\bergese01,30,MIN,LW,17,1,0,1,-4,6,-0.3,1,0,0,0,0,0,0,24,4.2,183,10:45,6,24,0,1,0.0
49,Patrice Bergeron\bergepa01,29,BOS,C,81,23,32,55,2,44,6.4,18,4,1,4,21,10,1,234,9.8,1469,18:08,60,57,1175,764,60.6
50,Patrik Berglund\berglpa01,26,STL,C,77,12,15,27,-2,26,2.4,12,0,0,0,14,1,0,145,8.3,1122,14:35,26,93,161,168,48.9
51,Steve Bernier\bernist01,29,NJD,RW,67,16,16,32,2,28,4.2,12,4,0,2,12,4,0,107,15.0,867,12:56,48,126,1,1,50.0
52,Stu Bickel\bickest01,28,MIN,D,9,0,1,1,1,46,0.2,0,0,0,0,1,0,0,3,0.0,49,5:26,9,10,0,0,
53,Bryan Bickell\bickebr01,28,CHI,LW,80,14,14,28,5,38,3.4,13,1,0,3,12,2,0,113,12.4,966,12:05,13,205,0,2,0.0
54,Alex Biega\biegaal01,26,VAN,D,7,1,0,1,-2,0,0.1,1,0,0,1,0,0,0,7,14.3,111,15:48,8,34,0,0,
55,Danny Biega\biegada01,23,CAR,D,10,0,2,2,-5,0,0.1,0,0,0,0,2,0,0,7,0.0,161,16:09,7,27,0,0,
56,Kevin Bieksa\biekske01,33,VAN,D,60,4,10,14,0,77,3.0,4,0,0,1,8,1,1,99,4.0,1250,20:50,93,109,0,0,
57,Anthony Bitetto\bitetan01,24,NSH,D,7,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,2,0.0,82,11:47,3,9,1,0,100.0
58,Nick Bjugstad\bjugsni01,22,FLA,C,72,24,19,43,-7,38,5.3,17,7,0,3,14,5,0,207,11.6,1194,16:35,29,148,486,508,48.9
59,Jesse Blacker\blackje01,23,ANA,D,1,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,0,,6,6:03,1,1,0,0,
60,Jonathon Blum\blumjo02,26,MIN,D,4,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,3,0.0,39,9:52,2,1,0,0,
