11Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Justin Abdelkader\abdelju01,23,DET,LW,74,7,12,19,15,61,1.7,7,0,0,1,11,0,1,129,5.4,910,12:18,39,188,227,203,52.8
2,Luke Adam\adamlu01,20,BUF,LW,19,3,1,4,-6,12,0.1,3,0,0,1,0,1,0,31,9.7,213,11:13,5,17,41,78,34.5
3,Craig Adams\adamscr01,33,PIT,RW,80,4,11,15,-5,76,0.2,2,0,2,1,9,0,2,90,4.4,975,12:11,64,171,194,271,41.7
4,Andrew Alberts\alberan01,29,VAN,D,42,1,6,7,0,41,1.5,1,0,0,0,6,0,0,21,4.8,637,15:10,49,113,0,0,
5,Daniel Alfredsson\alfreda01,38,OTT,RW,54,14,17,31,-19,18,2.7,7,7,0,1,12,5,0,96,14.6,1041,19:17,21,41,2,10,16.7
6,Bryan Allen\allenbr01,30,TOT,D,72,4,13,17,-1,82,3.8,4,0,0,1,13,0,0,58,6.9,1319,18:19,103,118,0,0,
6,Bryan Allen\allenbr01,30,FLA,D,53,4,8,12,-5,63,2.7,4,0,0,1,8,0,0,50,8.0,1018,19:13,76,83,0,0,
6,Bryan Allen\allenbr01,30,CAR,D,19,0,5,5,4,19,1.1,0,0,0,0,5,0,0,8,0.0,301,15:51,27,35,0,0,
7,Cody Almond\almonco01,21,MIN,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,3,0.0,56,7:02,3,11,13,19,40.6
8,Karl Alzner\alzneka01,22,WSH,D,82,2,10,12,14,24,4.6,2,0,0,0,10,0,0,64,3.1,1641,20:01,130,98,0,0,
9,Jonas Andersson\anderjo02,29,VAN,RW,4,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,24,6:03,1,3,0,0,
10,Artem Anisimov\anisiar01,22,NYR,C,82,18,26,44,3,20,4.8,15,3,0,2,21,5,0,190,9.5,1329,16:12,45,74,306,382,44.5
11,Nik Antropov\antroni01,30,ATL,C,76,16,25,41,-17,42,3.5,11,5,0,2,14,11,0,105,15.2,1189,15:39,38,61,260,273,48.8
12,Colby Armstrong\armstco01,28,TOR,RW,50,8,15,23,-1,38,1.9,8,0,0,0,15,0,0,69,11.6,806,16:07,28,88,3,5,37.5
13,Jamie Arniel\arnieja01,21,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0.0,12,12:26,0,0,0,0,
14,Jason Arnott\arnotja01,36,TOT,C,73,17,14,31,-6,40,3.6,13,4,0,1,10,4,0,169,10.1,1133,15:31,11,42,449,445,50.2
14,Jason Arnott\arnotja01,36,NJD,C,62,13,11,24,-9,32,2.5,11,2,0,0,8,3,0,139,9.4,958,15:27,8,28,385,365,51.3
14,Jason Arnott\arnotja01,36,WSH,C,11,4,3,7,3,8,1.1,2,2,0,1,2,1,0,30,13.3,175,15:53,3,14,64,80,44.4
15,Arron Asham\ashamar01,32,PIT,RW,44,5,6,11,0,46,1.0,5,0,0,0,6,0,0,60,8.3,420,9:33,16,107,3,6,33.3
16,Adrian Aucoin\aucoiad01,37,PHX,D,75,3,19,22,18,52,5.2,3,0,0,0,17,2,0,99,3.0,1625,21:40,75,134,1,0,100.0
17,Keith Aucoin\aucoike01,32,WSH,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,11:47,0,1,1,2,33.3
18,Keith Aulie\aulieke01,21,TOR,D,40,2,0,2,-1,32,1.1,2,0,0,0,0,0,0,32,6.3,765,19:08,74,98,0,0,
19,Sean Avery\averyse01,30,NYR,C,76,3,21,24,-4,174,1.4,3,0,0,1,20,1,0,137,2.2,854,11:14,24,115,15,9,62.5
20,Anton Babchuk\babchan01,26,TOT,D,82,11,24,35,14,32,7.3,4,6,1,2,16,7,1,132,8.3,1340,16:21,154,19,0,0,
20,Anton Babchuk\babchan01,26,CGY,D,65,8,19,27,18,20,6.1,2,5,1,1,13,6,0,87,9.2,1016,15:37,129,17,0,0,
20,Anton Babchuk\babchan01,26,CAR,D,17,3,5,8,-4,12,1.2,2,1,0,1,3,1,1,45,6.7,325,19:07,25,2,0,0,
21,David Backes\backeda01,26,STL,RW,82,31,31,62,32,93,8.8,26,5,0,2,20,10,1,211,14.7,1616,19:42,40,213,506,632,44.5
22,Mikael Backlund\backlmi01,21,CGY,C,73,10,15,25,4,18,2.4,8,2,0,1,12,2,1,144,6.9,882,12:05,19,35,319,345,48.0
23,Nicklas Backstrom\backsni02,23,WSH,C,77,18,47,65,24,40,7.5,13,4,1,2,29,18,0,202,8.9,1586,20:36,62,68,679,619,52.3
24,Drew Bagnall\bagnadr01,27,MIN,D,2,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,1,0.0,26,13:01,1,0,0,0,
25,Josh Bailey\bailejo01,21,NYI,C,70,11,17,28,-13,37,1.6,6,5,0,2,10,4,3,102,10.8,1248,17:50,41,47,273,342,44.4
26,Keith Ballard\ballake01,28,VAN,D,65,2,5,7,10,53,2.8,2,0,0,0,5,0,0,53,3.8,1034,15:54,111,99,0,0,
27,Krys Barch\barchkr01,30,DAL,RW,44,2,1,3,-7,80,-0.1,2,0,0,0,1,0,0,16,12.5,230,5:13,2,53,2,2,50.0
