08Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
633,Craig Rivet\rivetcr01,33,SJS,D,74,5,30,35,3,104,7.4,3,2,0,0,11,18,1,105,4.8,1569,21:12,79,73,0,0,
634,Gary Roberts\roberga01,41,PIT,LW,38,3,12,15,-3,40,0.9,2,1,0,0,10,2,0,41,7.3,507,13:20,5,43,5,2,71.4
635,Stephane Robidas\robidst01,30,DAL,D,82,9,17,26,0,85,5.6,2,7,0,2,9,7,1,153,5.9,1693,20:39,109,220,0,0,
636,Randy Robitaille\robitra01,32,OTT,C,68,10,19,29,4,18,2.5,9,1,0,1,16,3,0,99,10.1,922,13:34,13,23,82,60,57.7
637,Jeremy Roenick\roenije01,38,SJS,C,69,14,19,33,-8,26,3.5,7,7,0,10,14,5,0,89,15.7,949,13:45,22,96,83,105,44.1
638,Brian Rolston\rolstbr01,34,MIN,LW,81,31,28,59,-1,53,6.9,19,11,1,8,11,17,0,289,10.7,1626,20:04,24,59,67,98,40.6
639,Aaron Rome\romeaa01,24,CBJ,D,17,1,1,2,-4,33,0.4,1,0,0,0,1,0,0,15,6.7,309,18:11,17,33,0,0,
640,Allan Rourke\rourkal01,27,EDM,D,13,0,0,0,-1,5,0.1,0,0,0,0,0,0,0,4,0.0,142,10:56,22,3,0,0,
641,Andre Roy\royan01,32,TBL,RW,63,4,3,7,-1,108,0.6,4,0,0,0,3,0,0,38,10.5,344,5:28,3,91,0,0,
642,Derek Roy\royde01,24,BUF,C,78,32,49,81,13,46,9.5,23,6,3,4,30,17,2,218,14.7,1636,20:58,48,35,700,673,51.0
643,Mathieu Roy\royma01,24,EDM,D,13,0,1,1,0,27,0.2,0,0,0,0,1,0,0,8,0.0,135,10:23,9,7,0,0,
644,Michal Rozsival\rozsimi01,29,NYR,D,80,13,25,38,0,80,8.4,5,6,2,0,13,12,0,127,10.2,1964,24:33,129,93,0,0,
645,Martin Rucinsky\rucinma01,36,STL,LW,40,5,11,16,-9,40,0.9,4,1,0,0,7,4,0,67,7.5,600,15:01,8,19,7,6,53.8
