16Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,TOI,ATOI,BLK,HIT,FOW,FOL
42,Patrice Bergeron\bergepa01,30,BOS,C,80,32,36,68,12,49,9,19,12,1,6,21,13,2,282,1587,19:50,56,77,1130,848
43,Patrik Berglund\berglpa01,27,STL,C,42,10,5,15,1,16,1.8,6,4,0,5,5,0,0,80,651,15:29,17,48,139,138
44,Steve Bernier\bernist01,30,NYI,RW,24,1,5,6,3,9,0.5,1,0,0,0,5,0,0,27,269,11:14,13,42,0,0
45,Christoph Bertschy\bertsch02,21,MIN,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,6:57,2,7,0,0
46,Bryan Bickell\bickebr01,29,CHI,LW,25,0,2,2,-5,2,-0.4,0,0,0,0,2,0,0,21,245,9:47,10,58,2,0
47,Alex Biega\biegaal01,27,VAN,D,51,0,7,7,-11,22,0.9,0,0,0,0,7,0,0,61,855,16:46,41,124,0,0
48,Kevin Bieksa\biekske01,34,ANA,D,71,4,11,15,-7,99,3.6,2,2,0,1,7,4,0,109,1492,21:01,108,152,0,0
49,Chris Bigras\bigrach01,20,COL,D,31,1,2,3,-2,16,0.7,1,0,0,0,2,0,0,21,414,13:21,17,17,0,0
50,Anthony Bitetto\bitetan01,25,NSH,D,28,1,5,6,0,19,1.1,1,0,0,0,5,0,0,19,340,12:08,41,62,0,0
51,Oliver Bjorkstrand\bjorkol01,20,CBJ,RW,12,4,4,8,6,0,1.3,4,0,0,1,4,0,0,25,192,15:59,5,9,0,0
52,Nick Bjugstad\bjugsni01,23,FLA,C,67,15,19,34,-8,41,3.4,9,6,0,3,10,9,0,171,1039,15:31,28,87,449,419
53,Joseph Blandisi\blandjo01,21,NJD,LW,41,5,12,17,-14,34,1.1,1,4,0,1,10,2,0,43,640,15:36,13,39,11,22
54,Mike Blunden\blundmi01,29,TBL,RW,20,3,2,5,3,34,0.8,3,0,0,1,2,0,0,14,173,8:39,3,41,0,0
55,Andrew Bodnarchuk\bodnaan01,27,TOT,D,37,0,4,4,-7,14,0.2,0,0,0,0,4,0,0,9,457,12:20,27,44,0,0
55,Andrew Bodnarchuk\bodnaan01,27,COL,D,21,0,2,2,-1,6,0.3,0,0,0,0,2,0,0,4,224,10:40,18,23,0,0
55,Andrew Bodnarchuk\bodnaan01,27,CBJ,D,16,0,2,2,-6,8,-0.1,0,0,0,0,2,0,0,5,233,14:32,9,21,0,0
56,Mikkel Boedker\boedkmi01,26,TOT,LW,80,17,34,51,-33,12,3.8,14,3,0,5,18,16,0,166,1481,18:30,31,50,1,2
56,Mikkel Boedker\boedkmi01,26,ARI,LW,62,13,26,39,-28,10,2.8,10,3,0,4,11,15,0,144,1155,18:37,21,43,0,1
56,Mikkel Boedker\boedkmi01,26,COL,LW,18,4,8,12,-5,2,1,4,0,0,1,7,1,0,22,326,18:07,10,7,1,1
57,Zach Bogosian\bogosza01,25,BUF,D,64,7,17,24,-11,68,4.5,4,3,0,1,13,3,1,121,1430,22:21,98,86,0,0
58,Jared Boll\bollja01,29,CBJ,RW,30,1,2,3,-3,61,0,1,0,0,0,2,0,0,11,200,6:39,15,53,2,0
59,Dave Bolland\bollada01,29,FLA,C,25,1,4,5,-2,16,0,1,0,0,0,1,3,0,26,352,14:06,9,36,156,185
60,Brandon Bollig\bollibr01,29,CGY,LW,54,2,2,4,-10,103,-0.7,2,0,0,0,2,0,0,56,502,9:17,25,117,2,1
61,Nick Bonino\boninni01,27,PIT,C,63,9,20,29,13,31,3,6,2,1,0,20,0,0,97,998,15:50,67,22,463,455
62,Mark Borowiecki\borowma01,26,OTT,D,63,1,1,2,-4,107,0.2,1,0,0,0,1,0,0,27,922,14:38,99,271,0,1
63,Robert Bortuzzo\borturo01,26,STL,D,40,2,1,3,2,52,1.3,2,0,0,0,1,0,0,47,531,13:16,42,93,0,0
64,Reid Boucher\bouchre01,22,NJD,LW,39,8,11,19,-13,6,1.8,6,2,0,4,7,4,0,74,557,14:16,14,32,1,2
65,Eric Boulton\boulter01,39,NYI,LW,6,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,3,57,9:29,0,15,0,0
66,Lance Bouma\boumala01,25,CGY,C,44,2,5,7,-6,31,-0.2,2,0,0,0,3,0,2,49,530,12:02,42,110,5,8
67,Gabriel Bourque\bourqga01,25,NSH,RW,22,1,3,4,0,18,0.1,1,0,0,0,3,0,0,25,272,12:22,22,55,0,1
68,Rene Bourque\bourqre01,34,CBJ,RW,49,3,5,8,-9,38,0,3,0,0,0,5,0,0,77,512,10:27,19,82,3,6
69,Jay Bouwmeester\bouwmja01,32,STL,D,72,3,16,19,-4,18,3.9,2,1,0,0,15,1,0,105,1664,23:07,110,71,0,0
70,Johnny Boychuk\boychjo01,32,NYI,D,70,9,16,25,17,31,6.6,8,1,0,1,12,4,0,165,1496,21:22,140,149,0,0
71,Brad Boyes\boyesbr01,33,TOR,RW,60,8,16,24,-6,12,2.1,6,2,0,1,13,3,0,85,718,11:58,17,20,9,5
72,Brian Boyle\boylebr01,31,TBL,C,76,13,7,20,-7,57,1.9,9,2,2,4,6,1,0,117,981,12:55,48,115,346,336
