09Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,TOI,ATOI,BLK,HIT,FOW,FOL
1,Justin Abdelkader\abdelju01,21,DET,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,9:18,0,3,4,3
2,Craig Adams\adamscr01,31,TOT,RW,45,2,5,7,-3,22,0.1,1,1,0,0,5,0,0,47,391,8:41,20,67,8,13
2,Craig Adams\adamscr01,31,CHI,RW,36,2,4,6,-3,22,0.1,1,1,0,0,4,0,0,38,314,8:43,16,53,6,10
2,Craig Adams\adamscr01,31,PIT,RW,9,0,1,1,0,0,0,0,0,0,0,1,0,0,9,77,8:34,4,14,2,3
3,Maxim Afinogenov\afinoma01,29,BUF,RW,48,6,14,20,-7,20,1.4,6,0,0,0,7,7,0,93,605,12:36,11,20,0,3
4,Andrew Alberts\alberan01,27,PHI,D,79,1,12,13,6,61,2.7,1,0,0,0,11,0,1,46,1248,15:48,133,157,0,0
5,Daniel Alfredsson\alfreda01,36,OTT,RW,79,24,50,74,7,24,8.1,15,8,1,3,27,20,3,204,1649,20:53,33,57,4,13
6,Bryan Allen\allenbr01,28,FLA,D,2,0,1,1,2,0,0.3,0,0,0,0,1,0,0,5,54,27:11:00,7,5,0,0
7,Karl Alzner\alzneka01,20,WSH,D,30,1,4,5,-1,2,0.9,1,0,0,0,4,0,0,31,583,19:25,54,23,0,0
8,Artem Anisimov\anisiar01,20,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9:27,0,0,2,3
9,Nik Antropov\antroni01,28,TOT,RW,81,28,31,59,-14,30,5.9,20,8,0,4,21,9,1,224,1392,17:11,37,112,80,117
9,Nik Antropov\antroni01,28,TOR,RW,63,21,25,46,-13,24,4.3,15,6,0,2,17,7,1,171,1085,17:13,31,80,80,113
9,Nik Antropov\antroni01,28,NYR,RW,18,7,6,13,-1,6,1.6,5,2,0,2,4,2,0,53,308,17:05,6,32,0,4
10,Colby Armstrong\armstco01,26,ATL,RW,82,22,18,40,5,75,4.3,19,3,0,2,17,1,0,141,1243,15:09,23,88,8,20
11,Derek Armstrong\armstde01,35,LAK,C,56,5,4,9,-11,63,0.4,4,1,0,1,4,0,0,42,475,8:29,11,85,115,125
12,Riley Armstrong\armstri01,24,SJS,RW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,15,7:26,1,1,0,0
13,Tyler Arnason\arnasty01,29,COL,C,71,5,17,22,-16,14,0.8,3,2,0,1,16,1,0,108,945,13:19,15,6,332,389
14,Jason Arnott\arnotja01,34,NSH,C,65,33,24,57,2,49,7.5,24,9,0,5,16,8,0,196,1229,18:55,18,34,525,512
15,Evgeny Artyukhin\artyuev01,25,TBL,RW,73,6,10,16,1,151,0.9,5,1,0,0,9,1,0,100,779,10:40,16,249,0,2
16,Arron Asham\ashamar01,30,PHI,RW,78,8,12,20,0,155,1.7,8,0,0,1,12,0,0,74,682,8:45,10,143,7,8
17,Adrian Aucoin\aucoiad01,35,CGY,D,81,10,24,34,-8,46,5.4,7,3,0,3,14,9,1,126,1806,22:18,55,61,0,0
18,Keith Aucoin\aucoike01,30,WSH,C,12,2,4,6,5,4,0.8,1,1,0,0,4,0,0,15,124,10:19,2,4,33,50
19,Sean Avery\averyse01,28,TOT,LW,41,8,14,22,6,111,2.3,6,2,0,0,11,3,0,99,646,15:45,7,89,9,9
19,Sean Avery\averyse01,28,DAL,LW,23,3,7,10,2,77,0.8,3,0,0,0,4,3,0,49,345,14:59,3,44,5,7
19,Sean Avery\averyse01,28,NYR,LW,18,5,7,12,4,34,1.5,3,2,0,0,7,0,0,50,301,16:44,4,45,4,2
20,P.J. Axelsson\axelspj01,33,BOS,LW,75,6,24,30,-1,16,1.4,4,2,0,0,15,9,0,87,1217,16:14,31,55,16,30
21,Anton Babchuk\babchan01,24,CAR,D,72,16,19,35,13,16,7.9,7,9,0,4,13,6,0,127,1301,18:04,115,22,0,0
22,David Backes\backeda01,24,STL,RW,82,31,23,54,-3,165,6.6,23,6,2,1,17,5,1,208,1451,17:41,52,204,212,265
23,Mikael Backlund\backlmi01,19,CGY,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10:44,0,0,2,5
24,Christian Backman\backmch01,28,CBJ,D,56,2,5,7,5,32,2.2,1,1,0,1,4,1,0,54,877,15:39,53,40,0,1
25,Nicklas Backstrom\backsni02,21,WSH,C,82,22,66,88,16,46,9.2,8,14,0,1,38,28,0,174,1635,19:57,46,52,570,601
26,Josh Bailey\bailejo01,19,NYI,C,68,7,18,25,-14,16,1,4,3,0,0,10,8,0,74,1053,15:29,43,47,332,475
27,Keith Ballard\ballake01,26,FLA,D,82,6,28,34,14,72,6.9,5,1,0,1,23,4,1,106,1835,22:23,136,172,0,1
28,Krys Barch\barchkr01,28,DAL,RW,72,4,5,9,1,133,0.5,4,0,0,1,5,0,0,27,465,6:27,14,123,2,5
29,Cam Barker\barkeca01,22,CHI,D,68,6,34,40,-6,65,5.2,1,5,0,1,9,24,1,101,1247,18:20,42,83,0,1
30,Cody Bass\bassco01,22,OTT,C,12,0,0,0,-2,15,-0.2,0,0,0,0,0,0,0,5,68,5:41,2,25,21,29
31,Ryan Bayda\baydary01,28,CAR,LW,70,5,7,12,2,26,0.6,5,0,0,0,7,0,0,62,732,10:27,46,82,8,10
32,Jay Beagle\beaglja01,23,WSH,C,3,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,5,23,7:36,0,5,5,8
33,Francois Beauchemin\beaucfr01,28,ANA,D,20,4,1,5,-3,12,1.1,4,0,0,2,0,1,0,45,498,24:54:00,25,26,0,0
34,Steve Begin\beginst01,30,TOT,LW,62,7,5,12,-6,42,0.6,7,0,0,1,5,0,0,90,665,10:43,38,185,65,68
34,Steve Begin\beginst01,30,MTL,LW,42,6,4,10,-5,27,0.7,6,0,0,1,4,0,0,65,456,10:51,26,119,42,36
34,Steve Begin\beginst01,30,DAL,LW,20,1,1,2,-1,15,-0.1,1,0,0,0,1,0,0,25,209,10:26,12,66,23,32
35,Wade Belak\belakwa01,32,TOT,RW,53,0,2,2,-1,79,-0.3,0,0,0,0,2,0,0,19,278,5:15,6,57,0,0
