09Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,TOI,ATOI,BLK,HIT,FOW,FOL
35,Wade Belak\belakwa01,32,NSH,RW,38,0,2,2,-1,54,-0.2,0,0,0,0,2,0,0,15,212,5:35,6,37,0,0
35,Wade Belak\belakwa01,32,FLA,RW,15,0,0,0,0,25,-0.1,0,0,0,0,0,0,0,4,66,4:25,0,20,0,0
36,Eric Belanger\belaner01,31,MIN,C,79,13,23,36,-5,26,3,9,4,0,4,12,9,2,147,1409,17:50,48,45,626,579
37,Matt Beleskey\belesma01,20,ANA,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11:10,0,0,0,2
38,Brendan Bell\bellbr02,25,OTT,D,53,6,15,21,-5,24,3.7,1,5,0,1,5,10,0,76,940,17:44,36,29,0,0
39,Sean Bentivoglio\bentise01,23,NYI,LW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,12,11:31,0,1,0,1
40,Sean Bergenheim\bergese01,24,NYI,LW,59,15,9,24,-2,64,2.6,11,0,4,5,9,0,0,152,841,14:15,32,83,9,13
41,Marc-Andre Bergeron\bergema02,28,MIN,D,72,14,18,32,5,30,7.4,7,7,0,3,7,11,0,140,1217,16:54,68,30,0,0
42,Patrice Bergeron\bergepa01,23,BOS,C,64,8,31,39,2,16,2.8,6,1,1,1,16,13,2,155,1151,17:59,42,57,549,456
43,Niclas Bergfors\bergfni01,21,NJD,RW,8,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,46,5:48,0,0,0,0
44,Patrik Berglund\berglpa01,20,STL,C,76,21,26,47,19,16,6.2,14,7,0,1,11,15,0,143,1119,14:43,14,58,215,325
45,Steve Bernier\bernist01,23,VAN,RW,81,15,17,32,4,27,3,13,2,0,4,12,5,0,137,1121,13:50,41,145,5,16
46,Todd Bertuzzi\bertuto01,33,CGY,LW,66,15,29,44,-13,74,3.3,9,6,0,4,19,10,0,127,1228,18:36,20,59,21,24
47,Blair Betts\bettsbl01,28,NYR,C,81,6,4,10,-5,16,0.2,4,0,2,1,3,0,1,83,860,10:37,51,93,436,448
48,Kevin Bieksa\biekske01,27,VAN,D,72,11,32,43,-4,97,6.7,6,5,0,2,10,20,2,153,1691,23:29,59,112,0,0
49,Paul Bissonnette\bissopa01,23,PIT,LW,15,0,1,1,-1,22,0,0,0,0,0,1,0,0,4,53,3:31,0,15,0,0
50,Byron Bitz\bitzby01,24,BOS,RW,35,4,3,7,0,18,0.5,4,0,0,0,2,1,0,31,363,10:22,15,71,21,29
51,Jason Blake\blakeja01,35,TOR,LW,78,25,38,63,-2,40,6.2,19,5,1,5,24,13,1,302,1431,18:21,27,54,36,41
52,Rob Blake*\blakero01,39,SJS,D,73,10,35,45,15,110,9,4,6,0,1,19,16,0,198,1553,21:16,114,66,0,0
53,Brandon Bochenski\bochebr01,26,TBL,RW,7,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,11,76,10:47,3,3,0,0
54,Troy Bodie\bodietr01,24,ANA,RW,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,33,8:09,0,6,1,1
55,Mikkel Boedker\boedkmi01,19,PHX,LW,78,11,17,28,-6,18,1.8,9,2,0,3,17,0,0,116,1212,15:32,9,76,1,7
56,Zach Bogosian\bogosza01,18,ATL,D,47,9,10,19,11,47,4.2,6,2,1,1,7,3,0,90,851,18:06,50,67,0,0
57,Alexandre Bolduc\boldual01,23,VAN,C,7,0,1,1,1,4,0.1,0,0,0,0,1,0,0,7,51,7:20,0,4,5,8
58,Jared Boll\bollja01,22,CBJ,RW,75,4,10,14,-6,180,0.5,3,1,0,0,9,1,0,73,667,8:54,13,153,0,4
59,Dave Bolland\bollada01,22,CHI,C,81,19,28,47,19,52,5.1,15,2,2,4,25,1,2,111,1333,16:27,40,67,521,655
60,Radek Bonk\bonkra01,33,NSH,C,66,9,16,25,-12,34,1.4,3,6,0,2,12,3,1,102,1019,15:27,28,58,450,301
61,Derek Boogaard\boogade01,26,MIN,LW,51,0,3,3,3,87,0.1,0,0,0,0,3,0,0,13,255,5:00,4,62,0,0
62,David Booth\boothda01,24,FLA,LW,72,31,29,60,10,38,7.7,20,11,0,5,23,5,1,246,1231,17:05,20,91,7,10
63,Casey Borer\borerca01,23,CAR,D,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,33,11:05,5,3,0,0
64,Pierre-Marc Bouchard\bouchpi02,24,MIN,LW,71,16,30,46,-5,20,4.7,14,2,0,1,16,14,0,142,1205,16:59,12,7,11,8
65,Philippe Boucher\bouchph01,35,TOT,D,41,3,6,9,6,39,2.3,3,0,0,0,3,3,0,66,824,20:07,95,81,0,0
65,Philippe Boucher\bouchph01,35,PIT,D,25,3,3,6,10,24,2,3,0,0,0,0,3,0,37,477,19:05,56,50,0,0
65,Philippe Boucher\bouchph01,35,DAL,D,16,0,3,3,-4,15,0.3,0,0,0,0,3,0,0,29,348,21:43,39,31,0,0
66,Francis Bouillon\bouilfr01,33,MTL,D,54,5,4,9,-7,53,1.7,5,0,0,1,3,0,1,51,891,16:30,55,122,0,0
67,Jesse Boulerice\bouleje01,30,EDM,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3:43,0,0,0,0
68,Eric Boulton\boulter01,32,ATL,LW,76,3,10,13,-3,176,0.4,3,0,0,0,10,0,0,71,574,7:33,13,77,1,3
69,Chris Bourque\bourqch01,23,WSH,LW,8,1,0,1,0,0,0.1,1,0,0,0,0,0,0,11,78,9:46,2,8,0,0
70,Rene Bourque\bourqre01,27,CGY,LW,58,21,19,40,18,70,5.3,20,0,1,0,18,1,0,149,933,16:05,30,79,9,9
71,Jay Bouwmeester\bouwmja01,25,FLA,D,82,15,27,42,-2,68,7.7,6,9,0,2,15,11,1,182,2213,26:59:00,128,115,0,0
72,Johnny Boychuk\boychjo01,25,BOS,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14:48,1,3,0,0
73,Zach Boychuk\boychza01,19,CAR,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12:03,0,4,0,1
74,Dustin Boyd\boyddu01,22,CGY,C,71,11,11,22,-11,10,1.3,9,1,1,3,8,2,1,74,914,12:52,29,43,215,253
75,Brad Boyes\boyesbr01,26,STL,RW,82,33,39,72,-20,26,7.9,17,16,0,11,20,19,0,220,1570,19:08,20,49,155,160
76,Brian Boyle\boylebr01,24,LAK,C,28,4,1,5,-9,42,0.2,4,0,0,1,1,0,0,36,284,10:08,8,66,102,123
77,Dan Boyle\boyleda01,32,SJS,D,77,16,41,57,6,52,10.6,8,8,0,4,16,24,1,213,1908,24:46:00,95,51,0,1
78,Nick Boynton\boyntni01,30,FLA,D,68,5,16,21,7,91,4.2,5,0,0,1,13,3,0,104,1129,16:36,97,52,0,0
79,Matt Bradley\bradlma01,30,WSH,RW,81,5,6,11,-1,59,0,5,0,0,1,6,0,0,98,859,10:37,16,115,10,14
80,Donald Brashear\brashdo01,37,WSH,LW,63,1,3,4,-6,121,-0.7,1,0,0,1,3,0,0,43,520,8:15,8,119,0,0
81,Derick Brassard\brassde01,21,CBJ,C,31,10,15,25,12,17,3.4,7,3,0,1,11,4,0,59,447,14:25,3,40,161,171
82,Tim Brent\brentti01,24,CHI,C,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,8:21,1,4,5,5
83,Eric Brewer\breweer01,29,STL,D,28,1,5,6,-14,24,0.6,0,1,0,0,3,2,0,49,703,25:07:00,57,40,0,0
84,Daniel Briere\brierda01,31,PHI,C,29,11,14,25,-1,26,3,7,4,0,0,8,6,0,54,454,15:39,6,13,68,79
85,Rod Brind'Amour\brindro01,38,CAR,C,80,16,35,51,-23,36,3.6,9,6,1,1,16,18,1,135,1518,18:58,35,76,908,580
86,Patrice Brisebois\brisepa01,38,MTL,D,62,5,13,18,-3,19,3.1,1,4,0,1,10,3,0,68,986,15:54,69,45,0,0
87,Kyle Brodziak\brodzky01,24,EDM,C,79,11,16,27,4,21,2.2,9,1,1,3,14,1,1,99,1005,12:43,55,60,489,458
88,Sheldon Brookbank\brooksh01,28,TOT,D,44,1,3,4,4,76,1.3,1,0,0,0,3,0,0,30,534,12:08,22,37,0,0
88,Sheldon Brookbank\brooksh01,28,ANA,D,29,1,3,4,3,51,1.1,1,0,0,0,3,0,0,24,401,13:50,14,26,0,0
88,Sheldon Brookbank\brooksh01,28,NJD,D,15,0,0,0,1,25,0.2,0,0,0,0,0,0,0,6,133,8:51,8,11,0,0
89,Wade Brookbank\brookwa01,31,CAR,LW,27,1,0,1,0,40,0.1,1,0,0,0,0,0,0,8,67,2:30,6,15,0,0
90,Troy Brouwer\brouwtr01,23,CHI,RW,69,10,16,26,7,50,2,5,4,1,0,12,4,0,126,1041,15:05,19,125,9,11
91,Dustin Brown\browndu01,24,LAK,RW,80,24,29,53,-15,64,5.4,17,7,0,6,18,11,0,292,1552,19:24,22,285,25,29
92,Mike Brown\brownmi02,23,TOT,RW,48,2,2,4,-7,145,-0.4,2,0,0,2,2,0,0,44,391,8:08,12,85,0,6
92,Mike Brown\brownmi02,23,ANA,RW,28,2,1,3,-2,60,-0.1,2,0,0,2,1,0,0,38,281,10:02,9,55,0,4
92,Mike Brown\brownmi02,23,VAN,RW,20,0,1,1,-5,85,-0.3,0,0,0,0,1,0,0,6,110,5:29,3,30,0,2
93,Gilbert Brule\brulegi01,22,EDM,C,11,2,1,3,-3,12,0.2,2,0,0,1,1,0,0,13,109,9:52,6,14,4,1
94,Andrew Brunette\brunean01,35,MIN,LW,80,22,28,50,-5,18,5.5,13,9,0,3,19,9,0,118,1356,16:57,13,22,2,7
95,Fabian Brunnstrom\brunnfa01,23,DAL,LW,55,17,12,29,-8,8,3.3,13,4,0,5,10,2,0,81,639,11:37,12,24,0,0
96,Adam Burish\burisad01,26,CHI,RW,66,6,3,9,3,93,0.5,6,0,0,2,3,0,0,83,608,9:12,37,46,49,75
97,Brent Burns\burnsbr01,23,MIN,D,59,8,19,27,-7,45,5.5,4,4,0,2,9,10,0,147,1323,22:25,62,58,3,2
98,Alexandre Burrows\burroal01,27,VAN,LW,82,28,23,51,23,150,6.6,24,0,4,3,22,0,1,175,1382,16:51,38,67,37,43
99,Chris Butler\butlech01,22,BUF,D,47,2,4,6,11,18,2.5,2,0,0,1,4,0,0,36,786,16:43,60,37,0,0
100,Dustin Byfuglien\byfugdu01,23,CHI,RW,77,15,16,31,7,81,2.9,12,3,0,4,12,4,0,202,1145,14:52,23,169,2,9
101,Kyle Calder\caldeky01,30,LAK,LW,74,8,19,27,-1,41,2.3,6,2,0,1,17,2,0,93,974,13:10,7,55,1,2
102,Joe Callahan\callajo02,26,NYI,D,18,0,2,2,5,4,0.9,0,0,0,0,2,0,0,6,270,15:00,22,39,0,1
103,Ryan Callahan\callary01,23,NYR,RW,81,22,18,40,7,45,4.7,19,2,1,1,16,2,0,237,1382,17:04,32,265,7,3
104,Mike Cammalleri\cammami01,26,CGY,LW,81,39,43,82,-2,44,9.8,20,19,0,6,28,15,0,255,1422,17:33,18,21,217,143
105,Brian Campbell\campbbr02,29,CHI,D,82,7,45,52,5,22,7.8,3,4,0,1,25,20,0,108,1851,22:34,72,34,0,0
106,Gregory Campbell\campbgr01,25,FLA,C,77,13,19,32,0,76,2.3,12,1,0,1,17,1,1,135,1292,16:47,82,202,509,509
107,Chris Campoli\campoch01,24,TOT,D,76,11,19,30,-16,55,4.8,8,2,1,4,9,9,1,91,1485,19:32,86,81,0,0
107,Chris Campoli\campoch01,24,NYI,D,51,6,11,17,-20,43,2,5,0,1,2,6,5,0,53,1011,19:50,58,56,0,0
107,Chris Campoli\campoch01,24,OTT,D,25,5,8,13,4,12,2.9,3,2,0,2,3,4,1,38,474,18:58,28,25,0,0
108,Luca Caputi\caputlu01,20,PIT,LW,5,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,7,51,10:16,0,3,0,0
109,Daniel Carcillo\carcida01,24,TOT,LW,74,3,11,14,-15,254,-0.3,1,2,0,0,10,1,0,130,852,11:31,20,151,12,8
109,Daniel Carcillo\carcida01,24,PHX,LW,54,3,7,10,-13,174,-0.2,1,2,0,0,6,1,0,95,647,11:59,13,121,10,8
109,Daniel Carcillo\carcida01,24,PHI,LW,20,0,4,4,-2,80,-0.1,0,0,0,0,4,0,0,35,205,10:16,7,30,2,0
110,Matt Carkner\carknma01,28,OTT,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4:08,0,2,0,0
111,Matt Carle\carlema01,24,TOT,D,76,5,21,26,3,22,4.6,5,0,0,2,13,8,0,85,1626,21:24,142,38,0,0
111,Matt Carle\carlema01,24,PHI,D,64,4,20,24,2,16,4,4,0,0,2,12,8,0,72,1363,21:17,115,34,0,0
111,Matt Carle\carlema01,24,TBL,D,12,1,1,2,1,6,0.6,1,0,0,0,1,0,0,13,264,21:58,27,4,0,0
112,Brett Carson\carsobr01,23,CAR,D,5,0,0,0,-3,4,-0.1,0,0,0,0,0,0,0,2,79,15:44,5,6,0,0
113,Jeff Carter\carteje01,24,PHI,C,82,46,38,84,23,68,11.7,29,13,4,12,27,11,0,342,1718,20:57,53,54,833,892
114,Ryan Carter\cartery01,25,ANA,C,48,3,6,9,3,52,0.6,3,0,0,1,5,1,0,40,437,9:06,9,67,146,158
115,Tom Cavanagh\cavanto01,26,SJS,C,17,1,1,2,-2,4,0,1,0,0,0,1,0,0,9,131,7:44,5,4,26,31
116,Zdeno Chara\charazd01,31,BOS,D,80,19,31,50,23,95,10.5,8,11,0,3,12,17,2,216,2085,26:04:00,121,166,1,3
117,Jonathan Cheechoo\cheecjo01,28,SJS,RW,66,12,17,29,-3,59,2.5,6,5,1,4,13,4,0,152,1011,15:19,18,107,1,3
118,Chris Chelios*\chelich01,47,DET,D,28,0,0,0,1,18,0.2,0,0,0,0,0,0,0,14,327,11:40,12,22,0,0
119,Jason Chimera\chimeja01,29,CBJ,LW,49,8,14,22,8,41,2.1,7,1,0,1,13,1,0,115,796,16:15,11,61,18,24
120,Kyle Chipchura\chipcky01,22,MTL,C,13,0,3,3,-6,5,-0.2,0,0,0,0,3,0,0,5,134,10:18,3,8,47,60
121,Taylor Chorney\chornta01,21,EDM,D,2,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,0,31,15:43,6,0,0,0
122,Erik Christensen\chriser01,25,TOT,C,64,7,21,28,-9,20,1.6,5,2,0,0,16,5,0,122,873,13:39,6,19,277,220
122,Erik Christensen\chriser01,25,ATL,C,47,5,14,19,-7,14,0.9,4,1,0,0,11,3,0,90,671,14:16,6,17,233,194
122,Erik Christensen\chriser01,25,ANA,C,17,2,7,9,-2,6,0.7,1,1,0,0,5,2,0,32,203,11:55,0,2,44,26
123,Kris Chucko\chuckkr01,22,CGY,RW,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,7:02,0,1,0,1
124,Brett Clark\clarkbr01,32,COL,D,76,2,10,12,-16,32,2.7,2,0,0,1,8,2,0,97,1697,22:20,238,73,0,0
125,Chris Clark\clarkch01,32,WSH,RW,32,1,5,6,-3,32,-0.1,1,0,0,0,4,1,0,36,370,11:34,7,49,3,3
126,David Clarkson\clarkda03,24,NJD,RW,82,17,15,32,-1,164,3.2,13,4,0,3,13,2,0,158,988,12:03,13,134,2,5
127,Dan Cleary\clearda01,30,DET,RW,74,14,26,40,0,46,3,11,3,0,3,23,3,0,163,1253,16:56,36,107,67,54
128,Ryane Clowe\clowery01,26,SJS,LW,71,22,30,52,8,51,5.9,11,11,0,1,17,13,0,161,1262,17:47,22,135,49,71
129,Cal Clutterbuck\cluttca01,21,MIN,RW,78,11,7,18,-5,76,1.5,10,1,0,1,7,0,0,136,1014,13:00,39,356,2,15
130,Braydon Coburn\coburbr01,23,PHI,D,80,7,21,28,7,97,5.5,4,3,0,0,11,8,2,130,1970,24:37:00,129,146,0,0
131,Andrew Cogliano\coglian01,21,EDM,C,82,18,20,38,-6,22,3.3,14,4,0,4,15,5,0,116,1181,14:24,39,57,261,441
132,Carlo Colaiacovo\colaica01,26,TOT,D,73,3,27,30,0,35,5.1,3,0,0,0,7,20,0,87,1333,18:16,82,64,0,0
132,Carlo Colaiacovo\colaica01,26,STL,D,63,3,26,29,2,29,5.1,3,0,0,0,7,19,0,78,1164,18:29,69,54,0,0
132,Carlo Colaiacovo\colaica01,26,TOR,D,10,0,1,1,-2,6,0,0,0,0,0,0,1,0,9,169,16:52,13,10,0,0
133,Erik Cole\coleer01,30,TOT,LW,80,18,24,42,0,73,3.6,13,5,0,1,20,4,0,178,1409,17:37,43,180,20,29
133,Erik Cole\coleer01,30,EDM,LW,63,16,11,27,-3,63,2.3,11,5,0,1,9,2,0,145,1076,17:05,33,134,19,29
133,Erik Cole\coleer01,30,CAR,LW,17,2,13,15,3,10,1.3,2,0,0,0,11,2,0,33,333,19:36,10,46,1,0
134,Sean Collins\collise01,25,WSH,D,15,1,1,2,1,12,0.5,1,0,0,0,1,0,0,14,218,14:32,15,11,0,0
135,Jeremy Colliton\collije01,24,NYI,C,6,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,4,66,11:03,5,18,45,25
136,Blake Comeau\comeabl01,22,NYI,LW,53,7,18,25,-17,32,1.2,5,2,0,0,11,7,0,78,863,16:17,18,90,14,31
137,Mike Commodore\commomi01,29,CBJ,D,81,5,19,24,11,100,5.6,5,0,0,0,17,2,0,103,1854,22:54,162,201,2,1
138,Mike Comrie\comrimi01,28,TOT,C,63,10,17,27,-15,32,1.7,8,2,0,1,12,4,1,121,989,15:42,34,39,171,246
138,Mike Comrie\comrimi01,28,NYI,C,41,7,13,20,-8,26,1.4,5,2,0,0,10,2,1,80,675,16:28,22,27,161,229
138,Mike Comrie\comrimi01,28,OTT,C,22,3,4,7,-7,6,0.3,3,0,0,1,2,2,0,41,314,14:17,12,12,10,17
139,Tim Conboy\conboti01,26,CAR,RW,28,0,1,1,-1,37,-0.2,0,0,0,0,1,0,0,13,150,5:21,2,20,0,0
140,Chris Conner\connech01,25,DAL,RW,38,3,10,13,-5,10,0.7,3,0,0,1,9,1,0,34,415,10:56,5,37,0,1
141,Tim Connolly\connoti01,27,BUF,C,48,18,29,47,12,22,5.7,12,5,1,5,16,13,0,126,918,19:07,37,17,229,315
142,Craig Conroy\conrocr01,37,CGY,C,82,12,36,48,20,28,4.7,11,0,1,1,35,0,1,104,1261,15:22,49,42,722,645
143,Matt Cooke\cookema01,30,PIT,LW,76,13,18,31,0,101,2.5,13,0,0,1,17,1,0,86,1080,14:13,37,262,7,12
144,Joe Corvo\corvojo01,31,CAR,D,81,14,24,38,-1,18,7.7,5,8,1,6,10,14,0,213,1970,24:19:00,89,41,0,0
145,Riley Cote\coteri01,26,PHI,LW,63,0,3,3,-7,174,-0.5,0,0,0,0,3,0,0,24,262,4:10,4,51,0,0
146,Joey Crabb\crabbjo01,25,ATL,RW,29,4,5,9,-2,28,0.6,3,0,1,1,5,0,0,33,354,12:13,15,54,13,20
147,Ryan Craig\craigry01,27,TBL,C,54,2,4,6,-7,60,-0.5,2,0,0,0,4,0,0,64,555,10:16,29,60,110,112
148,B.J. Crombeen\crombbj01,23,TOT,RW,81,12,10,22,-9,148,1.6,11,0,1,3,8,2,0,124,1031,12:43,14,87,3,4
148,B.J. Crombeen\crombbj01,23,STL,RW,66,11,6,17,-8,122,1.2,10,0,1,3,5,1,0,112,907,13:45,12,74,3,4
148,B.J. Crombeen\crombbj01,23,DAL,RW,15,1,4,5,-1,26,0.4,1,0,0,0,3,1,0,12,124,8:14,2,13,0,0
149,Sidney Crosby\crosbsi01,21,PIT,C,77,33,70,103,3,76,11.1,26,7,0,3,36,33,1,238,1690,21:57,42,80,829,786
150,Matt Cullen\cullema01,32,CAR,C,69,22,21,43,11,20,5.3,16,4,2,2,15,3,3,139,1159,16:48,44,41,457,427
151,Jassen Cullimore\cullija01,36,FLA,D,68,2,8,10,-10,37,1.4,2,0,0,0,7,1,0,52,1142,16:48,62,58,0,0
152,Kyle Cumiskey\cumisky01,22,COL,D,6,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,51,8:32,3,2,0,0
153,Matt D'Agostini\dagosma01,22,MTL,RW,53,12,9,21,-17,16,1.6,9,3,0,1,7,2,0,116,711,13:25,26,48,3,6
154,Trevor Daley\daleytr01,25,DAL,D,75,7,18,25,2,73,5,7,0,0,2,16,1,1,104,1650,22:00,98,30,0,1
155,Mathieu Dandenault\dandema01,32,MTL,RW,41,4,8,12,7,17,1.1,4,0,0,0,6,1,1,46,482,11:45,29,42,2,3
156,Pavel Datsyuk\datsypa01,30,DET,C,81,32,65,97,34,22,11.5,20,11,1,3,39,25,1,248,1556,19:13,33,75,621,489
157,Patrick Davis\davispa01,22,NJD,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4:30,0,1,0,0
158,Rob Davison\davisro01,28,VAN,D,23,0,2,2,-4,51,0.1,0,0,0,0,2,0,0,15,232,10:05,12,28,0,0
159,Nigel Dawes\dawesni01,23,TOT,LW,64,10,11,21,-6,15,1.7,7,3,0,4,10,1,0,115,848,13:15,25,84,0,0
159,Nigel Dawes\dawesni01,23,NYR,LW,52,10,9,19,-2,15,2,7,3,0,4,8,1,0,96,679,13:03,19,73,0,0
159,Nigel Dawes\dawesni01,23,PHX,LW,12,0,2,2,-4,0,-0.2,0,0,0,0,2,0,0,19,170,14:09,6,11,0,0
