Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2018,Jake Allen\allenja01,27,STL,59,56,27,25,3,152,1614,1462,0.906,2.75,1,7.9,3317,27,0.482,8,107,-10.34,0,1,1,0
2,2018,Frederik Andersen\anderfr01,28,TOR,66,66,38,21,5,182,2211,2029,0.918,2.81,5,13.6,3889,37,0.561,8,94,12.06,0,1,1,2
3,2018,Craig Anderson\andercr01,36,OTT,58,55,23,25,6,180,1768,1588,0.898,3.32,2,7.2,3251,25,0.455,11,116,-24.83,0,0,0,2
4,2018,Ken Appleby\appleke01,22,NJD,3,1,0,1,0,3,55,52,0.945,1.45,0,0.5,124,0,0,0,,,0,0,0,0
5,2018,Jonathan Bernier\bernijo01,29,COL,37,34,19,13,3,95,1092,997,0.913,2.85,2,6.2,2001,18,0.529,5,99,0.84,0,1,1,0
6,2018,Reto Berra\berrare01,31,ANA,5,1,1,1,0,7,95,88,0.926,2.31,0,0.7,182,1,1,0,,,0,0,0,0
7,2018,Jean-Francois Berube\berubje02,26,CHI,13,10,3,6,1,42,398,356,0.894,3.78,0,1.4,667,3,0.3,3,120,-7.07,0,0,0,0
8,2018,Ben Bishop\bishobe01,31,DAL,53,51,26,17,5,120,1437,1317,0.916,2.49,5,8.7,2887,27,0.529,8,95,6.12,0,1,1,4
9,2018,Sergei Bobrovsky\bobrose01,29,CBJ,65,65,37,22,6,158,1993,1835,0.921,2.42,5,12.9,3912,38,0.585,10,90,16.92,0,3,3,0
10,2018,Laurent Brossoit\brossla01,24,EDM,14,10,3,7,1,40,343,303,0.883,3.24,0,0.8,740,5,0.5,2,133,-9.9,0,1,1,0
11,2018,Peter Budaj\budajpe01,35,TBL,8,7,3,3,1,27,217,190,0.876,3.76,0,0.3,430,2,0.286,1,,,0,0,0,0
12,2018,Jack Campbell\campbja01,26,LAK,5,4,2,0,2,11,145,134,0.924,2.48,0,1,267,2,0.5,0,,,0,0,0,0
13,2018,Eric Comrie\comrier01,22,WPG,3,3,1,2,0,12,94,82,0.872,3.99,0,0.1,180,1,0.333,0,,,0,0,0,0
14,2018,Mike Condon\condomi01,27,OTT,31,26,5,17,5,88,898,810,0.902,3.25,0,4,1626,13,0.5,6,112,-9.18,0,2,2,0
15,2018,Jared Coreau\coreaja01,26,DET,7,7,0,5,1,27,203,176,0.867,4.26,0,0.1,380,1,0.143,2,,,0,0,0,0
16,2018,Corey Crawford\crawfco01,33,CHI,28,27,16,9,2,60,842,782,0.929,2.27,2,6.2,1584,17,0.63,3,81,13.9,0,0,0,0
17,2018,Oscar Dansk\danskos01,23,VEG,4,3,3,0,0,5,93,88,0.946,1.78,1,0.9,169,3,1,0,,,0,0,0,0
