Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2010,Craig Anderson\andercr01,28,COL,71,71,38,25,7,186,2233,2047,0.917,2.63,7,14.8,4235,41,0.577,10,94,12.14,0,3,3,16
2,2010,Alex Auld\auldal01,29,TOT,24,20,9,7,3,64,610,546,0.895,2.96,0,2.5,1300,8,0.4,4,118,-9.87,0,2,2,2
2,2010,Alex Auld\auldal01,29,DAL,21,19,9,6,3,59,558,499,0.894,3,0,2.2,1181,7,0.368,4,119,-9.49,0,2,2,2
2,2010,Alex Auld\auldal01,29,NYR,3,1,0,1,0,5,52,47,0.904,2.53,0,0.3,119,1,1,0,,,0,0,0,0
3,2010,Johan Backlund\backljo01,28,PHI,1,1,0,1,0,2,24,22,0.917,3,0,0.2,40,1,1,0,,,0,0,0,0
4,2010,Niklas Backstrom\backsni01,31,MIN,60,58,26,23,8,158,1632,1474,0.903,2.72,2,8.3,3489,31,0.534,13,109,-13.19,0,1,1,4
5,2010,Jonathan Bernier\bernijo01,21,LAK,3,3,3,0,0,4,94,90,0.957,1.3,1,1.1,185,2,0.667,0,,,0,1,1,0
6,2010,Martin Biron\bironma01,32,NYI,29,26,9,14,4,89,859,770,0.896,3.27,1,3.7,1634,9,0.346,3,117,-12.78,0,1,1,2
7,2010,Brian Boucher\bouchbr01,33,PHI,33,26,9,18,3,80,796,716,0.899,2.76,1,3.7,1742,15,0.577,7,113,-9.37,0,1,1,2
8,2010,Martin Brodeur*\brodema01,37,NJD,77,76,45,25,6,168,2004,1836,0.916,2.24,9,13.2,4499,43,0.566,14,94,9.82,0,3,3,6
9,2010,Mike Brodeur\brodemi01,26,OTT,3,3,3,0,0,3,87,84,0.966,1,1,1.1,180,3,1,0,,,0,0,0,0
10,2010,Ilya Bryzgalov\bryzgil01,29,PHX,69,68,42,20,6,156,1961,1805,0.92,2.29,8,13.9,4084,43,0.632,10,90,18,0,1,1,4
11,2010,Peter Budaj\budajpe01,27,COL,15,11,5,5,2,32,386,354,0.917,2.64,1,2.6,728,8,0.727,1,93,2.25,0,1,1,0
12,2010,Scott Clemmensen\clemmsc01,32,FLA,23,20,9,8,2,59,668,609,0.912,2.91,1,4,1215,10,0.5,3,100,0.27,0,0,0,0
13,2010,Matt Climie\climima01,26,DAL,1,1,0,1,0,5,38,33,0.868,5,0,0,60,0,0,0,,,0,0,0,0
14,2010,Ty Conklin\conklty01,33,STL,26,21,10,10,2,60,764,704,0.921,2.48,4,5.5,1451,13,0.619,2,89,7.79,0,1,1,4
15,2010,Corey Crawford\crawfco01,25,CHI,1,1,0,1,0,3,35,32,0.914,3.04,0,0.2,59,1,1,0,,,0,0,0,0
16,2010,John Curry\curryjo01,25,PIT,1,1,0,1,0,5,14,9,0.643,12.25,0,-0.4,24,0,0,1,,,0,0,0,0
17,2010,Yann Danis\danisya01,28,NJD,12,6,3,2,1,16,207,191,0.923,2.05,0,1.5,467,3,0.5,1,,,0,0,0,0
18,2010,Jeff Deslauriers\drouije01,25,EDM,48,47,16,28,4,152,1529,1377,0.901,3.26,3,7.3,2798,21,0.447,11,112,-16.33,0,3,3,8
19,2010,Rick DiPietro\dipieri01,28,NYI,8,6,2,5,0,20,201,181,0.9,2.6,1,1,462,3,0.5,0,,,0,1,1,2
20,2010,Wade Dubielewicz\dubiewa01,31,MIN,3,1,1,1,0,5,34,29,0.853,2.98,0,0,101,0,0,1,,,0,0,0,0
21,2010,Devan Dubnyk\dubnyde01,23,EDM,19,16,4,10,2,64,579,515,0.889,3.57,0,2,1075,5,0.313,4,125,-12.62,0,0,0,0
22,2010,Jeremy Duchesne\ducheje01,23,PHI,1,0,0,0,0,1,4,3,0.75,3.59,0,-0.1,17,0,,0,,,0,0,0,0
23,2010,Brian Elliott\elliobr01,24,OTT,55,47,29,18,4,130,1424,1294,0.909,2.57,5,8.1,3038,25,0.532,9,103,-3.65,0,1,1,0
24,2010,Dan Ellis\ellisda01,29,NSH,31,28,15,13,1,77,848,771,0.909,2.69,1,4.9,1715,14,0.5,5,102,-1.76,0,1,1,4
25,2010,Ray Emery\emeryra01,27,PHI,29,29,16,11,1,74,783,709,0.905,2.64,3,4.2,1684,16,0.552,6,107,-4.52,0,1,1,2
26,2010,Jhonas Enroth\enrotjh01,21,BUF,1,1,0,1,0,4,37,33,0.892,4.12,0,0.1,58,0,0,0,,,0,0,0,0
27,2010,Erik Ersberg\ersbeer01,27,LAK,11,7,4,3,2,22,234,212,0.906,2.4,0,1.3,551,4,0.571,1,,,0,0,0,0
28,2010,Marc-Andre Fleury\fleurma01,25,PIT,67,65,37,21,6,168,1772,1604,0.905,2.65,1,9.4,3798,30,0.462,11,107,-10.77,0,1,1,10
29,2010,Mathieu Garon\garonma01,32,CBJ,35,27,12,9,6,83,858,775,0.903,2.81,2,4.4,1771,17,0.63,7,109,-6.87,0,0,0,2
30,2010,Jean-Sebastien Giguere\gigueje01,32,TOT,35,32,10,15,7,96,1031,935,0.907,2.85,3,5.7,2023,14,0.438,4,105,-4.52,0,0,0,2
30,2010,Jean-Sebastien Giguere\gigueje01,32,ANA,20,17,4,8,5,58,580,522,0.9,3.14,1,2.7,1108,6,0.353,3,113,-6.54,0,0,0,2
30,2010,Jean-Sebastien Giguere\gigueje01,32,TOR,15,15,6,7,2,38,451,413,0.916,2.49,2,2.9,915,8,0.533,1,95,2.02,0,0,0,0
