Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2016,Jake Allen\allenja01,25,STL,47,44,26,15,3,101,1260,1159,0.92,2.35,6,8.2,2583,26,0.591,6,94,6.28,0,0,0,0
2,2016,Frederik Andersen\anderfr01,26,ANA,43,37,22,9,7,88,1086,998,0.919,2.3,3,7,2298,24,0.649,5,95,4.46,0,1,1,2
3,2016,Craig Anderson\andercr01,34,OTT,60,60,31,23,5,161,1915,1754,0.916,2.78,4,11.6,3477,31,0.517,8,99,2.05,0,2,2,0
4,2016,Richard Bachman\bachmri01,28,VAN,1,1,1,0,0,3,31,28,0.903,3.01,0,0.1,60,0,0,0,,,0,0,0,0
5,2016,Niklas Backstrom\backsni01,37,CGY,4,3,2,2,0,13,109,96,0.881,3.35,0,0.2,233,2,0.667,1,,,0,0,0,0
6,2016,Jonathan Bernier\bernijo01,27,TOR,38,36,12,21,3,103,1114,1011,0.908,2.88,3,5.6,2147,19,0.528,8,109,-8.15,0,0,0,2
7,2016,Reto Berra\berrare01,29,COL,14,12,5,8,0,29,374,345,0.922,2.41,2,2.5,721,7,0.583,2,91,2.84,0,1,1,2
8,2016,Jean-Francois Berube\berubje02,24,NYI,7,6,3,2,1,18,210,192,0.914,2.71,0,1.2,399,4,0.667,1,,,0,0,0,0
9,2016,Jordan Binnington\binnijo01,22,STL,1,0,0,0,0,1,4,3,0.75,4.69,0,-0.1,13,0,,0,,,0,0,0,0
10,2016,Ben Bishop\bishobe01,29,TBL,61,60,35,21,4,123,1672,1549,0.926,2.06,6,12.2,3585,37,0.617,4,86,19.36,0,1,1,4
11,2016,Sergei Bobrovsky\bobrose01,27,CBJ,37,37,15,19,1,97,1049,952,0.908,2.75,1,5.3,2116,18,0.486,8,109,-7.69,0,2,2,2
12,2016,Laurent Brossoit\brossla01,22,EDM,5,5,0,4,1,18,142,124,0.873,3.61,0,0.1,300,1,0.2,2,,,0,0,0,0
13,2016,Peter Budaj\budajpe01,33,LAK,1,1,1,0,0,4,28,24,0.857,3.85,0,0,62,0,0,0,,,0,0,0,0
14,2016,Mike Condon\condomi01,25,MTL,55,51,21,25,6,141,1458,1317,0.903,2.71,1,6.6,3123,24,0.471,9,114,-16.86,0,0,0,0
15,2016,Pheonix Copley\copleph01,24,STL,1,0,0,0,0,1,6,5,0.833,2.46,0,0,24,0,,0,,,0,0,0,0
16,2016,Corey Crawford\crawfco01,31,CHI,58,58,35,18,5,131,1718,1587,0.924,2.37,7,12,3323,40,0.69,9,90,15.27,0,1,1,2
17,2016,Yann Danis\danisya01,34,NJD,2,0,0,1,0,4,18,14,0.778,4.75,0,-0.2,51,0,,0,,,0,0,0,0
18,2016,Scott Darling\darlisc01,27,CHI,29,24,12,8,4,67,784,717,0.915,2.58,1,4.6,1560,13,0.542,5,100,-0.25,0,0,0,0
19,2016,Louis Domingue\dominlo01,23,ARI,39,36,15,18,5,101,1142,1041,0.912,2.75,2,6.3,2206,20,0.556,5,104,-3.77,0,1,1,0
20,2016,Chris Driedger\driedch01,21,OTT,1,0,0,0,0,0,11,11,1,0,0,0.2,32,0,,0,,,0,0,0,0
21,2016,Devan Dubnyk\dubnyde01,29,MIN,67,66,32,26,6,150,1829,1679,0.918,2.33,5,11.5,3861,34,0.515,5,96,5.73,0,0,0,8
22,2016,Brian Elliott\elliobr01,30,STL,42,38,23,8,6,78,1113,1035,0.93,2.07,4,8.6,2261,26,0.684,6,82,16.76,0,0,0,2
23,2016,Jhonas Enroth\enrotjh01,27,LAK,16,13,7,5,1,31,398,367,0.922,2.17,2,2.7,856,8,0.615,1,91,2.89,0,0,0,0
24,2016,Marc-Andre Fleury\fleurma01,31,PIT,58,58,35,17,6,132,1665,1533,0.921,2.29,5,11,3463,33,0.569,5,93,9.76,0,1,1,2
25,2016,Anton Forsberg\forsban01,23,CBJ,4,3,1,3,0,9,97,88,0.907,3.03,0,0.5,178,1,0.333,0,,,0,0,0,0
26,2016,Christopher Gibson\gibsoch01,23,NYI,4,2,1,1,1,11,93,82,0.882,3.4,0,0.2,194,0,0,1,,,0,0,0,0
