Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
22,2008,Ray Emery\emeryra01,25,OTT,31,26,12,13,4,88,800,712,0.89,3.13,0,3.2,1689,11,0.423,5,121,-15.33,0,0,0,6
23,2008,Erik Ersberg\ersbeer01,25,LAK,14,13,6,5,3,33,452,419,0.927,2.48,2,3.7,799,8,0.615,2,80,8.06,0,0,0,0
24,2008,Manny Fernandez\fernama01,33,BOS,4,4,2,2,0,16,95,79,0.832,3.93,1,-0.3,244,1,0.25,3,,,0,0,0,0
25,2008,Marc-Andre Fleury\fleurma01,23,PIT,35,33,19,10,2,72,909,837,0.921,2.33,4,6.9,1857,22,0.667,7,87,10.58,0,1,1,0
26,2008,Mathieu Garon\garonma01,30,EDM,47,44,26,18,1,118,1359,1241,0.913,2.66,4,9,2658,25,0.568,9,96,5.46,0,0,0,8
27,2008,Martin Gerber\gerbema01,33,OTT,57,55,30,18,4,145,1619,1474,0.91,2.72,2,10.3,3197,27,0.491,11,99,2.07,0,2,2,6
28,2008,Jean-Sebastien Giguere\gigueje01,30,ANA,58,57,35,17,6,117,1508,1391,0.922,2.12,4,11.7,3310,38,0.667,8,85,19.99,0,0,0,4
29,2008,John Grahame\grahajo01,32,CAR,17,12,5,7,1,53,424,371,0.875,3.75,0,0.9,848,3,0.25,4,138,-14.48,0,1,1,4
30,2008,Thomas Greiss\greisth01,22,SJS,3,2,0,1,1,7,50,43,0.86,3.26,0,0,129,0,0,0,,,0,0,0,0
31,2008,Jaroslav Halak\halakja01,22,MTL,6,4,2,1,1,10,151,141,0.934,2.11,1,1.4,285,2,0.5,0,,,0,0,0,0
32,2008,Josh Harding\hardijo01,23,MIN,29,25,11,15,2,77,838,761,0.908,2.94,1,5.1,1571,12,0.48,4,101,-0.87,0,1,1,0
33,2008,Dominik Hasek*\hasekdo01,43,DET,41,40,27,10,3,84,855,771,0.902,2.14,5,4.5,2350,19,0.475,6,108,-6.33,0,1,1,12
34,2008,Johan Hedberg\hedbejo01,34,ATL,36,32,14,15,3,111,1026,915,0.892,3.46,1,4.3,1927,12,0.375,8,119,-17.8,0,1,1,16
35,2008,Jonas Hiller\hillejo01,25,ANA,23,18,10,7,1,42,578,536,0.927,2.06,0,4.8,1223,12,0.667,1,80,10.51,0,1,1,0
36,2008,Johan Holmqvist\holmqjo01,29,TOT,47,47,21,16,6,129,1164,1035,0.889,3.04,2,4.5,2549,19,0.404,17,122,-23.26,0,1,1,0
36,2008,Johan Holmqvist\holmqjo01,29,TBL,45,45,20,16,6,124,1129,1005,0.89,3.01,2,4.5,2469,18,0.4,16,121,-21.44,0,1,1,0
36,2008,Johan Holmqvist\holmqjo01,29,DAL,2,2,1,0,0,5,35,30,0.857,3.75,0,0,80,1,0.5,1,,,0,0,0,0
37,2008,Jimmy Howard\howarja02,23,DET,4,2,0,2,0,7,95,88,0.926,2.13,0,0.8,197,1,0.5,0,,,0,0,0,0
38,2008,Cristobal Huet\huetcr01,32,TOT,52,51,32,14,6,118,1479,1361,0.92,2.32,4,11.1,3049,31,0.608,6,88,16.36,0,2,2,0
38,2008,Cristobal Huet\huetcr01,32,MTL,39,38,21,12,6,97,1150,1053,0.916,2.56,2,8,2278,22,0.579,5,93,7.47,0,1,1,0
38,2008,Cristobal Huet\huetcr01,32,WSH,13,13,11,2,0,21,329,308,0.936,1.63,2,3.1,771,9,0.692,1,70,8.89,0,1,1,0
39,2008,Brent Johnson\johnsbr02,30,WSH,19,17,7,8,2,46,500,454,0.908,2.67,0,3,1032,8,0.471,3,101,-0.58,0,0,0,0
40,2008,Curtis Joseph\josepcu01,40,CGY,9,5,3,2,0,17,181,164,0.906,2.55,0,1.1,400,3,0.6,2,,,0,0,0,2
41,2008,Matt Keetley\keetlma01,21,CGY,1,0,0,0,0,0,2,2,1,0,0,0,9,0,,0,,,0,0,0,0
42,2008,Nikolai Khabibulin\khabini01,35,CHI,50,48,23,20,6,127,1389,1262,0.909,2.63,2,8.5,2892,24,0.5,8,101,-0.82,0,2,2,4
43,2008,Miikka Kiprusoff\kiprumi01,31,CGY,76,76,39,26,10,197,2096,1899,0.906,2.69,2,12.2,4398,38,0.5,16,103,-6.59,0,2,2,8
44,2008,Olaf Kolzig\kolziol01,37,WSH,54,52,25,21,6,153,1423,1270,0.892,2.91,1,6,3154,23,0.442,11,118,-23.73,0,2,2,8
45,2008,Jason LaBarbera\labarja01,28,LAK,45,42,17,23,2,121,1341,1220,0.91,3,1,8.4,2421,20,0.476,9,99,0.82,0,0,0,2
46,2008,Dan LaCosta\lacosda01,21,CBJ,1,0,0,0,0,0,5,5,1,0,0,0.1,13,0,,0,,,0,0,0,0
