Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2009,Craig Anderson\andercr01,27,FLA,31,27,15,7,5,74,977,903,0.924,2.71,3,7.6,1636,16,0.593,6,83,15.4,0,1,1,2
2,2009,Alex Auld\auldal01,28,OTT,43,38,16,18,7,101,1141,1040,0.911,2.47,1,7.2,2449,22,0.579,4,97,3.41,0,0,0,2
3,2009,Niklas Backstrom\backsni01,30,MIN,71,71,37,24,8,159,2059,1900,0.923,2.33,8,15.6,4088,47,0.662,9,84,29.42,0,0,0,6
4,2009,Martin Biron\bironma01,31,PHI,55,53,29,19,5,146,1718,1572,0.915,2.76,2,11.5,3177,29,0.547,7,93,11.21,0,4,4,0
5,2009,Ben Bishop\bishobe01,22,STL,6,3,1,1,1,12,112,100,0.893,2.94,0,0.5,245,1,0.333,0,,,0,0,0,0
6,2009,Brian Boucher\bouchbr01,32,SJS,22,20,12,6,3,47,563,516,0.917,2.18,2,3.9,1291,10,0.5,1,91,4.52,0,0,0,2
7,2009,Martin Brodeur*\brodema01,36,NJD,31,30,19,9,3,73,870,797,0.916,2.42,5,5.9,1814,20,0.667,5,92,6.61,0,0,0,4
8,2009,Ilya Bryzgalov\bryzgil01,28,PHX,65,62,26,31,6,187,1994,1807,0.906,2.98,3,11.4,3760,33,0.532,13,102,-4.53,0,2,2,4
9,2009,Peter Budaj\budajpe01,26,COL,56,55,20,29,5,154,1531,1377,0.899,2.86,2,7.6,3232,27,0.491,14,110,-13.9,0,1,1,0
10,2009,Scott Clemmensen\clemmsc01,31,NJD,40,39,25,13,1,94,1138,1044,0.917,2.39,2,7.9,2356,22,0.564,5,90,10.14,0,0,0,2
11,2009,Matt Climie\climima01,25,DAL,3,3,2,1,0,9,85,76,0.894,2.92,0,0.4,185,1,0.333,1,,,0,0,0,0
12,2009,Ty Conklin\conklty01,32,DET,40,36,25,11,2,94,1033,939,0.909,2.51,6,6.2,2246,18,0.5,6,99,0.53,0,0,0,4
13,2009,John Curry\curryjo01,24,PIT,3,2,2,1,0,6,69,63,0.913,2.4,0,0.4,150,1,0.5,0,,,0,0,0,0
14,2009,Yann Danis\danisya01,27,NYI,31,29,10,17,3,84,933,849,0.91,2.86,2,5.7,1760,18,0.621,7,98,1.38,0,0,0,0
15,2009,Marc Denis\denisma01,31,MTL,1,0,0,0,0,1,7,6,0.857,3,0,0,20,0,,0,,,0,0,0,0
16,2009,Jeff Deslauriers\drouije01,24,EDM,10,7,4,3,0,30,302,272,0.901,3.34,0,1.5,540,4,0.571,2,,,0,1,1,0
