Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Justin Abdelkader\abdelju01,28,DET,LW,82,19,23,42,-16,120,3.8,13,6,0,4,16,7,0,155,1512,18:26,44,207,5,9
Noel Acciari\acciano01,24,BOS,C,19,0,1,1,-4,8,-0.4,0,0,0,0,1,0,0,18,188,9:54,4,52,60,76
Kenny Agostino\agostke01,23,CGY,LW,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,3,27,13:33,0,3,0,0
Andrew Agozzino\agozzan01,25,COL,LW,9,0,2,2,-1,0,0.1,0,0,0,0,1,1,0,3,77,8:34,4,8,24,21
Karl Alzner\alzneka01,27,WSH,D,82,4,17,21,14,26,5.4,4,0,0,1,17,0,0,75,1753,21:23,207,135,0,0
Josh Anderson\anderjo05,21,CBJ,RW,12,1,3,4,0,2,0.3,1,0,0,0,3,0,0,11,128,10:42,4,40,0,0
Joakim Andersson\anderjo03,26,DET,C,29,1,2,3,1,6,0.1,1,0,0,0,2,0,0,17,262,9:01,5,14,32,38
Andy Andreoff\andrean01,24,LAK,LW,60,8,2,10,1,76,1.2,8,0,0,1,2,0,0,46,528,8:48,11,82,134,134
Sven Andrighetto\andrisv01,22,MTL,RW,44,7,10,17,1,6,1.7,6,1,0,0,9,1,0,74,621,14:07,17,71,3,4
Mike Angelidis\angelmi01,30,TBL,LW,4,1,0,1,2,5,0.3,1,0,0,1,0,0,0,1,36,9:00,1,6,10,21
Artem Anisimov\anisiar01,27,CHI,C,77,20,22,42,8,12,4.9,12,5,3,1,16,5,1,121,1393,18:05,40,53,507,641
Josh Archibald\archijo01,23,PIT,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5:02,1,1,0,0
Mark Arcobello\arcobma01,27,TOR,C,20,3,1,4,0,0,0.4,3,0,0,0,1,0,0,43,254,12:41,3,22,132,110
Joel Armia\armiajo01,22,WPG,RW,43,4,6,10,2,12,0.8,4,0,0,1,4,0,2,52,523,12:10,20,59,0,2
Viktor Arvidsson\arvidvi01,22,NSH,LW,56,8,8,16,-8,35,1.2,7,1,0,3,8,0,0,139,694,12:24,35,27,0,0
Andreas Athanasiou\athanan01,21,DET,C,37,9,5,14,1,5,2.1,8,0,1,1,5,0,0,53,334,9:01,8,17,53,76
Cam Atkinson\atkinca01,26,CBJ,RW,81,27,26,53,-8,22,6.2,21,4,2,3,20,6,0,226,1442,17:48,40,47,2,2
David Backes\backeda01,31,STL,C,79,21,24,45,4,83,5.2,13,8,0,3,19,5,0,168,1519,19:14,63,239,620,572
Mikael Backlund\backlmi01,26,CGY,C,82,21,26,47,10,28,5.5,15,3,3,4,19,6,1,155,1347,16:26,51,68,539,604
Nicklas Backstrom\backsni02,28,WSH,C,75,20,50,70,17,36,8.3,17,3,0,4,23,27,0,129,1439,19:11,50,51,659,698
Sven Baertschi\baertsv01,23,VAN,LW,69,15,13,28,-14,14,2.8,13,2,0,1,8,5,0,108,929,13:27,36,30,0,1
