Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2011,Craig Anderson\andercr01,29,TOT,51,49,24,20,4,135,1546,1411,0.913,2.83,2,9.2,2865,29,0.592,10,100,-0.32,0,1,1,4
1,2011,Craig Anderson\andercr01,29,COL,33,31,13,15,3,99,957,858,0.897,3.28,0,3.9,1810,15,0.484,9,119,-15.63,0,1,1,4
1,2011,Craig Anderson\andercr01,29,OTT,18,18,11,5,1,36,589,553,0.939,2.05,2,5.3,1055,14,0.778,1,70,15.31,0,0,0,0
2,2011,Alex Auld\auldal01,30,MTL,16,12,6,2,2,33,383,350,0.914,2.64,0,2.3,749,6,0.5,2,99,0.37,0,1,1,2
3,2011,Richard Bachman\bachmri01,23,DAL,1,0,0,0,0,0,4,4,1,0,0,0.1,10,0,,0,,,0,0,0,0
4,2011,Niklas Backstrom\backsni01,32,MIN,51,50,22,23,5,132,1566,1434,0.916,2.66,3,9.8,2978,29,0.58,9,97,4.42,0,1,1,2
5,2011,Jonathan Bernier\bernijo01,22,LAK,25,22,11,8,3,57,652,595,0.913,2.48,3,3.9,1378,14,0.636,5,100,-0.2,0,0,0,0
6,2011,Martin Biron\bironma01,33,NYR,17,15,8,6,0,33,426,393,0.923,2.13,0,3,928,10,0.667,1,89,4.11,0,0,0,0
7,2011,Ben Bishop\bishobe01,24,STL,7,5,3,4,0,17,168,151,0.899,2.77,1,0.7,369,2,0.4,3,,,0,0,0,0
8,2011,Sergei Bobrovsky\bobrose01,22,PHI,54,52,28,13,8,130,1527,1397,0.915,2.59,0,9.4,3017,34,0.654,6,98,3.03,0,2,2,2
9,2011,Brian Boucher\bouchbr01,34,PHI,34,29,18,10,4,76,902,826,0.916,2.42,0,5.7,1885,17,0.586,3,97,2.58,0,0,0,0
10,2011,Martin Brodeur*\brodema01,38,NJD,56,54,23,26,3,127,1313,1186,0.903,2.45,6,6.3,3116,28,0.519,9,111,-12.62,0,2,2,2
11,2011,Mike Brodeur\brodemi01,27,OTT,4,1,0,1,0,7,42,35,0.833,4.34,0,-0.1,97,0,0,1,,,0,0,0,0
12,2011,Ilya Bryzgalov\bryzgil01,30,PHX,68,67,36,20,10,168,2125,1957,0.921,2.48,7,14.7,4060,40,0.597,6,91,17.12,0,0,0,2
13,2011,Peter Budaj\budajpe01,28,COL,45,39,15,21,4,130,1234,1104,0.895,3.2,1,4.7,2439,13,0.333,7,121,-22.5,0,1,1,6
14,2011,Scott Clemmensen\clemmsc01,33,FLA,31,25,8,11,7,74,833,759,0.911,2.62,1,4.8,1696,10,0.4,4,102,-1.43,0,1,1,2
15,2011,Matt Climie\climima01,27,PHX,1,0,0,0,0,1,16,15,0.938,1.85,0,0.1,32,0,,0,,,0,0,0,0
16,2011,Ty Conklin\conklty01,34,STL,25,20,8,8,4,69,582,513,0.881,3.22,2,1.3,1285,6,0.3,7,136,-18.3,0,0,0,4
17,2011,Corey Crawford\crawfco01,26,CHI,57,55,33,18,6,128,1545,1417,0.917,2.3,4,10,3337,34,0.618,6,95,6.59,0,1,1,2
18,2011,Mark Dekanich\dekanma01,24,NSH,1,0,0,0,0,3,25,22,0.88,3.6,0,0.1,50,0,,0,,,0,0,0,0
19,2011,Cedrick Desjardins\desjace01,25,TBL,2,2,2,0,0,2,63,61,0.968,1,0,0.8,120,2,1,0,,,0,0,0,0
20,2011,Rick DiPietro\dipieri01,29,NYI,26,25,8,14,4,88,773,685,0.886,3.44,1,2.2,1533,9,0.36,7,131,-20.66,0,1,1,25
21,2011,Devan Dubnyk\dubnyde01,24,EDM,35,33,12,13,8,93,1103,1010,0.916,2.71,2,6.9,2061,18,0.545,6,97,3.09,0,0,0,2
22,2011,Brian Elliott\elliobr01,25,TOT,55,51,15,27,9,166,1551,1385,0.893,3.34,3,5.6,2983,17,0.333,15,123,-30.88,0,0,0,0
22,2011,Brian Elliott\elliobr01,25,OTT,43,39,13,19,8,122,1147,1025,0.894,3.19,3,4.2,2293,14,0.359,12,122,-22.08,0,0,0,0
22,2011,Brian Elliott\elliobr01,25,COL,12,12,2,8,1,44,404,360,0.891,3.83,0,1.4,690,3,0.25,3,125,-8.81,0,0,0,0
23,2011,Dan Ellis\ellisda01,30,TOT,44,37,21,10,7,111,1089,978,0.898,2.77,2,4.6,2408,16,0.432,10,117,-16.13,0,1,1,0
23,2011,Dan Ellis\ellisda01,30,TBL,31,26,13,7,6,82,741,659,0.889,2.93,2,2.4,1679,10,0.385,8,127,-17.45,0,1,1,0
23,2011,Dan Ellis\ellisda01,30,ANA,13,11,8,3,1,29,348,319,0.917,2.39,0,2.2,729,6,0.545,2,96,1.32,0,0,0,0
24,2011,Ray Emery\emeryra01,28,ANA,10,9,7,2,0,20,272,252,0.926,2.28,0,2.1,527,5,0.556,0,,,0,0,0,0
25,2011,Jhonas Enroth\enrotjh01,22,BUF,14,13,9,2,2,35,377,342,0.907,2.73,1,2,769,7,0.538,2,107,-2.16,0,0,0,0
26,2011,Marc-Andre Fleury\fleurma01,26,PIT,65,62,36,20,5,143,1742,1599,0.918,2.32,3,11.4,3695,37,0.597,10,94,8.76,0,1,1,10
27,2011,Mathieu Garon\garonma01,33,CBJ,36,29,10,14,6,88,887,799,0.901,2.72,3,4,1938,10,0.345,5,114,-10.73,0,1,1,2
