Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Derek MacKenzie\mackede01,29,CBJ,C,63,9,14,23,14,22,2.8,8,0,1,1,12,1,1,76,683,10:51,26,159,246,227
Brett Maclean\maclebr02,22,PHX,LW,13,2,1,3,0,2,0.3,1,1,0,2,1,0,0,16,114,8:46,0,8,1,1
John Madden\maddejo01,37,MIN,C,76,12,13,25,-9,10,1.8,10,1,1,4,12,1,0,107,1166,15:20,59,43,504,484
Olivier Magnan\magnaol01,24,NJD,D,18,0,0,0,-4,4,0.2,0,0,0,0,0,0,0,8,283,15:43,15,29,0,1
Adam Mair\mairad01,31,NJD,C,65,1,3,4,-16,45,-0.9,1,0,0,0,3,0,0,58,591,9:06,16,63,57,55
Manny Malhotra\malhoma01,30,VAN,C,72,11,19,30,9,22,2.7,7,3,1,2,15,3,1,111,1164,16:10,74,57,778,483
Evgeni Malkin\malkiev01,24,PIT,C,43,15,22,37,-4,18,4.1,10,5,0,3,13,9,0,182,852,19:49,11,32,77,123
Ryan Malone\malonry01,31,TBL,LW,54,14,24,38,-3,51,4.1,5,9,0,1,15,9,0,149,866,16:02,19,125,56,87
Mark Mancari\mancama01,25,BUF,RW,20,1,7,8,-1,12,0.5,0,1,0,0,6,1,0,43,246,12:19,8,16,3,3
Paul Mara\marapa01,31,TOT,D,53,1,5,6,1,88,1.9,1,0,0,1,5,0,0,50,969,18:17,85,88,0,0
Brad Marchand\marchbr03,22,BOS,C,77,21,20,41,25,51,5.8,14,2,5,2,18,1,1,149,1077,13:59,30,89,8,17
Todd Marchant\marchto01,37,ANA,C,79,1,7,8,-18,26,-1.6,1,0,0,0,5,1,1,63,1050,13:17,62,114,263,285
Andrei Markov\markoan01,32,MTL,D,7,1,2,3,2,4,0.8,1,0,0,1,1,1,0,20,160,22:55,5,2,0,0
Patrick Marleau\marlepa01,31,SJS,C,82,37,36,73,-3,16,8.8,24,11,2,9,20,15,1,279,1705,20:47,31,86,288,261
Matt Martin\martima02,21,NYI,LW,68,5,9,14,-13,147,0.3,5,0,0,1,8,0,1,60,745,10:57,47,294,10,17
Paul Martin\martipa01,29,PIT,D,77,3,21,24,9,16,5.7,1,2,0,1,12,8,1,104,1799,23:22,129,45,0,0
Radek Martinek\martira01,34,NYI,D,64,3,13,16,-5,35,2.9,2,1,0,0,13,0,0,97,1334,20:51,128,69,0,0
Alec Martinez\martial01,23,LAK,D,60,5,11,16,11,18,4.6,4,1,0,0,7,4,0,74,917,15:17,73,69,0,0
Brandon Mashinter\mashibr01,22,SJS,LW,13,0,0,0,-2,17,-0.2,0,0,0,0,0,0,0,5,83,6:23,1,16,0,0
Jon Matsumoto\matsujo01,24,CAR,C,13,2,0,2,-4,4,0.1,2,0,0,0,0,0,0,11,92,7:04,4,13,30,53
Shawn Matthias\matthsh01,22,FLA,C,51,6,10,16,0,16,1.4,6,0,0,0,8,2,0,90,604,11:50,20,60,188,182
Greg Mauldin\mauldgr01,28,COL,C,29,5,5,10,5,8,1.3,3,0,2,1,5,0,0,46,306,10:33,11,56,2,5
Ben Maxwell\maxwebe01,22,ATL,C,12,1,1,2,-7,9,-0.2,1,0,0,0,1,0,0,13,144,12:00,2,1,16,20
Jamal Mayers\mayerja01,36,SJS,RW,78,3,11,14,3,124,0.7,3,0,0,0,11,0,0,62,693,8:53,19,105,53,45
Maksim Mayorov\mayorma01,21,CBJ,LW,5,1,0,1,0,0,0.1,1,0,0,0,0,0,0,3,44,8:42,0,4,0,0
Kenndal McArdle\mcardke01,24,FLA,LW,11,0,0,0,-3,16,-0.3,0,0,0,0,0,0,0,6,109,9:57,3,36,1,2
Jamie McBain\mcbaija02,22,CAR,D,76,7,23,30,-8,32,4.7,6,1,0,2,16,7,0,95,1452,19:06,111,41,0,0
Bryan McCabe\mccabbr01,35,TOT,D,67,7,21,28,2,34,5.7,3,4,0,0,12,9,0,122,1311,19:34,72,86,0,0
John McCarthy\mccarjo01,24,SJS,LW,37,2,2,4,-8,8,-0.3,2,0,0,0,2,0,0,41,323,8:45,9,28,13,23
Jay McClement\mccleja01,27,TOT,C,80,7,13,20,-21,30,-0.4,6,1,0,1,12,0,1,127,1335,16:42,63,75,595,557
Cody McCormick\mccorco01,27,BUF,C,81,8,12,20,2,142,1.5,8,0,0,1,11,1,0,104,887,10:57,60,108,132,184
Ryan McDonagh\mcdonry01,21,NYR,D,40,1,8,9,16,14,3.3,1,0,0,1,6,0,2,27,750,18:44,69,56,0,0
Andy McDonald\mcdonan01,33,STL,C,58,20,30,50,18,26,6.5,14,5,1,3,18,12,0,180,1162,20:02,27,40,207,142
Jamie McGinn\mcginja01,22,SJS,LW,49,1,5,6,-6,33,-0.5,1,0,0,0,5,0,0,63,568,11:35,17,101,8,3
Frazer McLaren\mclarfr01,23,SJS,LW,9,0,0,0,-1,22,-0.1,0,0,0,0,0,0,0,1,38,4:15,0,6,0,0
Cody McLeod\mcleoco01,26,COL,LW,71,5,3,8,-7,189,-0.2,3,2,0,0,3,0,0,73,694,9:47,20,147,3,5
