Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,TOI,ATOI,BLK,HIT,FOW,FOL
Spencer Abbott\abbotsp01,28,CHI,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,8:34,0,0,0,0
Justin Abdelkader\abdelju01,29,DET,LW,64,7,14,21,-20,50,0.7,2,5,0,1,11,2,1,104,1066,16:40,27,144,5,12
Pontus Aberg\abergpo01,23,NSH,LW,15,1,1,2,-2,4,-0.1,1,0,0,0,1,0,0,12,185,12:20,2,9,1,0
Noel Acciari\acciano01,25,BOS,C,29,2,3,5,3,16,0.5,2,0,0,0,3,0,0,24,301,10:22,5,80,11,18
Kenny Agostino\agostke01,24,STL,LW,7,1,2,3,0,2,0.3,1,0,0,0,1,1,0,17,89,12:47,3,9,0,0
Sebastian Aho\ahose01,19,CAR,RW,82,24,25,49,-1,26,5.9,17,6,1,4,13,11,1,214,1377,16:47,14,51,17,18
Karl Alzner\alzneka01,28,WSH,D,82,3,10,13,23,28,4.6,3,0,0,0,10,0,0,81,1623,19:47,162,105,0,0
Josh Anderson\anderjo05,22,CBJ,RW,78,17,12,29,12,89,4,17,0,0,3,12,0,0,119,938,12:01,40,147,8,21
Rasmus Andersson\anderra01,20,CGY,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,19,18:33,2,4,0,0
Andy Andreoff\andrean01,25,LAK,LW,36,0,2,2,-2,70,-0.4,0,0,0,0,2,0,0,38,381,10:36,7,70,41,28
Sven Andrighetto\andrisv01,23,TOT,RW,46,7,17,24,1,12,2.5,5,2,0,0,15,2,0,68,643,13:58,22,40,7,3
Artem Anisimov\anisiar01,28,CHI,C,64,22,23,45,9,30,5.6,18,4,0,7,19,4,0,105,1142,17:51,27,18,416,506
Josh Archibald\archijo01,24,PIT,RW,10,3,0,3,3,4,0.6,2,0,1,0,0,0,0,11,109,10:52,2,28,0,1
Joel Armia\armiajo01,23,WPG,RW,57,10,9,19,-8,20,1.2,6,0,4,1,7,2,0,111,863,15:08,30,68,3,4
Viktor Arvidsson\arvidvi01,23,NSH,LW,80,31,30,61,16,28,8.7,22,4,5,6,23,5,2,246,1372,17:09,45,23,4,12
Andreas Athanasiou\athanan01,22,DET,C,64,18,11,29,-7,28,3.6,17,1,0,3,8,3,0,120,862,13:28,21,30,37,46
Cam Atkinson\atkinca01,27,CBJ,RW,82,35,27,62,13,22,8.9,22,10,3,9,16,11,0,240,1483,18:05,34,33,2,1
Brady Austin\austibr01,23,BUF,D,5,0,0,0,0,4,0.1,0,0,0,0,0,0,0,8,80,16:05,0,6,0,0
Yohann Auvitu\auvityo01,27,NJD,D,25,2,2,4,1,2,1.3,2,0,0,0,1,1,0,54,390,15:36,9,20,0,0
David Backes\backeda01,32,BOS,RW,74,17,21,38,2,69,4.5,15,2,0,2,16,5,0,175,1267,17:07,47,225,60,63
Mikael Backlund\backlmi01,27,CGY,C,81,22,31,53,9,36,6.2,15,7,0,7,19,9,3,197,1426,17:36,41,55,711,768
Nicklas Backstrom\backsni02,29,WSH,C,82,23,63,86,17,38,9.9,15,8,0,5,36,27,0,162,1497,18:16,33,45,685,648
Sven Baertschi\baertsv01,24,VAN,LW,68,18,17,35,-6,8,4.1,16,2,0,5,13,4,0,114,1080,15:53,29,52,1,0
Casey Bailey\baileca01,25,OTT,RW,7,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,10,56,8:00,4,4,0,1
Josh Bailey\bailejo01,27,NYI,RW,82,13,43,56,5,12,5.2,10,3,0,1,34,9,0,173,1506,18:22,53,37,8,7
