Rk,Year,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,2015,Jake Allen\allenja01,24,STL,37,32,22,7,4,79,909,830,0.913,2.28,4,5.3,2077,17,0.531,6,102,-1.41,0,2,2,2
2,2015,Frederik Andersen\anderfr01,25,ANA,54,53,35,12,5,123,1436,1313,0.914,2.38,3,8.6,3106,32,0.604,9,100,-0.43,0,3,3,4
3,2015,Craig Anderson\andercr01,33,OTT,35,35,14,13,8,87,1134,1047,0.923,2.49,3,8,2093,17,0.486,2,90,9.79,0,0,0,4
4,2015,Richard Bachman\bachmri01,27,EDM,6,4,3,2,0,15,168,153,0.911,2.84,1,0.9,317,3,0.75,1,,,0,0,0,0
5,2015,Niklas Backstrom\backsni01,36,MIN,19,14,5,7,3,51,452,401,0.887,3.05,0,1.2,1005,2,0.143,4,132,-12.42,0,0,0,2
6,2015,Jonathan Bernier\bernijo01,26,TOR,58,55,21,28,7,152,1735,1583,0.912,2.87,2,10,3177,26,0.473,11,103,-3.91,0,1,1,0
7,2015,Reto Berra\berrare01,28,COL,19,12,5,4,1,33,403,370,0.918,2.65,1,2.6,746,5,0.417,2,96,1.4,0,0,0,0
8,2015,Ben Bishop\bishobe01,28,TBL,62,59,40,13,5,136,1620,1484,0.916,2.32,4,10,3519,33,0.559,8,98,2.27,0,4,4,4
9,2015,Sergei Bobrovsky\bobrose01,26,CBJ,51,49,30,17,3,134,1632,1498,0.918,2.68,2,10.4,2994,26,0.531,3,96,5.3,0,2,2,4
10,2015,Martin Brodeur*\brodema01,42,STL,7,5,3,3,0,17,169,152,0.899,2.87,1,0.7,356,2,0.4,2,,,0,0,0,0
11,2015,Laurent Brossoit\brossla01,21,EDM,1,1,0,1,0,2,51,49,0.961,2.01,0,0.6,60,1,1,0,,,0,0,0,0
12,2015,Ilya Bryzgalov\bryzgil01,34,ANA,8,6,1,4,1,23,150,127,0.847,4.19,0,-0.3,329,2,0.333,3,,,0,2,2,0
13,2015,Tyler Bunz\bunzty01,22,EDM,1,0,0,0,0,3,12,9,0.75,9,0,-0.2,20,0,,0,,,0,0,0,0
14,2015,Scott Clemmensen\clemmsc01,37,NJD,3,1,0,0,1,8,54,46,0.852,4.73,0,-0.1,102,0,0,0,,,0,0,0,0
15,2015,Corey Crawford\crawfco01,30,CHI,57,57,32,20,5,126,1661,1535,0.924,2.27,2,11.9,3333,38,0.667,4,89,15.77,0,1,1,8
16,2015,John Curry\curryjo01,30,MIN,2,1,0,0,1,5,25,20,0.8,4.18,0,-0.2,72,0,0,1,,,0,0,0,0
17,2015,Scott Darling\darlisc01,26,CHI,14,13,9,4,0,27,419,392,0.936,1.95,1,3.6,833,10,0.769,0,75,8.76,0,0,0,0
18,2015,Louis Domingue\dominlo01,22,ARI,7,4,1,2,1,14,158,144,0.911,2.73,0,0.9,308,3,0.75,0,,,0,0,0,0
19,2015,Chris Driedger\driedch01,20,OTT,1,0,0,0,0,0,10,10,1,0,0,0.2,23,0,,0,,,0,0,0,0
20,2015,Devan Dubnyk\dubnyde01,28,TOT,58,55,36,14,4,115,1625,1510,0.929,2.07,6,12.6,3328,36,0.655,4,83,23.7,0,2,2,2
20,2015,Devan Dubnyk\dubnyde01,28,MIN,39,39,27,9,2,68,1064,996,0.936,1.78,5,9.1,2293,28,0.718,2,75,22.82,0,2,2,2
