Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
16,Calgary Flames*,28.3,82,45,33,4,94,0.573,222,219,4,2,0.02,-0.04,5.38,162,163,52,258,20.16,51,277,81.59,8,5,11.7,10.7,2388,9.3,2354,0.907,5
17,Nashville Predators*,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4
18,New York Islanders,28.4,82,41,29,12,94,0.573,239,238,2,4,0.03,0.05,5.82,199,190,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5
19,Philadelphia Flyers,27.6,82,39,33,10,88,0.537,212,231,7,5,-0.17,0.04,5.4,154,172,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5
20,Carolina Hurricanes,26.8,82,36,31,15,87,0.53,212,230,3,6,-0.21,0.05,5.39,161,192,41,231,17.75,32,202,84.16,10,6,5.8,6.6,2493,8.5,2320,0.901,3
21,Winnipeg Jets,26.1,82,40,35,7,87,0.53,246,255,3,1,-0.11,-0.03,6.11,188,184,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5
22,Los Angeles Kings,29.1,82,39,35,8,86,0.524,199,201,2,4,-0.07,-0.02,4.88,148,160,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9
23,Florida Panthers,28.6,82,35,36,11,81,0.494,205,231,5,6,-0.3,0.03,5.32,152,187,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4
24,Detroit Red Wings,28.4,82,33,36,13,79,0.482,198,244,9,0,-0.41,0.04,5.39,157,190,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4
25,Dallas Stars,28.5,82,34,37,11,79,0.482,222,260,1,2,-0.48,-0.01,5.88,171,184,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3
26,Buffalo Sabres,26.4,82,33,37,12,78,0.476,199,231,2,6,-0.41,0.03,5.24,139,174,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3
27,Arizona Coyotes,27.3,82,30,42,10,70,0.427,191,258,6,2,-0.76,0.01,5.48,145,192,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3
28,New Jersey Devils,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,5.13,130,176,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3
29,Vancouver Canucks,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,5.11,144,183,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3
30,Colorado Avalanche,27.6,82,22,56,4,48,0.293,165,276,1,2,-1.32,0.05,5.38,130,210,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3
