Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Washington Capitals*,28.4,82,55,19,8,118,0.72,261,177,2,5,0.99,0,5.34,199,130,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12
2,Pittsburgh Penguins*,28.7,82,50,21,11,111,0.677,278,229,4,5,0.59,0.01,6.18,213,170,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5
3,Chicago Blackhawks*,29.4,82,50,23,9,109,0.665,240,212,4,1,0.32,-0.06,5.51,197,158,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4
4,Columbus Blue Jackets*,26.2,82,50,24,8,108,0.659,247,193,2,2,0.68,0.02,5.37,195,152,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8
5,Minnesota Wild*,28.3,82,49,25,8,106,0.646,263,206,3,2,0.63,-0.08,5.72,211,166,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5
6,Anaheim Ducks*,27.6,82,46,23,13,105,0.64,220,197,3,3,0.24,-0.04,5.09,164,147,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8
7,Montreal Canadiens*,28.8,82,47,26,9,103,0.628,223,198,3,2,0.31,-0.01,5.13,173,145,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5
8,Edmonton Oilers*,26.7,82,47,26,9,103,0.628,243,207,4,5,0.37,-0.06,5.49,183,159,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7
9,New York Rangers*,28.3,82,48,28,6,102,0.622,253,216,3,4,0.47,0.03,5.72,197,166,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7
10,San Jose Sharks*,29.6,82,46,29,7,99,0.604,219,200,2,1,0.21,-0.03,5.11,171,153,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3
11,St. Louis Blues*,28,82,46,29,7,99,0.604,233,216,2,2,0.17,-0.04,5.48,180,171,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8
12,Ottawa Senators*,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10
13,Boston Bruins*,28.8,82,44,31,7,95,0.579,232,209,2,3,0.27,0,5.38,169,165,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8
14,Toronto Maple Leafs*,26.2,82,40,27,15,95,0.579,250,234,1,8,0.11,0,5.9,186,183,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5
15,Tampa Bay Lightning,26.8,82,42,30,10,94,0.573,230,224,4,3,0.09,0.01,5.54,164,168,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3
