Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
15,St. Louis Blues,27.9,82,40,32,10,90,0.549,218,218,7,5,0.08,0.06,5.32,159,167,53,308,17.21,45,342,86.84,6,6,16.1,15.8,2445,8.9,2473,0.912,6
16,Calgary Flames,28.8,82,40,32,10,90,0.549,201,203,3,7,-0.03,0.04,4.93,150,147,43,268,16.04,54,305,82.3,7,1,13.9,13.2,2350,8.6,2372,0.914,4
17,Anaheim Ducks,27.9,82,39,32,11,89,0.543,233,243,5,8,-0.07,0.09,5.8,162,167,63,300,21,67,323,79.26,8,9,16.1,15.8,2472,9.4,2736,0.911,3
18,Philadelphia Flyers*,27.7,82,41,35,6,88,0.537,232,222,4,3,0.08,-0.06,5.54,158,157,68,318,21.38,57,334,82.93,5,7,16.6,15.3,2589,9,2346,0.905,5
19,Montreal Canadiens*,27.5,82,39,33,10,88,0.537,210,218,7,5,-0.14,-0.07,5.22,149,157,57,261,21.84,53,311,82.96,3,8,11.4,11.3,2345,9,2634,0.917,5
20,Dallas Stars,28.3,82,37,31,14,88,0.537,230,244,7,10,-0.12,0.09,5.78,160,171,61,328,18.6,65,288,77.43,8,8,11.7,12.7,2523,9.1,2559,0.905,4
21,New York Rangers,26.8,82,38,33,11,87,0.53,219,214,3,4,0,-0.05,5.28,159,158,55,301,18.27,50,318,84.28,5,6,14.1,13.2,2425,9,2450,0.913,5
22,Minnesota Wild,28.6,82,38,36,8,84,0.512,214,239,5,7,-0.26,0.07,5.52,151,173,59,309,19.09,53,306,82.68,3,13,11.3,11.2,2266,9.4,2415,0.901,3
23,Atlanta Thrashers,27.5,82,35,34,13,83,0.506,230,250,4,6,-0.33,-0.06,5.85,170,189,51,316,16.14,57,320,82.19,9,4,12.8,13,2409,9.5,2716,0.908,5
24,Carolina Hurricanes,28.9,82,35,37,10,80,0.488,226,251,4,5,-0.37,-0.05,5.82,163,181,56,329,17.02,62,320,80.63,7,8,11.8,11.8,2402,9.4,2574,0.902,1
25,Tampa Bay Lightning,27,82,34,36,12,80,0.488,213,253,4,7,-0.56,-0.03,5.68,148,180,63,326,19.33,67,336,80.06,2,6,16.8,16,2367,9,2575,0.902,3
26,Columbus Blue Jackets,26.1,82,32,35,15,79,0.482,214,249,2,10,-0.42,0.11,5.65,152,179,56,308,18.18,61,334,81.74,6,8,13.2,12.6,2338,9.2,2514,0.901,7
27,New York Islanders,28.3,82,34,37,11,79,0.482,214,258,8,6,-0.53,-0.02,5.76,158,184,49,306,16.01,71,300,76.33,7,3,11.6,12.2,2493,8.6,2619,0.901,3
28,Florida Panthers,28.1,82,32,37,13,77,0.47,202,234,6,10,-0.47,-0.03,5.32,151,167,44,309,14.24,59,286,79.37,7,8,11.9,12.8,2331,8.7,2800,0.916,8
29,Toronto Maple Leafs,27,82,30,38,14,74,0.451,210,263,4,4,-0.68,-0.03,5.77,162,183,44,315,13.97,73,288,74.65,4,6,13.3,13.5,2671,7.9,2440,0.892,5
30,Edmonton Oilers,27.1,82,27,47,8,62,0.378,206,278,8,6,-0.76,0.09,5.9,148,206,52,301,17.28,67,305,78.03,6,5,13.8,13.5,2321,8.9,2716,0.898,3
