Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Washington Capitals*,27.2,82,54,15,13,121,0.738,313,227,5,6,0.9,-0.14,6.59,230,152,79,313,25.24,67,316,78.8,4,8,11.6,11.2,2693,11.6,2535,0.91,3
2,San Jose Sharks*,29.3,82,51,20,11,113,0.689,257,209,7,6,0.65,0.05,5.68,184,151,65,309,21.04,49,324,84.88,8,9,14.1,13.1,2602,9.9,2571,0.919,3
3,Chicago Blackhawks*,26.6,82,52,22,8,112,0.683,262,203,9,6,0.77,0.02,5.67,197,159,52,294,17.69,40,266,84.96,13,4,11.3,11.7,2798,9.4,2058,0.901,11
4,Phoenix Coyotes*,28.2,82,50,25,7,107,0.652,211,196,14,6,0.34,0.06,4.96,162,141,46,314,14.65,49,317,84.54,3,6,11.3,10.8,2502,8.4,2427,0.919,8
5,Vancouver Canucks*,28.1,82,49,28,5,103,0.628,268,218,4,4,0.6,-0.01,5.93,191,155,68,323,21.05,59,320,81.56,8,6,15.5,15.1,2534,10.6,2419,0.91,5
6,New Jersey Devils*,30.5,82,48,27,7,103,0.628,216,186,6,5,0.31,-0.07,4.9,158,140,51,272,18.75,41,240,82.92,7,5,10.5,11.4,2459,8.8,2213,0.916,9
7,Detroit Red Wings*,30.3,82,44,24,14,102,0.622,223,207,6,9,0.23,0.07,5.24,156,163,59,307,19.22,43,267,83.9,8,1,8.8,9.9,2737,8.1,2413,0.914,4
8,Pittsburgh Penguins*,27.8,82,47,28,7,101,0.616,249,235,8,2,0.17,-0.07,5.9,186,175,56,326,17.18,52,327,84.1,7,8,14.6,14.7,2688,9.3,2350,0.9,1
9,Los Angeles Kings*,26.2,82,46,27,9,101,0.616,231,211,10,8,0.32,0.05,5.39,163,145,64,307,20.85,60,304,80.26,4,6,11.9,12.5,2389,9.7,2260,0.907,5
10,Nashville Predators*,27.6,82,47,29,6,100,0.61,217,221,8,4,0.06,0.06,5.34,165,156,47,286,16.43,59,258,77.13,5,5,8.7,9.9,2508,8.7,2396,0.908,8
11,Buffalo Sabres*,27.8,82,45,27,10,100,0.61,231,201,4,6,0.26,-0.08,5.27,172,160,55,313,17.57,38,284,86.62,4,3,11.2,11.7,2588,8.9,2573,0.922,5
12,Colorado Avalanche*,26.4,82,43,30,9,95,0.579,237,228,7,5,0.16,0.02,5.67,173,159,56,310,18.06,60,303,80.2,8,9,12.5,13.5,2287,10.4,2629,0.913,8
13,Ottawa Senators*,27.9,82,44,32,6,94,0.573,220,233,5,5,-0.22,-0.06,5.52,165,179,49,290,16.9,50,318,84.28,5,4,13.9,13.2,2436,9,2340,0.9,6
14,Boston Bruins*,28.1,82,39,30,13,91,0.555,196,191,10,9,0.01,-0.06,4.72,146,150,44,265,16.6,37,272,86.4,6,3,11.6,11.6,2599,7.5,2444,0.922,10
