Player Photo,NHL Player,Games,Penalties,Minors,Penalty Minutes,PIM/Game,fWHR,scaled
"<a href=""http://www.espn.com/nhl/player/_/id/3313""><img src=""../NHL/images3313.png""></a>",Andy Greene,82,8,8,16,0.2,1.971830986,0.737759893
"<a href=""http://www.espn.com/nhl/player/_/id/3941973""><img src=""../NHL/images3941973.png""></a>",Anthony Cirelli,82,10,7,34,0.4,1.907894737,0.713838167
"<a href=""http://www.espn.com/nhl/player/_/id/3904107""><img src=""../NHL/images3904107.png""></a>",Anthony Beauvillier,81,4,4,8,0.1,2.013888889,0.753495843
"<a href=""http://www.espn.com/nhl/player/_/id/3067505""><img src=""../NHL/images3067505.png""></a>",Anthony Bitetto,36,6,6,12,0.3,2.164179104,0.809726876
"<a href=""http://www.espn.com/nhl/player/_/id/3042086""><img src=""../NHL/images3042086.png""></a>",Anthony Duclair,74,7,7,14,0.2,2.054054054,0.768523626
"<a href=""http://www.espn.com/nhl/player/_/id/3042037""><img src=""../NHL/images3042037.png""></a>",Anthony Mantha,67,12,10,30,0.5,2.140625,0.800914116
"<a href=""http://www.espn.com/nhl/player/_/id/3067313""><img src=""../NHL/images3067313.png""></a>",Anthony Stolarz,18,0,0,0,0,1.929577465,0.721950752
"<a href=""http://www.espn.com/nhl/player/_/id/2524606""><img src=""../NHL/images2524606.png""></a>",Antoine Roussel,65,35,27,118,1.8,2.432835821,0.910244695
"<a href=""http://www.espn.com/nhl/player/_/id/3668""><img src=""../NHL/images3668.png""></a>",Anton Stralman,47,4,4,8,0.2,1.943661972,0.727220466
"<a href=""http://www.espn.com/nhl/player/_/id/3760""><img src=""../NHL/images3760.png""></a>",Anton Khudobin,41,1,1,2,0.1,2.285714286,0.855199223
"<a href=""http://www.espn.com/nhl/player/_/id/4348823""><img src=""../NHL/images4348823.png""></a>",Antti Suomela,27,2,2,4,0.2,2.393939394,0.89569161
"<a href=""http://www.espn.com/nhl/player/_/id/3937""><img src=""../NHL/images3937.png""></a>",Antti Niemi,17,0,0,0,0,2.476190476,0.926465824
"<a href=""http://www.espn.com/nhl/player/_/id/3037703""><img src=""../NHL/images3037703.png""></a>",Antti Raanta,12,0,0,0,0,1.851851852,0.69286974
"<a href=""http://www.espn.com/nhl/player/_/id/3183""><img src=""../NHL/images3183.png""></a>",Anze Kopitar,81,15,15,30,0.4,1.907894737,0.713838167
"<a href=""http://www.espn.com/nhl/player/_/id/3891952""><img src=""../NHL/images3891952.png""></a>",Artemi Panarin,79,10,9,23,0.3,2.038461538,0.762689691
"<a href=""http://www.espn.com/nhl/player/_/id/3042050""><img src=""../NHL/images3042050.png""></a>",Artturi Lehkonen,82,16,16,32,0.4,2.289855072,0.856748497
"<a href=""http://www.espn.com/nhl/player/_/id/3942922""><img src=""../NHL/images3942922.png""></a>",Austin Wagner,62,8,8,16,0.3,2.264705882,0.847338936
"<a href=""http://www.espn.com/nhl/player/_/id/3024816""><img src=""../NHL/images3024816.png""></a>",Austin Czarnik,54,4,4,8,0.2,2.317460317,0.86707699
"<a href=""http://www.espn.com/nhl/player/_/id/5556""><img src=""../NHL/images5556.png""></a>",Austin Watson,37,12,7,39,1.1,2.014492754,0.753721779
"<a href=""http://www.espn.com/nhl/player/_/id/4024123""><img src=""../NHL/images4024123.png""></a>",Auston Matthews,68,6,6,12,0.2,2.184615385,0.817373103
"<a href=""http://www.espn.com/nhl/player/_/id/3069411""><img src=""../NHL/images3069411.png""></a>",Barclay Goodrow,82,21,13,76,0.9,2.114285714,0.791059281
"<a href=""http://www.espn.com/nhl/player/_/id/3866""><img src=""../NHL/images3866.png""></a>",Ben Bishop,46,1,1,2,0,1.956521739,0.732031943
"<a href=""http://www.espn.com/nhl/player/_/id/5246""><img src=""../NHL/images5246.png""></a>",Ben Chiarot,78,23,21,62,0.8,2.191176471,0.819827931
"<a href=""http://www.espn.com/nhl/player/_/id/3042120""><img src=""../NHL/images3042120.png""></a>",Ben Harpur,51,15,8,56,1.1,2.322033898,0.868788193
"<a href=""http://www.espn.com/nhl/player/_/id/3571762""><img src=""../NHL/images3571762.png""></a>",Ben Hutton,69,16,14,43,0.6,2.276923077,0.851909995
"<a href=""http://www.espn.com/nhl/player/_/id/3993""><img src=""../NHL/images3993.png""></a>",Ben Lovejoy,71,17,16,37,0.5,1.878378378,0.702794631
"<a href=""http://www.espn.com/nhl/player/_/id/2563026""><img src=""../NHL/images2563026.png""></a>",Blake Coleman,78,34,33,71,0.9,1.931506849,0.722672631
"<a href=""http://www.espn.com/nhl/player/_/id/3257""><img src=""../NHL/images3257.png""></a>",Blake Comeau,77,21,21,42,0.6,2.15942029,0.807946367
"<a href=""http://www.espn.com/nhl/player/_/id/3042002""><img src=""../NHL/images3042002.png""></a>",Bo Horvat,82,15,14,33,0.4,1.975,0.738945578
"<a href=""http://www.espn.com/nhl/player/_/id/3264""><img src=""../NHL/images3264.png""></a>",Bobby Ryan,78,16,15,35,0.5,2.134328358,0.798558229
"<a href=""http://www.espn.com/nhl/player/_/id/4294798""><img src=""../NHL/images4294798.png""></a>",Bogdan Kiselevich,32,6,6,12,0.4,2.086956522,0.780834073
"<a href=""http://www.espn.com/nhl/player/_/id/3069401""><img src=""../NHL/images3069401.png""></a>",Boo Nieves,43,4,4,8,0.2,2.040540541,0.763467549
"<a href=""http://www.espn.com/nhl/player/_/id/2563054""><img src=""../NHL/images2563054.png""></a>",Boone Jenner,77,20,19,42,0.6,2.0125,0.75297619
"<a href=""http://www.espn.com/nhl/player/_/id/2334821""><img src=""../NHL/images2334821.png""></a>",Brad Hunt,42,4,4,8,0.2,1.985074627,0.742714996
"<a href=""http://www.espn.com/nhl/player/_/id/2304641""><img src=""../NHL/images2304641.png""></a>",Brad Malone,16,2,2,4,0.3,2.089552239,0.781805259
"<a href=""http://www.espn.com/nhl/player/_/id/3852""><img src=""../NHL/images3852.png""></a>",Brad Marchand,79,33,28,96,1.2,1.844155844,0.689990282
"<a href=""http://www.espn.com/nhl/player/_/id/3154""><img src=""../NHL/images3154.png""></a>",Brad Richardson,66,11,11,22,0.3,2.117647059,0.792316927
"<a href=""http://www.espn.com/nhl/player/_/id/5075""><img src=""../NHL/images5075.png""></a>",Braden Holtby,59,1,1,2,0,2.133333333,0.798185941
"<a href=""http://www.espn.com/nhl/player/_/id/2976856""><img src=""../NHL/images2976856.png""></a>",Brady Skjei,78,22,22,44,0.6,2.132352941,0.797819128
"<a href=""http://www.espn.com/nhl/player/_/id/3904175""><img src=""../NHL/images3904175.png""></a>",Brandon Carlo,72,22,21,47,0.7,2.21875,0.830144558
"<a href=""http://www.espn.com/nhl/player/_/id/3323""><img src=""../NHL/images3323.png""></a>",Brandon Dubinsky,61,11,8,36,0.6,2.051282051,0.767486482
"<a href=""http://www.espn.com/nhl/player/_/id/5525""><img src=""../NHL/images5525.png""></a>",Brandon Pirri,31,3,3,6,0.2,2.111111111,0.789871504
"<a href=""http://www.espn.com/nhl/player/_/id/2563065""><img src=""../NHL/images2563065.png""></a>",Brandon Saad,80,6,6,12,0.2,2.115942029,0.79167899
"<a href=""http://www.espn.com/nhl/player/_/id/3791""><img src=""../NHL/images3791.png""></a>",Brandon Sutter,26,3,3,6,0.2,2.261538462,0.846153846
"<a href=""http://www.espn.com/nhl/player/_/id/3096236""><img src=""../NHL/images3096236.png""></a>",Brandon Tanev,80,12,8,41,0.5,2.144927536,0.802523908
"<a href=""http://www.espn.com/nhl/player/_/id/3151187""><img src=""../NHL/images3151187.png""></a>",Brayden Point,79,14,14,28,0.4,2.086956522,0.780834073
"<a href=""http://www.espn.com/nhl/player/_/id/5219""><img src=""../NHL/images5219.png""></a>",Brayden Schenn,72,17,15,40,0.6,2.085714286,0.780369291
"<a href=""http://www.espn.com/nhl/player/_/id/2410""><img src=""../NHL/images2410.png""></a>",Braydon Coburn,74,17,17,34,0.5,1.985294118,0.742797119
"<a href=""http://www.espn.com/nhl/player/_/id/3067485""><img src=""../NHL/images3067485.png""></a>",Brendan Leipsic,62,11,10,24,0.4,2.04,0.763265306
"<a href=""http://www.espn.com/nhl/player/_/id/5614""><img src=""../NHL/images5614.png""></a>",Brendan Gallagher,82,23,22,49,0.6,2.2,0.823129252
"<a href=""http://www.espn.com/nhl/player/_/id/3114744""><img src=""../NHL/images3114744.png""></a>",Brendan Perlini,68,13,12,28,0.4,2.258064516,0.844854071
"<a href=""http://www.espn.com/nhl/player/_/id/2554903""><img src=""../NHL/images2554903.png""></a>",Brenden Dillon,82,25,23,61,0.7,1.88,0.703401361
"<a href=""http://www.espn.com/nhl/player/_/id/2300""><img src=""../NHL/images2300.png""></a>",Brent Burns,82,13,12,34,0.4,2.039473684,0.763068385
"<a href=""http://www.espn.com/nhl/player/_/id/2389""><img src=""../NHL/images2389.png""></a>",Brent Seabrook,78,19,18,41,0.5,1.986666667,0.743310658
"<a href=""http://www.espn.com/nhl/player/_/id/3942746""><img src=""../NHL/images3942746.png""></a>",Brett Seney,51,14,13,31,0.6,2.024096386,0.757314974
"<a href=""http://www.espn.com/nhl/player/_/id/5479""><img src=""../NHL/images5479.png""></a>",Brett Connolly,81,12,12,24,0.3,2.025641026,0.757892901
"<a href=""http://www.espn.com/nhl/player/_/id/4024989""><img src=""../NHL/images4024989.png""></a>",Brett Howden,66,7,7,14,0.2,2.112676056,0.790457028
"<a href=""http://www.espn.com/nhl/player/_/id/3068665""><img src=""../NHL/images3068665.png""></a>",Brett Kulak,57,10,8,31,0.5,2.179104478,0.815311199
"<a href=""http://www.espn.com/nhl/player/_/id/3025535""><img src=""../NHL/images3025535.png""></a>",Brett Pesce,73,12,12,24,0.3,2.071428571,0.775024295
"<a href=""http://www.espn.com/nhl/player/_/id/2563074""><img src=""../NHL/images2563074.png""></a>",Brett Ritchie,53,20,16,57,1.1,2.046875,0.765837585
"<a href=""http://www.espn.com/nhl/player/_/id/3648""><img src=""../NHL/images3648.png""></a>",Brian Boyle,73,15,12,38,0.5,1.927536232,0.721187026
"<a href=""http://www.espn.com/nhl/player/_/id/5738""><img src=""../NHL/images5738.png""></a>",Brian Dumoulin,76,10,10,20,0.3,2.213114754,0.828036132
"<a href=""http://www.espn.com/nhl/player/_/id/2865""><img src=""../NHL/images2865.png""></a>",Brian Elliott,26,1,1,2,0.1,2.014285714,0.753644315
"<a href=""http://www.espn.com/nhl/player/_/id/2304504""><img src=""../NHL/images2304504.png""></a>",Brian Gibbons,64,10,10,20,0.3,1.930555556,0.722316704
"<a href=""http://www.espn.com/nhl/player/_/id/3899979""><img src=""../NHL/images3899979.png""></a>",Brock Boeser,69,11,11,22,0.3,2.157142857,0.807094266
"<a href=""http://www.espn.com/nhl/player/_/id/3067868""><img src=""../NHL/images3067868.png""></a>",Brock McGinn,82,10,10,20,0.2,1.985074627,0.742714996
"<a href=""http://www.espn.com/nhl/player/_/id/5798""><img src=""../NHL/images5798.png""></a>",Brock Nelson,82,14,14,28,0.3,1.902777778,0.711923658
"<a href=""http://www.espn.com/nhl/player/_/id/1202""><img src=""../NHL/images1202.png""></a>",Brooks Orpik,53,12,9,32,0.6,2.012987013,0.753158406
"<a href=""http://www.espn.com/nhl/player/_/id/3508""><img src=""../NHL/images3508.png""></a>",Bryan Little,82,13,13,26,0.3,2.057971014,0.769989155
"<a href=""http://www.espn.com/nhl/player/_/id/2591155""><img src=""../NHL/images2591155.png""></a>",Bryan Rust,72,12,12,24,0.3,2.413793103,0.903119869
"<a href=""http://www.espn.com/nhl/player/_/id/3689""><img src=""../NHL/images3689.png""></a>",Cal Clutterbuck,73,14,12,44,0.6,1.831168831,0.685131195
"<a href=""http://www.espn.com/nhl/player/_/id/2555316""><img src=""../NHL/images2555316.png""></a>",Calle Jarnkrok,79,6,6,12,0.2,2.109589041,0.789302022
"<a href=""http://www.espn.com/nhl/player/_/id/4220707""><img src=""../NHL/images4220707.png""></a>",Calle Rosen,4,0,0,0,0,2.056338028,0.769378174
"<a href=""http://www.espn.com/nhl/player/_/id/5266""><img src=""../NHL/images5266.png""></a>",Calvin de Haan,74,10,10,20,0.3,2.212121212,0.827664399
"<a href=""http://www.espn.com/nhl/player/_/id/2501107""><img src=""../NHL/images2501107.png""></a>",Cam Atkinson,80,10,10,20,0.3,2.178082192,0.814928711
"<a href=""http://www.espn.com/nhl/player/_/id/5495""><img src=""../NHL/images5495.png""></a>",Cam Fowler,59,10,10,20,0.3,2.338709677,0.87502743
"<a href=""http://www.espn.com/nhl/player/_/id/5734""><img src=""../NHL/images5734.png""></a>",Cam Talbot,35,0,0,0,0,1.893939394,0.70861678
"<a href=""http://www.espn.com/nhl/player/_/id/1671""><img src=""../NHL/images1671.png""></a>",Cam Ward,33,2,2,4,0.1,2.025974026,0.758017493
"<a href=""http://www.espn.com/nhl/player/_/id/5131""><img src=""../NHL/images5131.png""></a>",Cameron Gaunce,2,2,1,7,3.5,2.28125,0.853528912
"<a href=""http://www.espn.com/nhl/player/_/id/3231""><img src=""../NHL/images3231.png""></a>",Carey Price,66,1,1,2,0,2,0.74829932
"<a href=""http://www.espn.com/nhl/player/_/id/4960""><img src=""../NHL/images4960.png""></a>",Carl Gunnarsson,25,3,3,6,0.2,2.028571429,0.75898931
